//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:32
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906036
//Univ. of Washington ID: 0889
//MBARI ID: 0889SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10024	
//Temperature[°C]	Sbe41cp	10024	
//Salinity[pss]	Sbe41cp	10024	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	1759	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 1074	
//Chl_a[mg/m^3]	MCOMS	0150	
//Chl_a_corr[mg/m^3]	MCOMS	0150	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMS	0150	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	0150	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	B6	
//pH25C[Total]	SBE	B6	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	0150	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0053	0.0000	0.0000
//Nitrate	1	1.0000	7.6956	-7.8708
//Nitrate	3	1.0000	7.4927	2.1586
//Nitrate	6	1.0000	7.6816	0.0000
//pH	1	1.0000	-0.0282	0.0692
//pH	4	1.0000	-0.0191	0.0696
//pH	6	1.0000	-0.0165	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1999.40	0	2.8672	0	34.6980	0	27.670	0	1975.517	0	197.11	8	60.8	8	31.63	0	0.0110	0	0.0037	0	0.000239	1	-1E+10	1	0.88	1	7.8582	0	7.6146	4	2348	4	2245	4	501.0	4	-1E+10	1	2.65	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1948.50	0	2.9002	0	34.6810	0	27.653	0	1925.455	0	180.11	0	55.6	0	31.89	0	0.0118	0	0.0039	0	0.000224	1	-1E+10	1	0.84	1	7.8519	0	7.6075	0	2340	0	2239	0	510.2	0	-1E+10	1	2.64	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1899.10	0	2.9474	0	34.6650	0	27.635	0	1876.857	0	175.86	0	54.3	0	32.44	0	0.0102	0	0.0034	0	0.000242	1	-1E+10	1	0.88	1	7.8449	0	7.6001	0	2341	0	2243	0	522.6	0	-1E+10	1	2.65	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1849.60	0	2.9968	0	34.6420	0	27.612	0	1828.149	0	173.41	0	53.6	0	32.94	0	0.0118	0	0.0039	0	0.000235	1	-1E+10	1	0.86	1	7.8386	0	7.5932	0	2339	0	2244	0	533.9	0	-1E+10	1	2.64	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1800.00	0	3.0533	0	34.6200	0	27.589	0	1779.332	0	171.38	0	53.1	0	33.30	0	0.0118	0	0.0039	0	0.000237	1	-1E+10	1	0.87	1	7.8324	0	7.5866	0	2338	0	2246	0	545.3	0	-1E+10	1	2.63	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1749.10	0	3.1303	0	34.6020	0	27.568	0	1729.223	0	169.77	0	52.6	0	33.58	0	0.0102	0	0.0034	0	0.000238	1	-1E+10	1	0.87	1	7.8283	0	7.5821	0	2337	0	2247	0	554.3	0	-1E+10	1	2.63	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1699.60	0	3.2194	0	34.5810	0	27.542	0	1680.482	0	168.07	0	52.2	0	33.87	0	0.0126	0	0.0042	0	0.000274	1	-1E+10	1	0.97	1	7.8249	0	7.5785	0	2336	0	2246	0	562.2	0	-1E+10	1	2.60	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1649.20	0	3.4773	0	34.5800	0	27.517	0	1630.843	0	164.46	0	51.4	0	33.65	0	0.0110	0	0.0037	0	0.000254	1	-1E+10	1	0.91	1	7.8219	0	7.5775	0	2335	0	2246	0	570.3	0	-1E+10	1	2.60	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1599.10	0	3.6954	0	34.5740	0	27.491	0	1581.487	0	161.22	0	50.7	0	34.04	0	0.0110	0	0.0037	0	0.000257	1	-1E+10	1	0.92	1	7.8194	0	7.5764	0	2334	0	2246	0	577.8	0	-1E+10	1	2.63	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1549.30	0	3.7839	0	34.5500	0	27.463	0	1532.416	0	161.14	0	50.8	0	34.05	0	0.0118	0	0.0039	0	0.000226	1	-1E+10	1	0.84	1	7.8200	0	7.5764	0	2332	0	2243	0	580.0	0	-1E+10	1	2.58	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1499.90	0	3.9813	0	34.5360	0	27.431	0	1483.727	0	160.60	0	50.8	0	33.67	0	0.0110	0	0.0037	0	0.000255	1	-1E+10	1	0.92	1	7.8210	0	7.5781	0	2330	0	2241	0	582.2	0	-1E+10	1	2.55	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1449.60	0	4.1630	0	34.5130	0	27.394	0	1434.140	0	165.07	0	52.5	0	33.43	0	0.0087	0	0.0029	0	0.000235	1	-1E+10	1	0.86	1	7.8220	0	7.5797	0	2325	0	2236	0	583.6	0	-1E+10	1	2.50	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1399.70	0	4.0510	0	34.4460	0	27.352	0	1384.936	0	171.43	0	54.3	0	33.04	0	0.0071	0	0.0024	0	0.000232	1	-1E+10	1	0.86	1	7.8343	0	7.5876	0	2319	0	2227	0	567.4	0	-1E+10	1	2.41	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1349.30	0	4.2844	0	34.4320	0	27.316	0	1335.227	0	180.68	0	57.5	0	32.37	0	0.0079	0	0.0026	0	0.000243	1	-1E+10	1	0.89	1	7.8408	0	7.5948	0	2314	0	2219	0	561.0	0	-1E+10	1	2.36	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1299.70	0	4.6145	0	34.4270	0	27.276	0	1286.296	0	182.66	0	58.6	0	31.73	0	0.0095	0	0.0032	0	0.000239	1	-1E+10	1	0.87	1	7.8454	0	7.6018	0	2310	0	2214	0	557.9	0	-1E+10	1	2.35	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1249.40	0	4.9819	0	34.4340	0	27.241	0	1236.662	0	183.25	0	59.3	0	30.99	0	0.0079	0	0.0026	0	0.000239	1	-1E+10	1	0.88	1	7.8494	0	7.6087	0	2308	0	2209	0	556.1	0	-1E+10	1	2.31	1
5906036	1	C	05/11/2019	07:44	29.987	-35.025	0	1199.40	0	5.3553	0	34.4100	0	27.178	0	1187.313	0	190.67	0	62.3	0	29.60	0	0.0079	0	0.0026	0	0.000248	1	-1E+10	1	0.90	1	7.8624	0	7.6240	0	2302	0	2197	0	541.0	0	-1E+10	1	2.22	1
