//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906308
//Univ. of Washington ID: 1116
//MBARI ID: 1116SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12196	
//Temperature[°C]	Sbe41cp	12196	
//Salinity[pss]	Sbe41cp	12196	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	2371	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 1388	
//Chl_a[mg/m^3]	MCOMS	290	
//Chl_a_corr[mg/m^3]	MCOMS	290	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMS	290	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	290	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	10391	
//pH25C[Total]	SBE	10391	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	290	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0254	0.0000	0.0000
//Nitrate	1	1.0000	2.9355	-5.9533
//Nitrate	4	1.0000	2.7647	0.0000
//pH	1	1.0000	-0.0323	0.0000
//pH	2	1.0000	-0.0301	-5.0147
//pH	4	1.0000	-0.1674	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1800.40	0	2.4427	0	34.5940	0	27.621	0	1778.128	0	171.04	8	52.1	8	37.24	0	0.0144	0	0.0048	0	0.000122	1	-1E+10	1	0.57	1	7.7844	0	7.5354	4	2354	4	2279	4	612.5	4	-1E+10	1	2.50	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1750.10	0	2.4982	0	34.5860	0	27.609	0	1728.655	0	134.47	0	41.1	0	37.42	0	0.0134	0	0.0045	0	0.000127	1	-1E+10	1	0.58	1	7.7774	0	7.5280	0	2366	0	2294	0	630.4	0	-1E+10	1	2.52	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1699.50	0	2.5424	0	34.5790	0	27.600	0	1678.875	0	132.11	0	40.4	0	37.47	0	0.0125	0	0.0042	0	0.000132	1	-1E+10	1	0.60	1	7.7739	0	7.5237	0	2365	0	2294	0	639.4	0	-1E+10	1	2.50	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1649.50	0	2.6047	0	34.5690	0	27.586	0	1629.674	0	131.09	0	40.1	0	37.51	0	0.0144	0	0.0048	0	0.000127	1	-1E+10	1	0.58	1	7.7704	0	7.5196	0	2362	0	2293	0	648.3	0	-1E+10	1	2.53	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1599.40	0	2.6416	0	34.5630	0	27.578	0	1580.363	0	130.51	0	40.0	0	37.52	0	0.0144	0	0.0048	0	0.000137	1	-1E+10	1	0.61	1	7.7680	0	7.5162	0	2360	0	2292	0	655.4	0	-1E+10	1	2.52	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1549.50	0	2.7040	0	34.5520	0	27.564	0	1531.237	0	130.21	0	39.9	0	37.69	0	0.0144	0	0.0048	0	0.000174	1	-1E+10	1	0.71	1	7.7656	0	7.5131	0	2357	0	2291	0	662.6	0	-1E+10	1	2.49	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1499.70	0	2.7629	0	34.5410	0	27.549	0	1482.199	0	130.61	0	40.1	0	37.62	0	0.0115	0	0.0038	0	0.000165	1	-1E+10	1	0.68	1	7.7640	0	7.5106	0	2354	0	2289	0	668.6	0	-1E+10	1	2.48	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1449.80	0	2.8192	0	34.5280	0	27.534	0	1433.050	0	131.50	0	40.4	0	37.67	0	0.0144	0	0.0048	0	0.000148	1	-1E+10	1	0.64	1	7.7687	0	7.5137	0	2351	0	2284	0	663.8	0	-1E+10	1	2.50	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1399.80	0	2.8786	0	34.5130	0	27.516	0	1383.792	0	133.14	0	41.0	0	37.68	0	0.0106	0	0.0035	0	0.000150	1	-1E+10	1	0.64	1	7.7716	0	7.5153	0	2346	0	2279	0	661.8	0	-1E+10	1	2.46	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1349.10	0	2.9407	0	34.4960	0	27.497	0	1333.832	0	135.74	0	41.9	0	37.52	0	0.0086	0	0.0029	0	0.000148	1	-1E+10	1	0.64	1	7.7766	0	7.5187	0	2341	0	2273	0	656.4	0	-1E+10	1	2.44	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1299.50	0	2.9943	0	34.4800	0	27.479	0	1284.944	0	139.44	0	43.1	0	37.35	0	0.0115	0	0.0038	0	0.000185	1	-1E+10	1	0.73	1	7.7822	0	7.5227	0	2336	0	2267	0	650.0	0	-1E+10	1	2.41	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1249.70	0	3.0558	0	34.4610	0	27.458	0	1235.848	0	143.91	0	44.5	0	37.01	0	0.0106	0	0.0035	0	0.000151	1	-1E+10	1	0.65	1	7.7886	0	7.5274	0	2332	0	2261	0	642.5	0	-1E+10	1	2.37	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1198.90	0	3.1388	0	34.4350	0	27.429	0	1185.754	0	149.91	0	46.4	0	36.60	0	0.0106	0	0.0035	0	0.000158	1	-1E+10	1	0.67	1	7.7989	0	7.5359	0	2326	0	2252	0	628.7	0	-1E+10	1	2.34	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1149.60	0	3.2165	0	34.4140	0	27.405	0	1137.128	0	155.77	0	48.3	0	36.19	0	0.0106	0	0.0035	0	0.000156	1	-1E+10	1	0.66	1	7.8075	0	7.5428	0	2321	0	2245	0	618.1	0	-1E+10	1	2.33	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1098.90	0	3.3305	0	34.3860	0	27.372	0	1087.109	0	164.26	0	51.1	0	35.44	0	0.0096	0	0.0032	0	0.000156	1	-1E+10	1	0.66	1	7.8190	0	7.5529	0	2315	0	2236	0	603.1	0	-1E+10	1	2.26	1
5906308	1	C	10/31/2020	09:20	279.531	-44.958	0	1049.70	0	3.4266	0	34.3610	0	27.342	0	1038.559	0	174.45	0	54.4	0	34.73	0	0.0048	0	0.0016	0	0.000144	1	-1E+10	1	0.63	1	7.8353	0	7.5671	0	2310	0	2226	0	581.4	0	-1E+10	1	2.20	1
