//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:46
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905101
//Univ. of Washington ID: 12378
//MBARI ID: 12378SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 3 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8069	
//Temperature[°C]	Sbe41cp	8069	
//Salinity[pss]	Sbe41cp	8069	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2221	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0097  Spec#105024 Equitech Ti probe #1604.07  MBARI ARGO float#757  DF#151  CTD#8069	
//Chl_a[mg/m^3]	FLBBAP2	4356	
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]	FLBBAP2	4356	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4356	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	151	
//pH25C[Total]	Durafet	151	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.2238	0.0000	0.0000
//Nitrate	1	1.0000	-1.8693	-13.9115
//Nitrate	3	1.0000	-2.7182	0.0000
//pH	1	1.0000	0.0276	0.0000
//pH	2	1.0000	0.0197	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1798.44	0	0.5925	0	34.7037	0	27.839	0	1772.873	0	217.73	0	63.4	0	31.67	0	0.0255	0	-1E+10	1	0.000185	1	-1E+10	1	0.73	1	7.8822	0	7.5974	0	2354	0	2256	0	477.8	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1699.44	0	0.6109	0	34.7045	0	27.838	0	1675.671	0	214.73	0	62.6	0	31.73	0	0.0255	0	-1E+10	1	0.000185	1	-1E+10	1	0.73	1	7.8914	0	7.6022	0	2354	0	2256	0	472.6	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1599.91	0	0.6392	0	34.7049	0	27.837	0	1577.904	0	213.86	0	62.4	0	31.77	0	0.0255	0	-1E+10	1	0.000196	1	-1E+10	1	0.76	1	7.8950	0	7.6021	0	2354	0	2255	0	473.9	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1499.26	0	0.6732	0	34.7067	0	27.836	0	1478.990	0	213.06	0	62.2	0	31.76	0	0.0255	0	-1E+10	1	0.000196	1	-1E+10	1	0.76	1	7.8977	0	7.6013	0	2354	0	2256	0	476.5	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1399.68	0	0.7190	0	34.7081	0	27.834	0	1381.081	0	212.05	0	62.0	0	31.59	0	0.0255	0	-1E+10	1	0.000207	1	-1E+10	1	0.79	1	7.8987	0	7.5992	0	2354	0	2256	0	480.9	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1299.28	0	0.7655	0	34.7097	0	27.832	0	1282.321	0	211.01	0	61.7	0	31.56	0	0.0219	0	-1E+10	1	0.000196	1	-1E+10	1	0.76	1	7.8925	0	7.5905	0	2354	0	2259	0	494.4	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1199.40	0	0.8224	0	34.7118	0	27.829	0	1184.025	0	209.71	0	61.4	0	31.66	0	0.0219	0	-1E+10	1	0.000219	1	-1E+10	1	0.82	1	7.8998	0	7.5942	0	2354	0	2258	0	491.2	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1099.86	0	0.8687	0	34.7136	0	27.828	0	1086.018	0	208.67	0	61.2	0	31.64	0	0.0255	0	-1E+10	1	0.000197	1	-1E+10	1	0.76	1	7.9065	0	7.5971	0	2354	0	2257	0	489.0	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	1000.28	0	0.9237	0	34.7160	0	27.826	0	987.926	0	207.49	0	60.9	0	31.61	0	0.0255	0	-1E+10	1	0.000208	1	-1E+10	1	0.79	1	7.9038	0	7.5918	0	2354	0	2259	0	498.2	0
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	977.40	0	0.9370	0	34.7160	0	27.825	0	965.381	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	976.00	0	0.9370	0	34.7160	0	27.825	0	964.001	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	974.00	0	0.9370	0	34.7170	0	27.825	0	962.031	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	972.00	0	0.9370	0	34.7170	0	27.825	0	960.060	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	970.00	0	0.9370	0	34.7160	0	27.825	0	958.089	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	968.00	0	0.9370	0	34.7170	0	27.825	0	956.118	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905101	1	C	04/19/2017	06:42	171.939	-67.510	0	966.00	0	0.9380	0	34.7170	0	27.825	0	954.147	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
