//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:16
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905367
//Univ. of Washington ID: 12755
//MBARI ID: 12755SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 14 15 17 18 19 20 21 22 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9025	
//Temperature[°C]	Sbe41cp	9025	
//Salinity[pss]	Sbe41cp	9025	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2673	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0068  Spec#107978 Equitech Ti probe #1703.05  MBARI ARGO float#778  DF#169  CTD#9025	
//Chl_a[mg/m^3]	FLBBAP2	4420	
//Chl_a_corr[mg/m^3]	FLBBAP2	4420	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4420	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4420	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	169	
//pH25C[Total]	Durafet	169	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0400	0.0000	0.0000
//Nitrate	1	1.0000	3.3969	-48.8194
//Nitrate	3	1.0000	1.6911	1.4082
//Nitrate	23	1.0000	2.4107	0.0000
//pH	1	1.0000	0.0010	-0.5915
//pH	3	1.0000	-0.0101	0.5614
//pH	5	1.0000	-0.0055	0.0000
//pH	23	1.0000	-0.0058	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1998.69	0	0.6938	0	34.6949	0	27.827	0	1969.970	0	208.39	0	60.8	0	32.35	0	0.0036	0	0.0012	0	0.000325	1	-1E+10	1	1.10	1	7.8748	0	7.5995	0	2357	0	2259	0	476.5	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1898.46	0	0.7514	0	34.6983	0	27.826	0	1871.620	0	207.39	0	60.6	0	32.32	0	0.0072	0	0.0024	0	0.000236	1	-1E+10	1	0.87	1	7.8781	0	7.5995	0	2357	0	2259	0	478.3	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1798.82	0	0.8135	0	34.7015	0	27.824	0	1773.804	0	207.12	0	60.7	0	31.93	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.8783	0	7.5969	0	2357	0	2260	0	483.7	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1699.70	0	0.8794	0	34.7068	0	27.824	0	1676.454	0	206.47	0	60.6	0	31.87	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8809	0	7.5965	0	2356	0	2260	0	486.3	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1600.20	0	0.9577	0	34.7107	0	27.822	0	1578.685	0	205.96	0	60.5	0	31.56	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.93	1	7.8854	0	7.5979	0	2356	0	2258	0	486.6	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1499.65	0	1.0428	0	34.7153	0	27.819	0	1479.838	0	205.62	0	60.6	0	31.38	0	0.0036	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.8886	0	7.5983	0	2355	0	2257	0	488.6	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1398.88	0	1.1382	0	34.7209	0	27.817	0	1380.729	0	205.01	0	60.5	0	31.10	0	0.0072	0	0.0024	0	0.000259	1	-1E+10	1	0.93	1	7.8932	0	7.6000	0	2354	0	2256	0	488.9	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1299.24	0	1.2064	0	34.7227	0	27.814	0	1282.685	0	203.73	0	60.3	0	30.99	0	0.0036	0	0.0012	0	0.000259	1	-1E+10	1	0.93	1	7.8958	0	7.5997	0	2354	0	2256	0	491.5	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1199.65	0	1.3008	0	34.7284	0	27.811	0	1184.644	0	202.92	0	60.2	0	30.83	0	0.0036	0	0.0012	0	0.000259	1	-1E+10	1	0.93	1	7.8975	0	7.5989	0	2354	0	2256	0	495.4	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	1099.60	0	1.3834	0	34.7318	0	27.808	0	1086.104	0	201.80	0	60.0	0	30.70	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8976	0	7.5964	0	2353	0	2256	0	501.2	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	999.46	0	1.4632	0	34.7326	0	27.802	0	987.428	0	200.32	0	59.7	0	30.60	0	0.0072	0	0.0024	0	0.000517	1	-1E+10	1	1.60	1	7.8994	0	7.5955	0	2352	0	2256	0	504.9	0
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	977.10	0	1.4770	0	34.7340	0	27.802	0	965.389	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	976.00	0	1.4790	0	34.7340	0	27.802	0	964.305	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	974.00	0	1.4800	0	34.7340	0	27.802	0	962.333	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	972.00	0	1.4800	0	34.7340	0	27.802	0	960.362	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	970.00	0	1.4820	0	34.7340	0	27.802	0	958.390	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	968.00	0	1.4830	0	34.7340	0	27.802	0	956.419	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5905367	1	C	12/28/2017	12:54	69.943	-63.027	0	966.00	0	1.4840	0	34.7340	0	27.802	0	954.447	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
