//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 09:47
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906207
//Univ. of Washington ID: 18013
//MBARI ID: 18013SOOCN
//Missing Float profile(s) for station(s): 31 
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11440	
//Temperature[°C]	Sbe41cp	11440	
//Salinity[pss]	Sbe41cp	11440	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3097	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0146  Spec#114276 Equitech Ti probe #1804.25  MBARI ARGO float#846  DF#SBE07  CTD#11440	
//Chl_a[mg/m^3]	FLBBAP2	5513	
//Chl_a_corr[mg/m^3]	FLBBAP2	5513	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5513	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5513	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0672	0.0000	0.0000
//Nitrate	1	1.0000	1.6360	0.0000
//Nitrate	3	1.0000	-2.9486	-1.3981
//Nitrate	34	1.0000	-4.1049	0.0000
//pH	1	1.0000	0.0104	-0.3459
//pH	4	1.0000	-0.0030	-0.0100
//pH	11	1.0000	0.0067	0.0000
//pH	33	1.0000	0.0086	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1399.66	0	2.0009	0	34.7304	0	27.763	0	1382.520	0	195.05	0	58.9	0	30.59	0	0.0037	0	0.0012	0	0.000164	1	-1E+10	1	0.68	1	7.8942	4	7.6131	4	2347	0	2244	4	489.2	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1300.21	0	2.0651	0	34.7238	0	27.752	0	1284.591	0	192.05	0	58.1	0	30.75	0	0.0109	0	0.0037	0	0.000197	1	-1E+10	1	0.76	1	7.8917	4	7.6081	4	2346	0	2245	4	498.1	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1199.85	0	2.1469	0	34.7174	0	27.740	0	1185.719	0	189.34	0	57.4	0	30.78	0	0.0037	0	0.0012	0	0.000175	1	-1E+10	1	0.71	1	7.8912	4	7.6051	4	2345	0	2245	4	504.6	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1099.92	0	2.1935	0	34.7056	0	27.726	0	1087.224	0	186.11	0	56.4	0	31.19	0	0.0000	0	0.0000	0	0.000208	1	-1E+10	1	0.79	1	7.8836	4	7.5952	4	2344	0	2248	4	520.1	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	999.67	0	2.2396	0	34.6905	0	27.709	0	988.368	0	182.55	0	55.4	0	31.64	0	0.0037	0	0.0012	0	0.000208	1	-1E+10	1	0.79	1	7.8804	4	7.5892	4	2342	0	2249	4	530.4	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	979.60	0	2.2450	0	34.6860	0	27.705	0	968.571	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	978.00	0	2.2460	0	34.6860	0	27.705	0	966.993	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	976.00	0	2.2460	0	34.6850	0	27.704	0	965.020	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	974.00	0	2.2480	0	34.6850	0	27.704	0	963.047	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	972.00	0	2.2500	0	34.6840	0	27.703	0	961.074	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	970.00	0	2.2560	0	34.6830	0	27.702	0	959.101	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	968.00	0	2.2550	0	34.6830	0	27.702	0	957.128	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	966.00	0	2.2550	0	34.6840	0	27.703	0	955.155	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	964.00	0	2.2550	0	34.6830	0	27.702	0	953.182	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	962.00	0	2.2540	0	34.6840	0	27.703	0	951.209	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	960.00	0	2.2540	0	34.6830	0	27.702	0	949.236	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	958.00	0	2.2560	0	34.6830	0	27.702	0	947.263	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
