//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:57
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906205
//Univ. of Washington ID: 18082
//MBARI ID: 18082SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11767	
//Temperature[°C]	Sbe41cp	11767	
//Salinity[pss]	Sbe41cp	11767	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3095	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A19.D01.205216  Spec#118364 Equitech Ti probe #1804.09  ARGO float#859  DF#SBE10303  CTD#11767	
//Chl_a[mg/m^3]	FLBBAP2	5512	
//Chl_a_corr[mg/m^3]	FLBBAP2	5512	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5512	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5512	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10303	
//pH25C[Total]	Durafet	10303	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Nitrate	1	1.0000	8.0814	-13.4294
//Nitrate	4	1.0000	7.5645	-8.2755
//Nitrate	9	1.0000	6.7512	0.0000
//pH	1	1.0000	0.0200	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1799.90	0	2.8854	0	34.5842	0	27.575	0	1779.234	0	-1e10	1	-1e10	1	41.12	0	0.0109	0	0.0037	0	0.000224	1	-1E+10	1	0.84	1	7.8214	0	7.5744	4	2339	4	2250	4	559.7	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1699.91	0	3.0467	0	34.5572	0	27.539	0	1680.788	0	-1e10	1	-1e10	1	39.79	0	0.0037	0	0.0012	0	0.000246	1	-1E+10	1	0.89	1	7.8212	0	7.5727	4	2335	4	2248	4	566.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1599.61	0	3.2996	0	34.5160	0	27.482	0	1581.990	0	-1e10	1	-1e10	1	38.67	0	0.0109	0	0.0037	0	0.000225	1	-1E+10	1	0.84	1	7.8197	0	7.5712	4	2330	4	2243	4	574.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1499.58	0	3.5861	0	34.4699	0	27.418	0	1483.412	0	-1e10	1	-1e10	1	37.19	0	0.0073	0	0.0024	0	0.000237	1	-1E+10	1	0.87	1	7.8233	0	7.5748	4	2322	4	2235	4	575.5	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1399.91	0	3.9897	0	34.4220	0	27.339	0	1385.144	0	-1e10	1	-1e10	1	35.52	0	0.0073	0	0.0024	0	0.000215	1	-1E+10	1	0.81	1	7.8326	0	7.5851	4	2314	4	2223	4	568.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1299.44	0	4.3813	0	34.3955	0	27.276	0	1286.040	0	-1e10	1	-1e10	1	33.74	0	0.0073	0	0.0024	0	0.000227	1	-1E+10	1	0.84	1	7.8435	0	7.5968	4	2306	4	2212	4	558.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1199.65	0	4.8346	0	34.3693	0	27.205	0	1187.560	0	-1e10	1	-1e10	1	31.80	0	0.0037	0	0.0012	0	0.000239	1	-1E+10	1	0.88	1	7.8565	0	7.6114	4	2298	4	2198	4	546.5	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1099.90	0	5.7606	0	34.4027	0	27.123	0	1089.074	0	-1e10	1	-1e10	1	29.07	0	0.0037	0	0.0012	0	0.000241	1	-1E+10	1	0.88	1	7.8716	0	7.6346	4	2293	4	2185	4	533.7	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	999.85	0	7.4204	0	34.5169	0	26.994	0	990.245	0	-1e10	1	-1e10	1	24.81	0	0.0037	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.8957	0	7.6767	4	2292	4	2167	4	511.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	977.50	0	7.6960	0	34.5410	0	26.973	0	968.161	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	976.00	0	7.7050	0	34.5420	0	26.973	0	966.679	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	974.00	0	7.7370	0	34.5450	0	26.970	0	964.702	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	972.00	0	7.7770	0	34.5490	0	26.968	0	962.726	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	970.00	0	7.8120	0	34.5490	0	26.963	0	960.750	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	968.00	0	7.8360	0	34.5530	0	26.962	0	958.773	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	966.00	0	7.8540	0	34.5540	0	26.960	0	956.797	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	964.00	0	7.8550	0	34.5540	0	26.960	0	954.821	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	962.00	0	7.8580	0	34.5550	0	26.961	0	952.844	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	960.00	0	7.8620	0	34.5550	0	26.960	0	950.868	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	958.00	0	7.8710	0	34.5560	0	26.959	0	948.891	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	956.00	0	7.8820	0	34.5570	0	26.958	0	946.915	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	954.00	0	7.9010	0	34.5580	0	26.956	0	944.939	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	952.00	0	7.9220	0	34.5610	0	26.956	0	942.962	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	951.44	0	7.9396	0	34.5633	0	26.955	0	942.409	0	-1e10	1	-1e10	1	23.38	0	0.0037	0	0.0012	0	0.000266	1	-1E+10	1	0.94	1	7.8980	0	7.6845	4	2292	4	2165	4	512.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	950.00	0	7.9480	0	34.5620	0	26.953	0	940.985	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	948.00	0	7.9600	0	34.5630	0	26.952	0	939.009	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	946.00	0	7.9670	0	34.5640	0	26.951	0	937.032	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	944.00	0	7.9940	0	34.5660	0	26.949	0	935.056	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	942.00	0	8.0280	0	34.5700	0	26.947	0	933.079	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	940.00	0	8.0460	0	34.5710	0	26.945	0	931.103	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	938.00	0	8.0910	0	34.5760	0	26.942	0	929.126	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	936.00	0	8.1460	0	34.5800	0	26.937	0	927.149	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	934.00	0	8.2110	0	34.5850	0	26.932	0	925.173	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	932.00	0	8.2550	0	34.5890	0	26.928	0	923.196	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	930.00	0	8.2710	0	34.5910	0	26.927	0	921.219	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	928.00	0	8.2820	0	34.5930	0	26.927	0	919.243	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	926.00	0	8.2940	0	34.5940	0	26.926	0	917.266	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	924.00	0	8.2990	0	34.5940	0	26.925	0	915.289	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	922.00	0	8.2970	0	34.5940	0	26.925	0	913.312	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	920.00	0	8.2940	0	34.5940	0	26.926	0	911.335	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	918.00	0	8.2930	0	34.5940	0	26.926	0	909.359	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	916.00	0	8.2900	0	34.5940	0	26.926	0	907.382	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	914.00	0	8.2980	0	34.5950	0	26.926	0	905.405	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	912.00	0	8.3160	0	34.5970	0	26.925	0	903.428	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	910.00	0	8.3510	0	34.5980	0	26.920	0	901.451	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	908.00	0	8.3400	0	34.5970	0	26.921	0	899.474	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
