//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:00
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906219
//Univ. of Washington ID: 18110
//MBARI ID: 18110SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 22 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11515	
//Temperature[°C]	Sbe41cp	11515	
//Salinity[pss]	Sbe41cp	11515	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3092	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204286  Spec#118365 Equitech Ti probe #1905.34  ARGO float#860  DF#265  CTD#11515	
//Chl_a[mg/m^3]	FLBBAP2	5515	
//Chl_a_corr[mg/m^3]	FLBBAP2	5515	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5515	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5515	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	265	
//pH25C[Total]	Durafet	265	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0382	0.0000	0.0000
//Nitrate	1	1.0000	-0.5394	-19.1434
//Nitrate	3	1.0000	-1.0518	-0.6165
//Nitrate	30	1.0000	-1.4469	0.0000
//pH	1	1.0000	-0.0123	-0.0106
//pH	17	1.0000	-0.0220	0.0286
//pH	30	1.0000	-0.0128	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1499.85	0	3.2875	0	34.5065	0	27.475	0	1483.423	0	164.65	0	51.2	0	34.25	0	0.0108	0	0.0036	0	0.000262	1	-1E+10	1	0.93	1	7.8090	8	7.5579	8	2333	0	2251	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1399.76	0	3.5011	0	34.4568	0	27.414	0	1384.758	0	171.74	0	53.7	0	33.75	0	0.0072	0	0.0024	0	0.000263	1	-1E+10	1	0.94	1	7.8139	8	7.5616	8	2326	0	2244	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1298.36	0	3.7498	0	34.4101	0	27.352	0	1284.753	0	181.99	0	57.2	0	32.95	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.8269	8	7.5731	8	2317	0	2230	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1200.11	0	4.2675	0	34.3951	0	27.287	0	1187.810	0	185.16	0	58.9	0	31.84	0	0.0072	0	0.0024	0	0.000331	1	-1E+10	1	1.11	1	7.8325	8	7.5817	8	2311	0	2222	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1099.72	0	4.8106	0	34.3473	0	27.190	0	1088.709	0	203.74	0	65.7	0	29.94	0	0.0072	0	0.0024	0	0.000265	1	-1E+10	1	0.94	1	7.8546	8	7.6057	8	2296	0	2199	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	999.18	0	5.9127	0	34.3886	0	27.092	0	989.413	0	204.69	0	67.7	0	27.55	0	0.0072	0	0.0024	0	0.000278	1	-1E+10	1	0.98	1	7.8647	8	7.6267	8	2291	0	2186	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	977.10	0	6.1610	0	34.4030	0	27.072	0	967.599	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	976.00	0	6.1660	0	34.4030	0	27.071	0	966.513	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	974.00	0	6.1830	0	34.4040	0	27.070	0	964.537	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	972.00	0	6.1870	0	34.4050	0	27.070	0	962.561	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	970.00	0	6.2190	0	34.4070	0	27.068	0	960.585	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	968.00	0	6.2400	0	34.4080	0	27.066	0	958.609	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	966.00	0	6.2460	0	34.4090	0	27.066	0	956.633	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	964.00	0	6.2600	0	34.4090	0	27.064	0	954.657	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	962.00	0	6.2720	0	34.4100	0	27.063	0	952.680	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	960.00	0	6.2940	0	34.4120	0	27.062	0	950.704	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	958.00	0	6.3250	0	34.4140	0	27.060	0	948.728	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	956.00	0	6.3560	0	34.4160	0	27.057	0	946.752	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	954.00	0	6.3840	0	34.4180	0	27.055	0	944.776	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	952.00	0	6.3920	0	34.4190	0	27.055	0	942.800	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	951.73	0	6.3917	0	34.4189	0	27.055	0	942.533	0	207.06	0	69.3	0	26.35	0	0.0072	0	0.0024	0	0.000324	1	-1E+10	1	1.09	1	7.8534	8	7.6213	8	2290	0	2187	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	950.00	0	6.4110	0	34.4210	0	27.054	0	940.824	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	948.00	0	6.4460	0	34.4230	0	27.051	0	938.847	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	946.00	0	6.4790	0	34.4250	0	27.048	0	936.871	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	944.00	0	6.5090	0	34.4280	0	27.047	0	934.895	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	942.00	0	6.5470	0	34.4310	0	27.044	0	932.919	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	940.00	0	6.5660	0	34.4320	0	27.042	0	930.942	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	938.00	0	6.5700	0	34.4330	0	27.042	0	928.966	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	936.00	0	6.5880	0	34.4350	0	27.042	0	926.990	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	934.00	0	6.6210	0	34.4370	0	27.039	0	925.014	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	932.00	0	6.6530	0	34.4390	0	27.036	0	923.037	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	930.00	0	6.6650	0	34.4400	0	27.035	0	921.061	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	928.00	0	6.6750	0	34.4410	0	27.035	0	919.084	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	926.00	0	6.6870	0	34.4430	0	27.035	0	917.108	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	924.00	0	6.7320	0	34.4460	0	27.031	0	915.132	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	922.00	0	6.7700	0	34.4480	0	27.028	0	913.155	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	920.00	0	6.8060	0	34.4510	0	27.025	0	911.179	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
