//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906204
//Univ. of Washington ID: 18299
//MBARI ID: 18299SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11436	
//Temperature[°C]	Sbe41cp	11436	
//Salinity[pss]	Sbe41cp	11436	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3089	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0114  Spec#114272 Equitech Ti probe #1804.04  MBARI ARGO float#843  DF#252  CTD#11436	
//Chl_a[mg/m^3]	FLBBAP2	5505	
//Chl_a_corr[mg/m^3]	FLBBAP2	5505	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5505	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5505	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	252	
//pH25C[Total]	Durafet	252	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0433	0.0000	0.0000
//Nitrate	1	1.0000	-0.1796	-56.8378
//Nitrate	3	1.0000	-1.5309	-0.4411
//Nitrate	35	1.0000	-2.0267	0.0000
//pH	1	1.0000	0.0155	-0.5750
//pH	3	1.0000	-0.0028	-0.0060
//pH	35	1.0000	-0.0047	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	1499.27	0	3.2117	0	34.5293	0	27.500	0	1483.712	0	169.68	0	52.7	0	33.63	0	0.0073	0	0.0024	0	0.000329	1	-1E+10	1	1.11	1	7.8353	0	7.5805	0	2334	0	2244	0	560.1	0
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	1399.33	0	3.4949	0	34.4803	0	27.434	0	1385.137	0	173.15	0	54.1	0	33.39	0	0.0073	0	0.0024	0	0.000307	1	-1E+10	1	1.05	1	7.8366	0	7.5819	0	2327	0	2237	0	564.2	0
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	1300.37	0	3.9680	0	34.4336	0	27.349	0	1287.483	0	178.26	0	56.3	0	32.57	0	0.0037	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.8417	0	7.5895	0	2318	0	2226	0	563.0	0
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	1199.96	0	4.4598	0	34.3978	0	27.269	0	1188.351	0	188.13	0	60.2	0	31.31	0	0.0000	0	0.0000	0	0.000309	1	-1E+10	1	1.06	1	7.8529	0	7.6029	0	2309	0	2212	0	553.1	0
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	1100.02	0	5.3072	0	34.3964	0	27.172	0	1089.637	0	196.49	0	64.1	0	28.97	0	0.0037	0	0.0012	0	0.000345	1	-1E+10	1	1.15	1	7.8691	0	7.6259	0	2299	0	2194	0	537.5	0
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	1000.33	0	6.2721	0	34.4393	0	27.087	0	991.123	0	200.22	0	66.8	0	26.61	0	0.0000	0	0.0000	0	0.000312	1	-1E+10	1	1.06	1	7.8826	0	7.6483	0	2295	0	2182	0	526.9	0
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	979.40	0	6.6130	0	34.4590	0	27.058	0	970.435	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	978.00	0	6.6140	0	34.4590	0	27.058	0	969.051	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	976.00	0	6.6130	0	34.4600	0	27.059	0	967.074	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	974.00	0	6.6200	0	34.4600	0	27.058	0	965.096	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	972.00	0	6.6360	0	34.4620	0	27.057	0	963.119	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	970.00	0	6.6650	0	34.4630	0	27.054	0	961.142	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	968.00	0	6.6940	0	34.4660	0	27.053	0	959.165	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	966.00	0	6.7250	0	34.4680	0	27.050	0	957.188	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	964.00	0	6.7630	0	34.4720	0	27.048	0	955.211	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	962.00	0	6.8690	0	34.4780	0	27.039	0	953.233	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906204	1	C	01/01/2020	22:44	55.198	-30.138	0	960.00	0	6.9450	0	34.4820	0	27.031	0	951.256	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
