//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:13
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906238
//Univ. of Washington ID: 18601
//MBARI ID: 18601EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 17 19 22 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11439	
//Temperature[°C]	Sbe41cp	11439	
//Salinity[pss]	Sbe41cp	11439	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3063	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5698	
//Chl_a_corr[mg/m^3]	FLBBAP2	5698	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5698	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5698	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	248	
//pH25C[Total]	Durafet	248	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0645	0.0000	0.0000
//pH	1	1.0000	0.0141	-0.2637
//pH	4	1.0000	0.1255	0.0000
//pH	5	1.0000	0.0449	-0.5221
//pH	8	1.0000	0.0154	0.0649
//pH	13	1.0000	0.0437	0.3570
//pH	25	1.0000	0.1408	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1699.77	0	2.6183	0	34.6232	0	27.629	0	1683.575	0	100.88	0	30.9	0	-1E+10	1	0.0108	0	0.0108	0	0.000223	1	-1E+10	1	0.83	1	7.7508	0	7.5048	0	2404	0	2343	0	688.3	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1599.24	0	2.8946	0	34.6114	0	27.595	0	1584.379	0	94.57	0	29.2	0	-1E+10	1	0.0144	0	0.0144	0	0.000236	1	-1E+10	1	0.87	1	7.7393	0	7.4947	0	2398	0	2341	0	715.7	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1499.38	0	3.1254	0	34.6010	0	27.565	0	1485.797	0	91.42	0	28.3	0	-1E+10	1	0.0108	0	0.0108	0	0.000237	1	-1E+10	1	0.87	1	7.7315	0	7.4873	0	2392	0	2337	0	737.1	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1399.59	0	3.3283	0	34.5937	0	27.540	0	1387.239	0	88.64	0	27.6	0	-1E+10	1	0.0144	0	0.0144	0	0.000237	1	-1E+10	1	0.87	1	7.7280	0	7.4832	0	2386	0	2334	0	751.3	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1299.39	0	3.5683	0	34.5845	0	27.509	0	1288.229	0	86.02	0	27.0	0	-1E+10	1	0.0108	0	0.0108	0	0.000250	1	-1E+10	1	0.90	1	7.7226	0	7.4779	0	2380	0	2329	0	769.3	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1200.00	0	4.0124	0	34.5706	0	27.453	0	1189.974	0	83.23	0	26.4	0	-1E+10	1	0.0144	0	0.0144	0	0.000263	1	-1E+10	1	0.94	1	7.7152	0	7.4736	0	2368	0	2319	0	790.6	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	1098.33	0	4.2737	0	34.5602	0	27.417	0	1089.417	0	86.98	0	27.7	0	-1E+10	1	0.0144	0	0.0144	0	0.000263	1	-1E+10	1	0.94	1	7.7215	0	7.4790	0	2359	0	2308	0	785.7	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	999.99	0	4.6009	0	34.5555	0	27.377	0	992.107	0	80.49	0	25.9	0	-1E+10	1	0.0144	0	0.0144	0	0.000264	1	-1E+10	1	0.94	1	7.7132	0	7.4722	0	2353	0	2304	0	810.5	0
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	977.80	0	4.7460	0	34.5540	0	27.360	0	970.143	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	976.00	0	4.7520	0	34.5540	0	27.359	0	968.362	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	974.00	0	4.7630	0	34.5540	0	27.358	0	966.382	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	972.00	0	4.7750	0	34.5540	0	27.356	0	964.402	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	970.00	0	4.7930	0	34.5530	0	27.354	0	962.422	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	968.00	0	4.7980	0	34.5530	0	27.353	0	960.443	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	966.00	0	4.8070	0	34.5530	0	27.352	0	958.463	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	964.00	0	4.8250	0	34.5530	0	27.350	0	956.483	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906238	1	C	03/31/2020	22:51	205.647	0.044	0	962.00	0	4.8430	0	34.5530	0	27.348	0	954.503	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
