//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906235
//Univ. of Washington ID: 18820
//MBARI ID: 18820EqPacE
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11428	
//Temperature[°C]	Sbe41cp	11428	
//Salinity[pss]	Sbe41cp	11428	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3060	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5695	
//Chl_a_corr[mg/m^3]	FLBBAP2	5695	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5695	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5695	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	245	
//pH25C[Total]	Durafet	245	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0621	0.0000	0.0000
//pH	1	1.0000	0.0164	-1.2027
//pH	3	1.0000	-0.0168	-0.0702
//pH	10	1.0000	-0.0298	0.0249
//pH	27	1.0000	-0.0167	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1799.71	0	2.5384	0	34.6286	0	27.641	0	1782.144	0	99.63	0	30.5	0	-1E+10	1	0.0073	0	0.0073	0	0.000423	1	-1E+10	1	1.35	1	7.7481	0	7.5050	0	2409	0	2348	0	686.1	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1700.14	0	2.6409	0	34.6236	0	27.627	0	1683.940	0	97.89	0	30.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000259	1	-1E+10	1	0.93	1	7.7481	0	7.5028	0	2405	0	2345	0	693.4	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1599.75	0	2.8341	0	34.6123	0	27.601	0	1584.882	0	97.51	0	30.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000272	1	-1E+10	1	0.96	1	7.7460	0	7.4998	0	2398	0	2339	0	703.8	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1499.92	0	3.0404	0	34.6041	0	27.575	0	1486.331	0	93.65	0	29.0	0	-1E+10	1	0.0073	0	0.0073	0	0.000272	1	-1E+10	1	0.96	1	7.7363	0	7.4904	0	2392	0	2336	0	728.3	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1399.66	0	3.3805	0	34.5917	0	27.533	0	1387.308	0	86.73	0	27.1	0	-1E+10	1	0.0109	0	0.0109	0	0.000273	1	-1E+10	1	0.96	1	7.7179	0	7.4750	0	2384	0	2334	0	769.8	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1299.73	0	3.6237	0	34.5841	0	27.503	0	1288.565	0	83.60	0	26.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000484	1	-1E+10	1	1.51	1	7.7168	0	7.4736	0	2378	0	2328	0	780.0	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1200.04	0	3.8156	0	34.5759	0	27.477	0	1190.013	0	84.00	0	26.5	0	-1E+10	1	0.0073	0	0.0073	0	0.000309	1	-1E+10	1	1.06	1	7.7169	8	7.4725	8	2374	0	2325	8	788.4	8
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	1099.45	0	4.2461	0	34.5629	0	27.422	0	1090.525	0	80.64	0	25.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000286	1	-1E+10	1	1.00	1	7.7053	8	7.4643	8	2362	0	2316	8	818.5	8
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	999.68	0	4.8124	0	34.5523	0	27.351	0	991.800	0	78.69	0	25.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000275	1	-1E+10	1	0.97	1	7.6995	0	7.4629	0	2349	0	2303	0	837.9	0
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	979.30	0	4.9240	0	34.5500	0	27.337	0	971.628	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	978.00	0	4.9280	0	34.5500	0	27.336	0	970.341	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	976.00	0	4.9340	0	34.5510	0	27.336	0	968.362	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	974.00	0	4.9410	0	34.5510	0	27.335	0	966.382	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	972.00	0	4.9490	0	34.5510	0	27.335	0	964.402	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	970.00	0	4.9600	0	34.5500	0	27.332	0	962.422	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906235	1	C	03/21/2020	23:05	219.954	0.032	0	968.00	0	4.9650	0	34.5500	0	27.332	0	960.443	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
