//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:32
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906303
//Univ. of Washington ID: 19017
//MBARI ID: 19017EqPacE
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12310	
//Temperature[°C]	Sbe41cp	12310	
//Salinity[pss]	Sbe41cp	12310	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3271	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5965	
//Chl_a_corr[mg/m^3]	FLBBAP2	5965	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5965	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5965	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10402	
//pH25C[Total]	Durafet	10402	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0559	0.0000	0.0000
//pH	1	1.0000	0.0204	-0.2151
//pH	4	1.0000	-0.0336	0.0000
//pH	7	1.0000	-0.1242	-0.2099
//pH	10	1.0000	-0.1377	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1698.95	0	2.7427	0	34.6176	0	27.614	0	1682.701	0	87.22	0	26.8	0	-1E+10	1	0.0036	0	0.0036	0	0.000304	1	-1E+10	1	1.04	1	7.7113	0	7.4718	0	2405	0	2355	0	757.5	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1599.63	0	2.9132	0	34.6078	0	27.590	0	1584.702	0	86.80	0	26.8	0	-1E+10	1	0.0108	0	0.0108	0	0.000293	1	-1E+10	1	1.01	1	7.7127	0	7.4716	0	2399	0	2350	0	762.8	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1499.51	0	3.1641	0	34.5993	0	27.560	0	1485.868	0	80.29	0	24.9	0	-1E+10	1	0.0036	0	0.0036	0	0.000293	1	-1E+10	1	1.02	1	7.7017	0	7.4615	0	2394	0	2348	0	792.3	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1399.75	0	3.3554	0	34.5921	0	27.536	0	1387.343	0	78.03	0	24.3	0	-1E+10	1	0.0108	0	0.0108	0	0.000317	1	-1E+10	1	1.08	1	7.6979	0	7.4570	0	2389	0	2345	0	808.1	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1299.58	0	3.5558	0	34.5848	0	27.510	0	1288.367	0	77.55	0	24.3	0	-1E+10	1	0.0072	0	0.0072	0	0.000317	1	-1E+10	1	1.08	1	7.6983	0	7.4564	0	2383	0	2340	0	815.8	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1199.44	0	3.8949	0	34.5726	0	27.466	0	1189.373	0	75.69	0	23.9	0	-1E+10	1	0.0108	0	0.0108	0	0.000353	1	-1E+10	1	1.17	1	7.6960	0	7.4551	0	2375	0	2332	0	828.6	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1099.95	0	4.2588	0	34.5640	0	27.421	0	1090.977	0	69.52	0	22.1	0	-1E+10	1	0.0108	0	0.0108	0	0.000330	1	-1E+10	1	1.11	1	7.6811	0	7.4430	0	2367	0	2329	0	868.4	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	999.63	0	4.8239	0	34.5529	0	27.350	0	991.712	0	58.25	0	18.8	0	-1E+10	1	0.0108	0	0.0108	0	0.000308	1	-1E+10	1	1.05	1	7.6541	0	7.4229	0	2356	0	2325	0	937.0	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	977.90	0	4.9520	0	34.5520	0	27.335	0	970.205	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	976.00	0	4.9660	0	34.5520	0	27.333	0	968.324	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	974.00	0	4.9780	0	34.5510	0	27.331	0	966.344	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	972.00	0	4.9780	0	34.5520	0	27.332	0	964.365	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	970.00	0	4.9800	0	34.5520	0	27.332	0	962.385	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	968.00	0	5.0040	0	34.5510	0	27.328	0	960.405	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	966.00	0	5.0240	0	34.5510	0	27.326	0	958.425	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	964.00	0	5.0340	0	34.5500	0	27.324	0	956.446	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
