//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906301
//Univ. of Washington ID: 19090
//MBARI ID: 19090EqPacW
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12305	
//Temperature[°C]	Sbe41cp	12305	
//Salinity[pss]	Sbe41cp	12305	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3269	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5963	
//Chl_a_corr[mg/m^3]	FLBBAP2	5963	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5963	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5963	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10410	
//pH25C[Total]	Durafet	10410	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0651	0.0000	0.0000
//pH	1	1.0000	0.0146	-0.2558
//pH	3	1.0000	0.0098	0.0550
//pH	11	1.0000	0.0197	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1699.52	0	2.6647	0	34.6160	0	27.619	0	1683.258	0	95.05	0	29.1	0	-1E+10	1	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.7370	0	7.4933	0	2404	0	2348	0	712.1	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1599.46	0	2.8198	0	34.6093	0	27.600	0	1584.529	0	90.97	0	28.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000305	1	-1E+10	1	1.05	1	7.7291	0	7.4848	0	2401	0	2347	0	734.0	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1499.22	0	2.9820	0	34.6022	0	27.579	0	1485.577	0	88.52	0	27.4	0	-1E+10	1	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.7270	0	7.4814	0	2397	0	2344	0	745.8	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1399.65	0	3.2606	0	34.5913	0	27.544	0	1387.240	0	85.01	0	26.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000294	1	-1E+10	1	1.02	1	7.7178	0	7.4733	0	2390	0	2341	0	771.0	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1299.76	0	3.5448	0	34.5822	0	27.509	0	1288.541	0	80.58	0	25.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000330	1	-1E+10	1	1.11	1	7.7113	0	7.4677	0	2384	0	2337	0	791.6	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1199.88	0	3.8022	0	34.5738	0	27.477	0	1189.805	0	81.52	0	25.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000307	1	-1E+10	1	1.05	1	7.7159	0	7.4715	0	2377	0	2329	0	790.7	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1099.79	0	4.1862	0	34.5633	0	27.428	0	1090.815	0	70.95	0	22.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000308	1	-1E+10	1	1.05	1	7.6891	0	7.4492	0	2370	0	2329	0	853.5	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	999.72	0	4.6581	0	34.5517	0	27.368	0	991.798	0	74.62	0	24.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000297	1	-1E+10	1	1.02	1	7.6929	0	7.4550	0	2358	0	2315	0	853.5	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	979.60	0	4.7500	0	34.5490	0	27.355	0	971.884	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	978.00	0	4.7520	0	34.5490	0	27.355	0	970.301	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	976.00	0	4.7590	0	34.5490	0	27.354	0	968.321	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	974.00	0	4.7770	0	34.5490	0	27.352	0	966.341	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	972.00	0	4.8070	0	34.5480	0	27.348	0	964.362	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	970.00	0	4.8220	0	34.5480	0	27.346	0	962.382	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	968.00	0	4.8260	0	34.5480	0	27.346	0	960.402	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	966.00	0	4.8310	0	34.5480	0	27.345	0	958.422	0	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1
