//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:22
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904182
//Univ. of Washington ID: 7567
//MBARI ID: 7567SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 34 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3564	
//Temperature[°C]	Sbe41cp	3564	
//Salinity[pss]	Sbe41cp	3564	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	820	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.6005 Spec#061 APEX Ctech probe FA-MBA01-AP0A-001 MBARI ARGO float#7042	
//Chl_a[mg/m^3]	FLBBAP2	3145	
//Chl_a_corr[mg/m^3]	FLBBAP2	3145	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3145	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3145	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0858	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1799.37	0	0.6055	0	34.7023	0	27.837	0	1774.004	0	194.27	0	56.6	0	-1e10	1	0.0073	0	0.0024	0	0.000102	1	-1E+10	1	0.52	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1697.39	0	0.6425	0	34.7034	0	27.836	0	1673.863	0	193.37	0	56.4	0	-1e10	1	0.0073	0	0.0024	0	0.000113	1	-1E+10	1	0.55	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1597.30	0	0.6849	0	34.7043	0	27.833	0	1575.533	0	192.40	0	56.2	0	-1e10	1	0.0037	0	0.0012	0	0.000093	1	-1E+10	1	0.49	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1497.04	0	0.7231	0	34.7061	0	27.832	0	1476.989	0	191.51	0	56.0	0	-1e10	1	0.0073	0	0.0024	0	0.000103	1	-1E+10	1	0.52	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1396.85	0	0.7657	0	34.7073	0	27.830	0	1378.467	0	190.42	0	55.7	0	-1e10	1	0.0037	0	0.0012	0	0.000123	1	-1E+10	1	0.57	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1295.03	0	0.8073	0	34.7091	0	27.829	0	1278.296	0	189.36	0	55.5	0	-1e10	1	0.0037	0	0.0012	0	0.000103	1	-1E+10	1	0.52	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1195.82	0	0.8578	0	34.7115	0	27.827	0	1180.646	0	188.18	0	55.2	0	-1e10	1	0.0073	0	0.0024	0	0.000173	1	-1E+10	1	0.70	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	1094.21	0	0.9083	0	34.7127	0	27.824	0	1080.586	0	186.83	0	54.9	0	-1e10	1	0.0073	0	0.0024	0	0.000143	1	-1E+10	1	0.63	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	995.13	0	0.9680	0	34.7156	0	27.822	0	982.972	0	185.02	0	54.4	0	-1e10	1	0.0037	0	0.0012	0	0.000153	1	-1E+10	1	0.65	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	970.00	0	0.9810	0	34.7170	0	27.823	0	958.207	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	968.00	0	0.9820	0	34.7160	0	27.822	0	956.235	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	966.10	0	0.9830	0	34.7160	0	27.822	0	954.363	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	964.00	0	0.9850	0	34.7160	0	27.821	0	952.293	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1
5904182	2	C	04/10/2014	05:46	198.486	-65.687	0	962.00	0	0.9870	0	34.7160	0	27.821	0	950.322	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1
