//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:23
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903754
//Univ. of Washington ID: 7593
//MBARI ID: 7593HAWAII
//Missing Float profile(s) for station(s): 21 22 
//Missing Float position interpolated for station(s): 25 26 27 28 29 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 23 24 25 32 34 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3041	
//Temperature[°C]	Sbe41cp	3041	
//Salinity[pss]	Sbe41cp	3041	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	290	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS		
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0900	0.0000	0.0000
//Nitrate	1	1.0000	-4.0091	147.5518
//Nitrate	4	1.0000	-2.7794	-3.4014
//Nitrate	20	1.0000	-2.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	999.86	0	4.0418	0	34.4746	0	27.372	0	991.193	0	38.79	0	12.3	0	42.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	977.70	0	4.1120	0	34.4690	0	27.360	0	969.276	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	976.00	0	4.1140	0	34.4680	0	27.359	0	967.595	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	974.00	0	4.1210	0	34.4670	0	27.357	0	965.616	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	972.00	0	4.1350	0	34.4650	0	27.354	0	963.638	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	970.00	0	4.1430	0	34.4640	0	27.353	0	961.660	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	968.00	0	4.1620	0	34.4640	0	27.351	0	959.682	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	966.00	0	4.1810	0	34.4650	0	27.350	0	957.704	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	964.00	0	4.1810	0	34.4650	0	27.350	0	955.725	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	962.00	0	4.1790	0	34.4620	0	27.347	0	953.747	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	960.00	0	4.1780	0	34.4610	0	27.347	0	951.769	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	958.00	0	4.1770	0	34.4600	0	27.346	0	949.790	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	956.00	0	4.1770	0	34.4590	0	27.345	0	947.812	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	954.00	0	4.1780	0	34.4590	0	27.345	0	945.834	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	952.00	0	4.1780	0	34.4590	0	27.345	0	943.855	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	951.14	0	4.1783	0	34.4585	0	27.345	0	943.005	0	36.24	0	11.5	0	42.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	950.00	0	4.1790	0	34.4580	0	27.344	0	941.877	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	948.00	0	4.1800	0	34.4580	0	27.344	0	939.899	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	946.00	0	4.1830	0	34.4580	0	27.344	0	937.920	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	944.00	0	4.1840	0	34.4580	0	27.343	0	935.942	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	942.00	0	4.1860	0	34.4580	0	27.343	0	933.963	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	940.00	0	4.1880	0	34.4580	0	27.343	0	931.985	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	938.00	0	4.1970	0	34.4570	0	27.341	0	930.006	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	936.00	0	4.2080	0	34.4560	0	27.339	0	928.028	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	934.00	0	4.2170	0	34.4550	0	27.338	0	926.049	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	932.00	0	4.2230	0	34.4550	0	27.337	0	924.071	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	930.00	0	4.2380	0	34.4540	0	27.335	0	922.092	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	928.00	0	4.2520	0	34.4540	0	27.333	0	920.113	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	926.00	0	4.2630	0	34.4540	0	27.332	0	918.135	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	924.00	0	4.2720	0	34.4550	0	27.332	0	916.156	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	922.00	0	4.2910	0	34.4540	0	27.329	0	914.177	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
