//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:28
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903753
//Univ. of Washington ID: 7597
//MBARI ID: 7597HAWAII
//No missing float profiles
//Missing Float data detected for adjusted station(s): 2 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3042	
//Temperature[°C]	Sbe41cp	3042	
//Salinity[pss]	Sbe41cp	3042	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	142	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS		
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1224	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	954.00	0	4.2540	0	34.4510	0	27.331	0	945.841	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	952.10	0	4.2550	0	34.4510	0	27.331	0	943.962	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	950.00	0	4.2540	0	34.4510	0	27.331	0	941.885	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	948.00	0	4.2550	0	34.4510	0	27.331	0	939.906	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	946.00	0	4.2550	0	34.4500	0	27.330	0	937.928	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	944.00	0	4.2560	0	34.4500	0	27.330	0	935.949	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	942.00	0	4.2590	0	34.4500	0	27.329	0	933.971	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	940.00	0	4.2660	0	34.4480	0	27.327	0	931.992	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	938.00	0	4.2740	0	34.4460	0	27.324	0	930.014	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903753	1	C	05/23/2012	21:43	201.940	22.671	0	936.00	0	4.2760	0	34.4460	0	27.324	0	928.035	0	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
