//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 13:06
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903717
//Univ. of Washington ID: 0068
//MBARI ID: 0068ROSSSEA
//Missing Float profile(s) for station(s): 86 87 128 129 130 131 132 133 138 328 329 330 331 332 333 334 335 
//Missing Float position interpolated for station(s): 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 84 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 147 148 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 181 184 200 201 202 203 204 206 207 208 209 210 211 212 213 214 215 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 252 253 254 255 256 257 258 259 260 261 262 263 264 265 267 268 269 270 271 272 273 274 275 276 277 278 279 280 282 283 284 285 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 295 341 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2813	
//Temperature[°C]	Sbe41cp	2813	
//Salinity[pss]	Sbe41cp	2813	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1253	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4471 Spec#016 Equitech probe #2009.0827R10.07 Float#7009 2nd BATS deployment	
//Chl_a[mg/m^3]	FLBBAP2	1550	
//Chl_a_corr[mg/m^3]	FLBBAP2	1550	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1550	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1550	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1116	0.0000	0.0000
//Nitrate	1	1.0000	2.7114	-2.3018
//Nitrate	105	1.0000	1.2970	6.8323
//Nitrate	145	1.0000	5.2750	1.0593
//Nitrate	280	1.0000	7.7171	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	999.27	0	0.8710	0	34.7055	0	27.820	0	987.097	0	194.48	0	57.0	0	32.96	0	0.0000	0	0.0000	0	0.000214	1	-1E+10	1	0.81	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	950.83	0	0.9055	0	34.7066	0	27.819	0	939.356	0	193.89	0	56.9	0	33.75	0	0.0072	0	0.0024	0	0.000214	1	-1E+10	1	0.81	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	901.65	0	0.9405	0	34.7078	0	27.818	0	890.874	0	193.16	0	56.8	0	33.59	0	0.0036	0	0.0012	0	0.000214	1	-1E+10	1	0.81	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	851.24	0	0.9634	0	34.7087	0	27.817	0	841.168	0	192.37	0	56.6	0	33.75	0	0.0000	0	0.0000	0	0.000226	1	-1E+10	1	0.84	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	798.66	0	1.0104	0	34.7104	0	27.815	0	789.309	0	192.80	0	56.8	0	32.58	0	0.0000	0	0.0000	0	0.000226	1	-1E+10	1	0.84	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	750.80	0	1.0398	0	34.7104	0	27.813	0	742.095	0	191.84	0	56.5	0	32.10	0	0.0072	0	0.0024	0	0.000237	1	-1E+10	1	0.87	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	701.73	0	1.0700	0	34.7104	0	27.810	0	693.675	0	191.29	0	56.4	0	31.98	0	0.0072	0	0.0024	0	0.000248	1	-1E+10	1	0.90	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	651.34	0	1.1117	0	34.7117	0	27.808	0	643.941	0	190.36	0	56.2	0	33.16	0	0.0000	0	0.0000	0	0.000226	1	-1E+10	1	0.84	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	601.02	0	1.1316	0	34.7120	0	27.807	0	594.265	0	190.59	0	56.3	0	34.07	0	0.0000	0	0.0000	0	0.000473	1	-1E+10	1	1.48	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	550.75	0	1.1588	0	34.7117	0	27.805	0	544.625	0	190.33	0	56.2	0	32.83	0	0.0036	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	501.43	0	1.1797	0	34.7120	0	27.804	0	495.913	0	189.86	0	56.1	0	33.48	0	0.0000	0	0.0000	0	0.000237	1	-1E+10	1	0.87	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	450.96	0	1.2125	0	34.7117	0	27.801	0	446.052	0	189.14	0	56.0	0	32.46	0	0.0036	0	0.0012	0	0.000249	1	-1E+10	1	0.90	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	401.05	0	1.2515	0	34.7104	0	27.797	0	396.733	0	188.25	0	55.8	0	33.37	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	381.62	0	1.2590	0	34.7086	0	27.795	0	377.530	0	187.51	0	55.5	0	33.35	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	358.34	0	1.2673	0	34.7064	0	27.792	0	354.519	0	186.75	0	55.3	0	32.93	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	350.96	0	1.2682	0	34.7061	0	27.792	0	347.224	0	186.43	0	55.2	0	32.51	0	0.0036	0	0.0012	0	0.000249	1	-1E+10	1	0.90	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	340.95	0	1.2701	0	34.7052	0	27.791	0	337.329	0	186.07	0	55.1	0	32.57	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	331.07	0	1.2707	0	34.7054	0	27.791	0	327.562	0	186.01	0	55.1	0	32.83	0	0.0000	0	0.0000	0	0.000249	1	-1E+10	1	0.90	1
5903717	1	C	02/19/2012	07:52	171.832	-65.027	0	321.57	0	1.2733	0	34.7043	0	27.790	0	318.170	0	185.93	0	55.1	0	33.16	0	0.0036	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1
