//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 13:09
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903890
//Univ. of Washington ID: 0069
//MBARI ID: 0069BERMUDA
//No missing float profiles
//Missing Float position interpolated for station(s): 33 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 128 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	1511	
//Temperature[°C]	Sbe41cp	1511	
//Salinity[pss]	Sbe41cp	1511	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	737	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#3025 Spec#021 Equitech probe 20120110R10.13 APEX float#3025 Controller#5145	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	0.9582	0.0000	-0.0097
//Oxygen	173	0.9346	0.0000	0.0000
//Nitrate	1	1.0000	-1.8989	0.0000
//Nitrate	51	1.0000	-1.4747	0.7148
//Nitrate	95	1.0000	-1.5704	-1.3594
//Nitrate	122	1.0000	-1.9738	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	1099.05	0	5.8145	0	35.0854	0	27.657	0	1088.542	0	219.65	0	72.9	0	28.19	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	997.43	0	6.4354	0	35.0867	0	27.577	0	988.133	0	197.23	0	66.4	0	29.67	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	951.29	0	6.8443	0	35.0918	0	27.526	0	942.527	0	185.19	0	62.9	0	30.72	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	901.46	0	7.4943	0	35.1226	0	27.459	0	893.262	0	177.12	0	61.1	0	28.39	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	851.31	0	8.2101	0	35.1541	0	27.377	0	843.669	0	166.47	0	58.4	0	28.59	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	801.54	0	9.4150	0	35.2373	0	27.252	0	794.441	0	151.02	0	54.4	0	27.74	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	750.87	0	11.3260	0	35.4584	0	27.091	0	744.310	0	149.70	0	56.3	0	24.03	4	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	701.56	0	11.8742	0	35.5308	0	27.044	0	695.513	0	153.11	0	58.2	0	21.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	651.46	0	13.0713	0	35.7147	0	26.952	0	645.922	0	159.71	0	62.3	0	19.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	600.62	0	14.5074	0	35.9200	0	26.810	0	595.587	0	166.83	0	67.1	0	15.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	550.95	0	15.4255	0	36.0810	0	26.731	0	546.398	0	173.33	0	71.1	0	12.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	500.83	0	16.3715	0	36.2531	0	26.646	0	496.752	0	181.13	0	75.7	0	10.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	451.44	0	17.0289	0	36.3678	0	26.577	0	447.818	0	185.13	0	78.4	0	8.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	400.46	0	17.5312	0	36.4684	0	26.531	0	397.295	0	190.96	0	81.7	0	6.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	381.28	0	17.6871	0	36.4985	0	26.515	0	378.285	0	192.89	0	82.8	0	6.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	360.33	0	17.8638	0	36.5296	0	26.495	0	357.517	0	194.83	0	83.9	0	5.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	351.05	0	17.8957	0	36.5286	0	26.486	0	348.317	0	194.40	0	83.8	0	5.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	340.71	0	17.9900	0	36.5439	0	26.473	0	338.066	0	194.35	0	83.9	0	5.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	330.36	0	18.0157	0	36.5455	0	26.468	0	327.805	0	195.22	0	84.3	0	5.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	321.51	0	18.0540	0	36.5454	0	26.458	0	319.030	0	195.88	0	84.7	0	5.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	310.46	0	18.0960	0	36.5440	0	26.446	0	308.074	0	195.51	0	84.6	0	4.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	300.92	0	18.1487	0	36.5467	0	26.434	0	298.614	0	195.78	0	84.8	0	4.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	291.63	0	18.1948	0	36.5469	0	26.423	0	289.401	0	195.67	0	84.8	0	4.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	281.50	0	18.2637	0	36.5431	0	26.402	0	279.356	0	196.54	0	85.3	0	4.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	271.62	0	18.2816	0	36.5345	0	26.391	0	269.557	0	198.65	0	86.2	0	3.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	261.18	0	18.3012	0	36.5203	0	26.374	0	259.203	0	201.81	0	87.6	0	3.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	250.97	0	18.3118	0	36.5122	0	26.365	0	249.077	0	204.63	0	88.9	0	3.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	240.96	0	18.3708	0	36.5182	0	26.354	0	239.148	0	204.56	0	88.9	0	3.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	231.20	0	18.4463	0	36.5217	0	26.338	0	229.467	0	202.75	0	88.3	0	3.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	221.44	0	18.5815	0	36.5336	0	26.312	0	219.785	0	200.51	0	87.5	0	3.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	210.95	0	18.7342	0	36.5496	0	26.285	0	209.379	0	198.46	0	86.9	0	3.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	201.09	0	18.8140	0	36.5513	0	26.266	0	199.597	0	198.70	0	87.1	0	2.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	191.03	0	18.9058	0	36.5466	0	26.238	0	189.616	0	199.58	0	87.7	0	2.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	181.20	0	19.0489	0	36.5477	0	26.202	0	179.863	0	200.11	0	88.1	0	2.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	170.97	0	19.1912	0	36.5654	0	26.178	0	169.713	0	200.91	0	88.7	0	1.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	161.52	0	19.3515	0	36.5748	0	26.143	0	160.336	0	201.62	0	89.3	0	1.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	151.43	0	19.5703	0	36.5888	0	26.096	0	150.324	0	201.46	0	89.6	0	1.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	141.25	0	19.7968	0	36.6092	0	26.052	0	140.222	0	201.25	0	89.9	0	0.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	130.67	0	20.1232	0	36.6258	0	25.977	0	129.722	0	201.69	0	90.6	0	0.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	120.91	0	20.6098	0	36.6441	0	25.860	0	120.036	0	201.95	0	91.5	0	0.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	110.88	0	20.8690	0	36.6468	0	25.791	0	110.081	0	202.32	0	92.1	0	0.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	101.30	0	21.4956	0	36.6769	0	25.641	0	100.572	0	199.73	0	92.0	0	0.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	96.67	0	21.6365	0	36.6966	0	25.617	0	95.977	0	196.67	0	90.8	0	0.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	91.59	0	21.7474	0	36.6969	0	25.586	0	90.934	0	193.73	0	89.6	0	0.90	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	86.51	0	21.8871	0	36.7060	0	25.553	0	85.892	0	192.06	0	89.1	0	0.90	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	81.30	0	22.2222	0	36.6757	0	25.435	0	80.720	0	191.19	0	89.2	0	0.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	76.88	0	22.8527	0	36.5157	0	25.132	0	76.332	0	191.48	0	90.2	0	-0.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903890	1	C	11/30/2012	16:01	295.905	31.681	0	71.77	0	23.0092	0	36.4380	0	25.028	0	71.259	0	205.81	0	97.1	0	-0.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
