//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 13:34
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904478
//Univ. of Washington ID: 0511
//MBARI ID: 0511SOOCN
//No missing float profiles
//No position for station(s): 1 
//Missing Float data detected for adjusted station(s): 1 2 3 4 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6269	
//Temperature[°C]	Sbe41cp	6269	
//Salinity[pss]	Sbe41cp	6269	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	0838	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 0501	
//Chl_a[mg/m^3]	MCOMS	0034	
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]	MCOMS	0034	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	0034	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	DURA	0075	
//pH25C[Total]	DURA	0075	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	0034	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0200	0.0000	0.0000
//Nitrate	1	1.0000	1.3407	0.0000
//Nitrate	2	1.0000	1.1124	-1.4794
//Nitrate	4	1.0000	1.0416	0.0000
//pH	1	1.0000	-0.1178	0.0000
//pH	2	1.0000	-0.1348	0.2610
//pH	4	1.0000	-0.1148	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1999.00	0	0.0447	0	34.6590	0	27.834	0	1969.992	0	216.29	8	62.1	8	33.48	0	0.0090	0	-1E+10	1	0.000180	1	-1E+10	1	0.72	1	7.8838	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.36	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1949.70	0	0.0573	0	34.6600	0	27.834	0	1921.629	0	215.19	0	61.8	0	33.43	0	0.0120	0	-1E+10	1	0.000184	1	-1E+10	1	0.73	1	7.8822	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.41	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1899.70	0	0.0726	0	34.6600	0	27.833	0	1872.569	0	214.66	0	61.7	0	33.34	0	0.0110	0	-1E+10	1	0.000182	1	-1E+10	1	0.73	1	7.8814	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.36	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1849.70	0	0.0921	0	34.6610	0	27.833	0	1823.497	0	214.06	0	61.5	0	33.40	0	0.0090	0	-1E+10	1	0.000180	1	-1E+10	1	0.72	1	7.8837	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.39	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1799.90	0	0.1085	0	34.6620	0	27.833	0	1774.610	0	213.44	0	61.4	0	33.33	0	0.0110	0	-1E+10	1	0.000186	1	-1E+10	1	0.74	1	7.8847	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.39	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1749.70	0	0.1260	0	34.6630	0	27.832	0	1725.319	0	212.77	0	61.2	0	33.38	0	0.0120	0	-1E+10	1	0.000184	1	-1E+10	1	0.73	1	7.8864	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.37	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1699.00	0	0.1453	0	34.6640	0	27.832	0	1675.526	0	211.94	0	61.0	0	33.40	0	0.0100	0	-1E+10	1	0.000188	1	-1E+10	1	0.74	1	7.8862	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.36	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1650.00	0	0.1667	0	34.6650	0	27.831	0	1627.391	0	210.98	0	60.7	0	33.36	0	0.0110	0	-1E+10	1	0.000190	1	-1E+10	1	0.75	1	7.8873	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.37	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1600.10	0	0.1946	0	34.6650	0	27.830	0	1578.361	0	210.12	0	60.5	0	33.48	0	0.0130	0	-1E+10	1	0.000198	1	-1E+10	1	0.77	1	7.8887	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.36	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1549.00	0	0.2185	0	34.6670	0	27.830	0	1528.139	0	209.15	0	60.3	0	33.34	0	0.0120	0	-1E+10	1	0.000197	1	-1E+10	1	0.76	1	7.8897	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.41	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1498.80	0	0.2399	0	34.6680	0	27.829	0	1478.791	0	207.92	0	60.0	0	33.37	0	0.0120	0	-1E+10	1	0.000197	1	-1E+10	1	0.76	1	7.8887	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.39	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1449.40	0	0.2625	0	34.6680	0	27.828	0	1430.217	0	207.45	0	59.9	0	33.31	0	0.0120	0	-1E+10	1	0.000197	1	-1E+10	1	0.76	1	7.8923	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.42	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1399.70	0	0.2888	0	34.6700	0	27.828	0	1381.338	0	206.58	0	59.7	0	33.39	0	0.0120	0	-1E+10	1	0.000197	1	-1E+10	1	0.76	1	7.8924	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.39	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1350.00	0	0.3148	0	34.6710	0	27.827	0	1332.446	0	205.69	0	59.5	0	33.27	0	0.0110	0	-1E+10	1	0.000199	1	-1E+10	1	0.77	1	7.8954	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.40	1
5904478	1	C	12/18/2014	16:32	-1e10	-1e10	1	1298.80	0	0.3344	0	34.6720	0	27.827	0	1282.068	0	205.36	0	59.4	0	33.33	0	0.0100	0	-1E+10	1	0.000195	1	-1E+10	1	0.76	1	7.8952	0	-1e10	1	 -1e10	1	 -1e10	1	 -1e10	1	-1E+10	1	2.39	1
