//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 13:44
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904983
//Univ. of Washington ID: 0567
//MBARI ID: 0567SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 22 23 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7560	
//Temperature[°C]	Sbe41cp	7560	
//Salinity[pss]	Sbe41cp	7560	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	1129	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 0689	
//Chl_a[mg/m^3]	MCOMSC	0111	
//Chl_a_corr[mg/m^3]	MCOMSC	0111	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMSC	0111	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMSC	0111	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	DURA	0103	
//pH25C[Total]	DURA	0103	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMSC	0111	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0600	0.0000	0.0000
//Nitrate	1	1.0000	3.8511	-28.1410
//Nitrate	3	1.0000	2.7472	-3.2476
//Nitrate	24	1.0000	1.0467	0.0000
//pH	1	1.0000	-0.0716	0.0000
//pH	2	1.0000	-0.0761	-0.0813
//pH	9	1.0000	-0.0911	0.0124
//pH	24	1.0000	-0.0858	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1899.90	0	1.0692	0	34.7180	0	27.822	0	1872.482	0	205.57	8	60.6	8	32.11	0	0.0010	0	0.0003	0	0.000260	1	-1E+10	1	0.93	1	7.8848	0	7.6100	4	2360	4	2257	4	471.7	4	-1E+10	1	2.84	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1848.60	0	1.0966	0	34.7210	0	27.822	0	1822.142	0	198.39	0	58.5	0	31.99	0	0.0020	0	0.0007	0	0.000595	1	-1E+10	1	1.80	1	7.8853	0	7.6089	0	2360	0	2259	0	474.2	0	-1E+10	1	2.87	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1798.70	0	1.1256	0	34.7210	0	27.820	0	1773.164	0	197.62	0	58.3	0	31.90	0	0.0000	0	0.0000	0	0.000278	1	-1E+10	1	0.98	1	7.8864	0	7.6084	0	2360	0	2258	0	475.7	0	-1E+10	1	2.88	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1749.30	0	1.1495	0	34.7220	0	27.819	0	1724.666	0	196.95	0	58.2	0	32.05	0	0.0040	0	0.0013	0	0.000283	1	-1E+10	1	0.99	1	7.8877	0	7.6081	0	2360	0	2259	0	476.9	0	-1E+10	1	2.90	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1699.20	0	1.1730	0	34.7220	0	27.817	0	1675.469	0	196.58	0	58.1	0	31.98	0	0.0030	0	0.0010	0	0.000292	1	-1E+10	1	1.01	1	7.8883	0	7.6072	0	2360	0	2259	0	479.1	0	-1E+10	1	2.91	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1649.60	0	1.1997	0	34.7240	0	27.817	0	1626.752	0	196.17	0	58.0	0	31.88	0	-0.0010	0	-0.0003	0	0.000315	1	-1E+10	1	1.07	1	7.8885	0	7.6059	0	2360	0	2260	0	481.8	0	-1E+10	1	2.88	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1599.40	0	1.2292	0	34.7240	0	27.815	0	1577.434	0	195.74	0	57.9	0	31.77	0	0.0020	0	0.0007	0	0.000286	1	-1E+10	1	1.00	1	7.8885	0	7.6044	0	2360	0	2260	0	484.6	0	-1E+10	1	2.88	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1549.40	0	1.2605	0	34.7250	0	27.813	0	1528.301	0	195.33	0	57.9	0	31.73	0	0.0049	0	0.0016	0	0.000293	1	-1E+10	1	1.01	1	7.8877	0	7.6023	0	2359	0	2260	0	488.4	0	-1E+10	1	2.87	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1499.00	0	1.2939	0	34.7250	0	27.810	0	1478.764	0	194.92	0	57.8	0	31.61	0	0.0059	0	0.0020	0	0.000274	1	-1E+10	1	0.97	1	7.8865	0	7.5999	0	2358	0	2259	0	492.5	0	-1E+10	1	2.92	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1450.00	0	1.3263	0	34.7280	0	27.810	0	1430.591	0	194.15	0	57.6	0	31.68	0	0.0049	0	0.0016	0	0.000286	1	-1E+10	1	1.00	1	7.8854	0	7.5975	0	2356	0	2259	0	496.5	0	-1E+10	1	2.90	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1399.40	0	1.3641	0	34.7280	0	27.808	0	1380.834	0	193.64	0	57.5	0	31.38	0	0.0059	0	0.0020	0	0.000281	1	-1E+10	1	0.98	1	7.8843	0	7.5952	0	2356	0	2260	0	500.9	0	-1E+10	1	2.94	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1349.60	0	1.4051	0	34.7300	0	27.806	0	1331.852	0	192.94	0	57.4	0	31.53	0	0.0040	0	0.0013	0	0.000297	1	-1E+10	1	1.03	1	7.8822	0	7.5920	0	2357	0	2262	0	506.9	0	-1E+10	1	2.92	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1299.60	0	1.4450	0	34.7290	0	27.802	0	1282.661	0	192.52	0	57.3	0	31.38	0	0.0049	0	0.0016	0	0.000323	1	-1E+10	1	1.09	1	7.8816	0	7.5903	0	2357	0	2262	0	510.6	0	-1E+10	1	2.92	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1249.30	0	1.4714	0	34.7300	0	27.801	0	1233.164	0	192.03	0	57.2	0	31.34	0	0.0069	0	0.0023	0	0.000288	1	-1E+10	1	1.00	1	7.8823	0	7.5893	0	2356	0	2262	0	512.8	0	-1E+10	1	2.90	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1199.50	0	1.5115	0	34.7310	0	27.799	0	1184.147	0	191.71	0	57.2	0	31.24	0	0.0079	0	0.0026	0	0.000289	1	-1E+10	1	1.00	1	7.8848	0	7.5904	0	2356	0	2261	0	512.5	0	-1E+10	1	2.89	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1149.40	0	1.5504	0	34.7310	0	27.796	0	1134.824	0	190.91	0	57.0	0	31.04	0	0.0059	0	0.0020	0	0.000302	1	-1E+10	1	1.04	1	7.8864	0	7.5905	0	2355	0	2260	0	513.4	0	-1E+10	1	2.90	1
5904983	1	C	01/03/2017	16:53	275.839	-67.205	0	1099.30	0	1.5894	0	34.7320	0	27.793	0	1085.488	0	190.20	0	56.8	0	31.10	0	0.0069	0	0.0023	0	0.000300	1	-1E+10	1	1.03	1	7.8852	0	7.5881	0	2355	0	2261	0	518.1	0	-1E+10	1	2.92	1
