//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:27
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905074
//Univ. of Washington ID: 0693
//MBARI ID: 0693SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8572	
//Temperature[°C]	Sbe41cp	8572	
//Salinity[pss]	Sbe41cp	8572	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	1379	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 0823	
//Chl_a[mg/m^3]	MCOMS	0141	
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]	MCOMS	0141	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	0141	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	B7	
//pH25C[Total]	SBE	B7	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	0141	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0560	0.0000	0.0000
//Nitrate	1	1.0000	5.7819	0.0000
//pH	1	1.0000	-0.0838	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1998.40	0	0.9564	0	34.7100	0	27.823	0	1970.307	0	213.46	8	62.7	8	31.58	8	0.0118	0	-1E+10	1	0.000206	1	-1E+10	1	0.79	1	7.8967	8	7.6234	8	2355	4	2251	8	 -1e10	1	-1E+10	1	2.88	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1948.70	0	0.9901	0	34.7120	0	27.822	0	1921.529	0	212.61	8	62.6	8	31.43	8	0.0109	0	-1E+10	1	0.000206	1	-1E+10	1	0.79	1	7.8955	8	7.6210	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1899.10	0	1.0421	0	34.7140	0	27.820	0	1872.839	0	212.23	8	62.5	8	31.30	8	0.0154	0	-1E+10	1	0.000209	1	-1E+10	1	0.80	1	7.8964	8	7.6207	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1849.10	0	1.0850	0	34.7170	0	27.820	0	1823.744	0	211.98	8	62.5	8	31.21	8	0.0118	0	-1E+10	1	0.000238	1	-1E+10	1	0.87	1	7.8985	8	7.6213	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.90	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1798.70	0	1.1210	0	34.7190	0	27.819	0	1774.246	0	211.69	8	62.5	8	31.00	8	0.0136	0	-1E+10	1	0.000208	1	-1E+10	1	0.79	1	7.8999	8	7.6213	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.92	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1749.10	0	1.1672	0	34.7210	0	27.817	0	1725.522	0	211.29	8	62.4	8	30.91	8	0.0136	0	-1E+10	1	0.000208	1	-1E+10	1	0.79	1	7.9017	8	7.6217	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1699.60	0	1.2110	0	34.7240	0	27.816	0	1676.884	0	211.00	8	62.4	8	30.90	8	0.0118	0	-1E+10	1	0.000211	1	-1E+10	1	0.80	1	7.9037	8	7.6222	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1649.60	0	1.2467	0	34.7260	0	27.815	0	1627.744	0	210.68	8	62.4	8	30.73	8	0.0136	0	-1E+10	1	0.000213	1	-1E+10	1	0.81	1	7.9053	8	7.6223	8	2355	4	2252	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1599.40	0	1.2864	0	34.7280	0	27.814	0	1578.396	0	210.41	8	62.4	8	30.64	8	0.0136	0	-1E+10	1	0.000216	1	-1E+10	1	0.82	1	7.9083	8	7.6237	8	2355	4	2251	8	 -1e10	1	-1E+10	1	2.92	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1550.20	0	1.3277	0	34.7300	0	27.812	0	1530.020	0	209.95	8	62.3	8	30.51	8	0.0118	0	-1E+10	1	0.000211	1	-1E+10	1	0.80	1	7.9117	8	7.6256	8	2355	4	2250	8	 -1e10	1	-1E+10	1	2.93	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1498.60	0	1.3736	0	34.7320	0	27.811	0	1479.272	0	209.58	8	62.3	8	30.44	8	0.0127	0	-1E+10	1	0.000217	1	-1E+10	1	0.82	1	7.9116	8	7.6243	8	2355	4	2251	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1448.80	0	1.4105	0	34.7330	0	27.809	0	1430.283	0	209.11	8	62.2	8	30.36	8	0.0145	0	-1E+10	1	0.000347	1	-1E+10	1	1.16	1	7.9128	8	7.6240	8	2354	4	2251	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1398.90	0	1.4571	0	34.7350	0	27.807	0	1381.184	0	208.60	8	62.1	8	30.34	8	0.0118	0	-1E+10	1	0.000232	1	-1E+10	1	0.86	1	7.9136	8	7.6236	8	2354	4	2251	8	 -1e10	1	-1E+10	1	2.91	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1349.20	0	1.4966	0	34.7370	0	27.805	0	1332.270	0	208.15	8	62.0	8	30.38	8	0.0099	0	-1E+10	1	0.000220	1	-1E+10	1	0.83	1	7.9159	8	7.6244	8	2354	4	2250	8	 -1e10	1	-1E+10	1	2.95	1
5905074	1	C	12/26/2017	15:36	70.102	-58.996	0	1299.90	0	1.5442	0	34.7380	0	27.802	0	1283.739	0	207.59	8	62.0	8	30.13	8	0.0127	0	-1E+10	1	0.000230	1	-1E+10	1	0.85	1	7.9170	8	7.6242	8	2354	4	2250	8	 -1e10	1	-1E+10	1	2.92	1
