//0
//File updated on 03/10/2019 21:19
//!! ADJUSTED DATA FILE !!
//WMO ID: NO_WMO_0887MRYBAY
//Univ. of Washington ID: 0887
//MBARI ID: 0887MRYBAY
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10022	
//Temperature[°C]	Sbe41cp	10022	
//Salinity[pss]	Sbe41cp	10022	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	1699	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 1070	
//Chl_a[mg/m^3]	MCOMS	0153	
//Chl_a_corr[mg/m^3]	MCOMS	0153	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMS	0153	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	0153	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	C39	
//pH25C[Total]	SBE	C39	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	0153	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	0.9869	0.0000	0.0000
//Nitrate	2	1.0000	3.3924	30.6316
//Nitrate	8	1.0000	3.5306	0.0000
//pH	1	1.0000	-0.0383	-1.2196
//pH	8	1.0000	-0.0425	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	541.40	0	6.1240	0	34.2410	0	26.943	0	536.714	0	20.22	0	6.7	0	-1e10	1	0.0102	0	0.0102	0	0.000507	1	-1E+10	1	1.57	1	7.5334	8	7.3156	8	2311	0	2315	8	 -1e10	1	-1E+10	1	3.07	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	540.30	0	6.1340	0	34.2410	0	26.942	0	535.625	0	19.84	0	6.6	0	-1e10	1	0.0102	0	0.0102	0	0.000502	1	-1E+10	1	1.56	1	7.5327	8	7.3150	8	2310	0	2315	8	 -1e10	1	-1E+10	1	3.07	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	538.00	0	6.1540	0	34.2390	0	26.938	0	533.348	0	19.29	0	6.4	0	-1e10	1	0.0094	0	0.0094	0	0.000568	1	-1E+10	1	1.73	1	7.5327	8	7.3152	8	2310	0	2315	8	 -1e10	1	-1E+10	1	3.08	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	536.00	0	6.1720	0	34.2370	0	26.934	0	531.368	0	19.44	0	6.5	0	-1e10	1	0.0110	0	0.0110	0	0.000498	1	-1E+10	1	1.55	1	7.5330	8	7.3157	8	2309	0	2314	8	 -1e10	1	-1E+10	1	3.04	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	534.00	0	6.1870	0	34.2360	0	26.931	0	529.387	0	19.57	0	6.5	0	-1e10	1	0.0094	0	0.0094	0	0.000494	1	-1E+10	1	1.54	1	7.5324	8	7.3152	8	2309	0	2314	8	 -1e10	1	-1E+10	1	3.06	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	532.00	0	6.1890	0	34.2350	0	26.930	0	527.407	0	19.74	0	6.6	0	-1e10	1	0.0087	0	0.0087	0	0.000509	1	-1E+10	1	1.58	1	7.5324	8	7.3152	8	2309	0	2314	8	 -1e10	1	-1E+10	1	3.06	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	530.00	0	6.1910	0	34.2320	0	26.928	0	525.427	0	19.97	0	6.6	0	-1e10	1	0.0087	0	0.0087	0	0.000511	1	-1E+10	1	1.58	1	7.5330	8	7.3156	8	2308	0	2313	8	 -1e10	1	-1E+10	1	3.03	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	528.00	0	6.2190	0	34.2310	0	26.923	0	523.447	0	20.21	0	6.7	0	-1e10	1	0.0110	0	0.0110	0	0.000674	1	-1E+10	1	2.01	1	7.5334	8	7.3163	8	2308	0	2313	8	 -1e10	1	-1E+10	1	3.03	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	526.00	0	6.2320	0	34.2320	0	26.922	0	521.467	0	20.40	0	6.8	0	-1e10	1	0.0110	0	0.0110	0	0.000513	1	-1E+10	1	1.59	1	7.5342	8	7.3171	8	2308	0	2312	8	 -1e10	1	-1E+10	1	3.06	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	524.00	0	6.2560	0	34.2320	0	26.919	0	519.486	0	20.51	0	6.8	0	-1e10	1	0.0118	0	0.0118	0	0.000770	1	-1E+10	1	2.25	1	7.5338	8	7.3170	8	2308	0	2312	8	 -1e10	1	-1E+10	1	3.01	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	522.00	0	6.2740	0	34.2300	0	26.915	0	517.506	0	20.67	0	6.9	0	-1e10	1	0.0094	0	0.0094	0	0.000490	1	-1E+10	1	1.53	1	7.5344	8	7.3176	8	2307	0	2311	8	 -1e10	1	-1E+10	1	3.04	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	520.00	0	6.2910	0	34.2280	0	26.912	0	515.526	0	20.90	0	7.0	0	-1e10	1	0.0087	0	0.0087	0	0.000477	1	-1E+10	1	1.49	1	7.5342	8	7.3175	8	2307	0	2311	8	 -1e10	1	-1E+10	1	3.02	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	518.00	0	6.3110	0	34.2260	0	26.907	0	513.545	0	21.17	0	7.1	0	-1e10	1	0.0079	0	0.0079	0	0.000481	1	-1E+10	1	1.50	1	7.5343	8	7.3178	8	2306	0	2310	8	 -1e10	1	-1E+10	1	3.03	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	516.00	0	6.3240	0	34.2230	0	26.903	0	511.565	0	21.46	0	7.2	0	-1e10	1	0.0094	0	0.0094	0	0.000472	1	-1E+10	1	1.48	1	7.5347	8	7.3183	8	2306	0	2310	8	 -1e10	1	-1E+10	1	3.03	1
NO_WMO_0887MRYBAY	1	C	01/26/2019	01:49	237.846	36.593	0	514.00	0	6.3370	0	34.2220	0	26.901	0	509.585	0	21.69	0	7.2	0	-1e10	1	0.0071	0	0.0071	0	0.000481	1	-1E+10	1	1.50	1	7.5348	8	7.3185	8	2305	0	2309	8	 -1e10	1	-1E+10	1	3.03	1
