//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:33
//!! ADJUSTED DATA FILE !!
//WMO ID: NO_WMO_0948STNP2
//Univ. of Washington ID: 0948
//MBARI ID: 0948STNP2
//Missing Float profile(s) for station(s): 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 
//Missing Float data detected for adjusted station(s): 1 2 16 20 65 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10761	
//Temperature[°C]	Sbe41cp	10761	
//Salinity[pss]	Sbe41cp	10761	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63	1922	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 1172	
//Chl_a[mg/m^3]	MCOMS	0157	
//Chl_a_corr[mg/m^3]	MCOMS	0157	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMS	0157	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	0157	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	B2	
//pH25C[Total]	SBE	B2	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	0157	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0500	0.0000	0.0000
//Nitrate	1	1.0000	3.9720	-214.5461
//Nitrate	3	1.0000	2.5619	3.0089
//Nitrate	28	1.0000	3.1712	0.0000
//pH	1	1.0000	0.0010	0.0000
//pH	28	1.0000	0.0050	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1949.50	0	1.9986	0	34.5620	0	27.631	0	1923.811	0	72.68	8	21.9	8	43.45	0	0.0038	0	0.0038	0	0.000129	1	-1E+10	1	0.59	1	7.6226	0	7.3938	4	2412	4	2386	4	900.8	4	-1E+10	1	2.99	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1899.50	0	2.0362	0	34.5550	0	27.622	0	1874.690	0	49.25	0	14.9	0	43.70	0	0.0038	0	0.0038	0	0.000134	1	-1E+10	1	0.60	1	7.6167	0	7.3873	0	2411	0	2387	0	918.9	0	-1E+10	1	2.98	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1849.50	0	2.0708	0	34.5480	0	27.614	0	1825.558	0	45.05	0	13.6	0	43.94	0	0.0038	0	0.0038	0	0.000143	1	-1E+10	1	0.63	1	7.6107	0	7.3808	0	2410	0	2389	0	937.5	0	-1E+10	1	3.02	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1798.90	0	2.1018	0	34.5420	0	27.606	0	1775.824	0	42.23	0	12.8	0	43.84	0	0.0056	0	0.0056	0	0.000139	1	-1E+10	1	0.61	1	7.6052	0	7.3746	0	2409	0	2390	0	955.5	0	-1E+10	1	3.01	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1749.10	0	2.1371	0	34.5350	0	27.598	0	1726.865	0	39.36	0	11.9	0	44.13	0	0.0056	0	0.0056	0	0.000153	1	-1E+10	1	0.65	1	7.5981	0	7.3670	0	2408	0	2392	0	977.4	0	-1E+10	1	3.00	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1699.50	0	2.1697	0	34.5280	0	27.589	0	1678.092	0	36.66	0	11.1	0	44.18	0	0.0056	0	0.0056	0	0.000148	1	-1E+10	1	0.64	1	7.5930	0	7.3613	0	2407	0	2393	0	994.8	0	-1E+10	1	3.03	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1648.90	0	2.2290	0	34.5160	0	27.575	0	1628.323	0	33.28	0	10.1	0	44.35	0	0.0047	0	0.0047	0	0.000153	1	-1E+10	1	0.65	1	7.5828	0	7.3513	0	2405	0	2394	0	1025.1	0	-1E+10	1	3.04	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1599.70	0	2.2736	0	34.5060	0	27.563	0	1579.921	0	30.01	0	9.1	0	44.63	0	0.0075	0	0.0075	0	0.000139	1	-1E+10	1	0.61	1	7.5773	0	7.3453	0	2403	0	2394	0	1044.3	0	-1E+10	1	3.08	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1549.30	0	2.3272	0	34.4960	0	27.550	0	1530.326	0	27.17	0	8.3	0	44.63	0	0.0075	0	0.0075	0	0.000151	1	-1E+10	1	0.65	1	7.5708	0	7.3385	0	2402	0	2395	0	1066.6	0	-1E+10	1	3.07	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1499.70	0	2.3827	0	34.4840	0	27.536	0	1481.507	0	24.67	0	7.5	0	44.76	0	0.0085	0	0.0085	0	0.000156	1	-1E+10	1	0.66	1	7.5649	0	7.3322	0	2400	0	2395	0	1087.5	0	-1E+10	1	3.09	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1449.50	0	2.4208	0	34.4760	0	27.526	0	1432.086	0	22.99	0	7.0	0	44.83	0	0.0085	0	0.0085	0	0.000161	1	-1E+10	1	0.67	1	7.5622	0	7.3285	0	2398	0	2395	0	1100.5	0	-1E+10	1	3.08	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1398.90	0	2.4695	0	34.4660	0	27.513	0	1382.260	0	21.98	0	6.7	0	44.57	0	0.0066	0	0.0066	0	0.000154	1	-1E+10	1	0.65	1	7.5591	0	7.3245	0	2397	0	2395	0	1114.8	0	-1E+10	1	3.09	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1349.50	0	2.5021	0	34.4590	0	27.505	0	1333.603	0	21.24	0	6.5	0	44.78	0	0.0094	0	0.0094	0	0.000178	1	-1E+10	1	0.72	1	7.5581	0	7.3223	0	2395	0	2394	0	1123.2	0	-1E+10	1	3.07	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1297.70	0	2.5818	0	34.4430	0	27.485	0	1282.571	0	20.56	0	6.3	0	44.75	0	0.0075	0	0.0075	0	0.000166	1	-1E+10	1	0.69	1	7.5558	0	7.3193	0	2392	0	2392	0	1135.3	0	-1E+10	1	3.07	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1249.10	0	2.6459	0	34.4300	0	27.469	0	1234.680	0	19.71	0	6.0	0	44.59	0	0.0075	0	0.0075	0	0.000183	1	-1E+10	1	0.73	1	7.5525	0	7.3155	0	2390	0	2391	0	1150.0	0	-1E+10	1	3.07	1
NO_WMO_0948STNP2	1	C	12/03/2018	04:42	217.410	50.042	0	1199.70	0	2.7289	0	34.4160	0	27.450	0	1185.989	0	18.10	0	5.5	0	44.73	0	0.0056	0	0.0056	0	0.000188	1	-1E+10	1	0.74	1	7.5482	0	7.3109	0	2387	0	2390	0	1168.2	0	-1E+10	1	3.08	1
