//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:20
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905995
//Univ. of Washington ID: 11090
//MBARI ID: 11090SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 47 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10443	
//Temperature[°C]	Sbe41cp	10443	
//Salinity[pss]	Sbe41cp	10443	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2871	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0113  Spec#114262 Equitech Ti probe #1804.19  MBARI ARGO float#827  DF#241  CTD#10443	
//Chl_a[mg/m^3]	FLBBAP2	4806	
//Chl_a_corr[mg/m^3]	FLBBAP2	4806	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4806	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4806	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	241	
//pH25C[Total]	Durafet	241	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0695	0.0000	0.0000
//Nitrate	1	1.0000	-0.4483	-6.3569
//Nitrate	9	1.0000	-1.3183	-0.5761
//Nitrate	47	1.0000	-2.0255	0.0000
//pH	1	1.0000	0.0008	-1.5289
//pH	3	1.0000	-0.0391	-0.0388
//pH	21	1.0000	-0.0539	0.0045
//pH	39	1.0000	-0.0423	-0.0301
//pH	47	1.0000	-0.0507	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1798.87	0	0.0006	0	34.6643	0	27.840	0	1773.474	0	222.18	0	63.7	0	33.51	0	0.0000	0	0.0000	0	0.000210	1	-1E+10	1	0.80	1	7.9006	0	7.6056	0	2355	0	2254	0	454.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1699.48	0	0.0291	0	34.6662	0	27.840	0	1675.880	0	219.08	0	62.9	0	33.49	0	0.0036	0	0.0012	0	0.000210	1	-1E+10	1	0.80	1	7.9039	0	7.6052	0	2355	0	2255	0	456.3	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1599.56	0	0.0631	0	34.6671	0	27.838	0	1577.719	0	217.16	0	62.4	0	33.50	0	0.0072	0	0.0024	0	0.000235	1	-1E+10	1	0.87	1	7.9037	0	7.6019	0	2355	0	2257	0	462.1	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1498.79	0	0.0999	0	34.6688	0	27.838	0	1478.677	0	214.86	0	61.8	0	33.57	0	0.0036	0	0.0012	0	0.000223	1	-1E+10	1	0.83	1	7.9015	0	7.5966	0	2356	0	2259	0	470.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1399.34	0	0.1412	0	34.6708	0	27.837	0	1380.886	0	212.61	0	61.2	0	33.58	0	0.0072	0	0.0024	0	0.000223	1	-1E+10	1	0.83	1	7.8994	0	7.5916	0	2356	0	2261	0	478.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1299.55	0	0.1756	0	34.6722	0	27.836	0	1282.716	0	210.93	0	60.8	0	33.65	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.9011	0	7.5899	0	2356	0	2262	0	482.4	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1199.29	0	0.2114	0	34.6742	0	27.835	0	1184.036	0	208.97	0	60.2	0	33.64	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.9028	0	7.5883	0	2356	0	2262	0	486.1	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	1098.94	0	0.2554	0	34.6767	0	27.834	0	1085.222	0	206.24	0	59.5	0	33.84	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.9018	0	7.5843	0	2356	0	2263	0	493.2	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	999.43	0	0.2996	0	34.6785	0	27.833	0	987.188	0	203.79	0	58.9	0	33.85	0	0.0072	0	0.0024	0	0.000236	1	-1E+10	1	0.87	1	7.9017	0	7.5811	0	2356	0	2265	0	499.4	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	951.32	0	0.3168	0	34.6783	0	27.832	0	939.775	0	202.96	0	58.7	0	33.90	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8950	0	7.5735	0	2355	0	2267	0	510.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	901.47	0	0.3346	0	34.6793	0	27.831	0	890.636	0	201.97	0	58.4	0	33.97	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.8926	0	7.5698	0	2355	0	2268	0	516.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	851.54	0	0.3537	0	34.6807	0	27.831	0	841.406	0	201.16	0	58.2	0	34.08	0	0.0000	0	0.0000	0	0.000236	1	-1E+10	1	0.87	1	7.8907	0	7.5665	0	2355	0	2269	0	522.3	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	800.81	0	0.3755	0	34.6808	0	27.830	0	791.376	0	200.03	0	57.9	0	33.99	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8915	0	7.5657	0	2356	0	2270	0	524.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	751.51	0	0.3930	0	34.6822	0	27.830	0	742.745	0	198.98	0	57.6	0	34.05	0	0.0072	0	0.0024	0	0.000249	1	-1E+10	1	0.90	1	7.8915	0	7.5641	0	2356	0	2271	0	527.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	700.88	0	0.4195	0	34.6829	0	27.829	0	692.789	0	198.16	0	57.4	0	34.05	0	0.0036	0	0.0012	0	0.000423	1	-1E+10	1	1.35	1	7.8918	0	7.5629	0	2356	0	2272	0	530.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	650.64	0	0.4401	0	34.6834	0	27.828	0	643.207	0	198.03	0	57.4	0	33.94	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.8940	0	7.5632	0	2356	0	2271	0	531.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	601.01	0	0.4642	0	34.6842	0	27.827	0	594.214	0	197.16	0	57.2	0	33.92	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.8928	0	7.5607	0	2356	0	2272	0	535.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	551.05	0	0.4948	0	34.6846	0	27.825	0	544.885	0	196.67	0	57.1	0	33.90	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.8937	0	7.5600	0	2356	0	2273	0	537.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	500.74	0	0.5219	0	34.6849	0	27.824	0	495.197	0	196.61	0	57.1	0	33.86	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.97	1	7.8953	0	7.5600	0	2355	0	2271	0	538.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	451.53	0	0.5506	0	34.6857	0	27.822	0	446.585	0	196.51	0	57.2	0	33.75	0	0.0072	0	0.0024	0	0.000286	1	-1E+10	1	1.00	1	7.8993	0	7.5621	0	2354	0	2270	0	536.4	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	401.70	0	0.5857	0	34.6865	0	27.821	0	397.348	0	196.72	0	57.3	0	33.62	0	0.0072	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1	7.9023	0	7.5634	0	2354	0	2269	0	535.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	381.80	0	0.5992	0	34.6862	0	27.820	0	377.682	0	196.80	0	57.3	0	33.62	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.9030	0	7.5635	0	2354	0	2269	0	535.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	361.71	0	0.6162	0	34.6867	0	27.819	0	357.826	0	196.51	0	57.3	0	33.65	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.9029	0	7.5629	0	2353	0	2269	0	537.4	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	349.95	0	0.6308	0	34.6867	0	27.818	0	346.202	0	196.50	0	57.3	0	33.65	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.9038	0	7.5635	0	2353	0	2269	0	536.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	340.44	0	0.6401	0	34.6873	0	27.818	0	336.802	0	196.16	0	57.2	0	33.55	0	0.0072	0	0.0024	0	0.000262	1	-1E+10	1	0.93	1	7.9050	0	7.5644	0	2353	0	2268	0	535.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	331.52	0	0.6512	0	34.6877	0	27.818	0	327.984	0	196.10	0	57.2	0	33.57	0	0.0072	0	0.0024	0	0.000262	1	-1E+10	1	0.93	1	7.9036	0	7.5629	0	2353	0	2269	0	538.4	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	321.59	0	0.6628	0	34.6883	0	27.817	0	318.168	0	195.84	0	57.1	0	33.54	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.9042	0	7.5633	0	2353	0	2269	0	538.2	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	311.14	0	0.6774	0	34.6877	0	27.816	0	307.837	0	195.58	0	57.1	0	33.58	0	0.0036	0	0.0012	0	0.000299	1	-1E+10	1	1.03	1	7.9056	0	7.5643	0	2353	0	2268	0	537.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	300.93	0	0.6896	0	34.6882	0	27.816	0	297.742	0	195.70	0	57.1	0	33.64	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.9058	0	7.5643	0	2353	0	2268	0	537.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	291.69	0	0.7049	0	34.6877	0	27.814	0	288.607	0	195.54	0	57.1	0	33.51	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.9056	0	7.5641	0	2353	0	2268	0	538.3	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	280.81	0	0.7219	0	34.6887	0	27.814	0	277.849	0	195.37	0	57.1	0	33.55	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.97	1	7.9066	0	7.5647	0	2353	0	2268	0	537.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	271.11	0	0.7299	0	34.6883	0	27.813	0	268.258	0	195.24	0	57.0	0	33.44	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.9063	0	7.5642	0	2353	0	2268	0	538.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	261.45	0	0.7463	0	34.6880	0	27.812	0	258.705	0	195.00	0	57.0	0	33.50	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.97	1	7.9051	0	7.5631	0	2352	0	2268	0	540.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	251.28	0	0.7645	0	34.6879	0	27.811	0	248.648	0	194.70	0	56.9	0	33.47	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.9055	0	7.5633	0	2352	0	2268	0	541.1	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	241.35	0	0.7837	0	34.6884	0	27.810	0	238.828	0	194.62	0	56.9	0	33.35	0	0.0108	0	0.0036	0	0.000337	1	-1E+10	1	1.13	1	7.9059	0	7.5636	0	2352	0	2267	0	541.1	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	231.53	0	0.8072	0	34.6879	0	27.808	0	229.116	0	194.59	0	57.0	0	33.42	0	0.0072	0	0.0024	0	0.000299	1	-1E+10	1	1.03	1	7.9068	0	7.5643	0	2352	0	2267	0	540.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	221.17	0	0.8313	0	34.6877	0	27.806	0	218.869	0	194.35	0	56.9	0	33.26	0	0.0072	0	0.0024	0	0.000387	1	-1E+10	1	1.26	1	7.9078	0	7.5652	0	2351	0	2266	0	539.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	211.79	0	0.8516	0	34.6880	0	27.805	0	209.592	0	194.26	0	56.9	0	33.38	0	0.0036	0	0.0012	0	0.000324	1	-1E+10	1	1.10	1	7.9055	0	7.5630	0	2351	0	2267	0	543.7	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	199.77	0	0.8690	0	34.6868	0	27.803	0	197.702	0	193.64	0	56.8	0	33.30	0	0.0108	0	0.0036	0	0.000374	1	-1E+10	1	1.23	1	7.9048	0	7.5622	0	2351	0	2267	0	545.3	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	190.72	0	0.8739	0	34.6856	0	27.802	0	188.750	0	193.54	0	56.8	0	33.34	0	0.0108	0	0.0036	0	0.000324	1	-1E+10	1	1.10	1	7.9043	0	7.5616	0	2351	0	2267	0	546.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	180.62	0	0.8943	0	34.6847	0	27.799	0	178.759	0	193.44	0	56.8	0	33.34	0	0.0072	0	0.0024	0	0.000449	1	-1E+10	1	1.42	1	7.9041	0	7.5612	0	2350	0	2267	0	547.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	171.51	0	0.9077	0	34.6835	0	27.798	0	169.746	0	193.18	0	56.7	0	33.33	0	0.0108	0	0.0036	0	0.000374	1	-1E+10	1	1.23	1	7.9025	0	7.5597	0	2350	0	2267	0	550.1	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	161.58	0	0.8887	0	34.6782	0	27.795	0	159.922	0	193.08	0	56.6	0	33.46	0	0.0108	0	0.0036	0	0.000349	1	-1E+10	1	1.16	1	7.9008	0	7.5575	0	2349	0	2267	0	553.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	150.65	0	0.8765	0	34.6725	0	27.791	0	149.108	0	193.02	0	56.6	0	33.44	0	0.0180	0	0.0060	0	0.000374	1	-1E+10	1	1.23	1	7.8982	0	7.5546	0	2349	0	2268	0	557.2	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	140.81	0	0.7707	0	34.6561	0	27.784	0	139.372	0	194.30	0	56.8	0	33.50	0	0.0252	0	0.0084	0	0.000362	1	-1E+10	1	1.19	1	7.8996	0	7.5540	0	2348	0	2267	0	555.4	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	131.34	0	0.7022	0	34.6517	0	27.785	0	130.002	0	196.38	0	57.3	0	33.43	0	0.0324	0	0.0108	0	0.000424	1	-1E+10	1	1.36	1	7.9045	0	7.5571	0	2348	0	2266	0	549.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	121.27	0	0.3991	0	34.6156	0	27.774	0	120.038	0	203.29	0	58.9	0	32.58	0	0.0396	0	0.0132	0	0.000324	1	-1E+10	1	1.09	1	7.9219	0	7.5680	0	2345	0	2259	0	525.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	111.61	0	-0.1466	0	34.5582	0	27.757	0	110.478	0	222.68	0	63.5	0	32.14	0	0.0792	0	0.0264	0	0.000385	1	-1E+10	1	1.25	1	7.9390	0	7.5752	0	2341	0	2253	0	501.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	101.12	0	-0.6944	0	34.4930	0	27.730	0	100.097	0	244.52	0	68.7	0	31.30	0	0.0792	0	0.0264	0	0.000384	1	-1E+10	1	1.25	1	7.9646	0	7.5900	0	2337	0	2244	0	469.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	95.47	0	-0.8641	0	34.4709	0	27.719	0	94.506	0	256.03	0	71.6	0	30.99	0	0.0900	0	0.0300	0	0.000371	1	-1E+10	1	1.22	1	7.9744	0	7.5962	0	2336	0	2241	0	457.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	90.00	0	-1.1330	0	34.4396	0	27.704	0	89.092	0	267.91	0	74.4	0	30.50	0	0.1332	0	0.0444	0	0.000395	1	-1E+10	1	1.28	1	7.9860	0	7.6026	0	2335	0	2237	0	443.9	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	85.10	0	-1.3120	0	34.4198	0	27.695	0	84.243	0	278.23	0	76.9	0	30.35	0	0.1476	0	0.0492	0	0.000594	1	-1E+10	1	1.80	1	7.9914	0	7.6047	0	2334	0	2236	0	437.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	80.52	0	-1.3935	0	34.4089	0	27.688	0	79.710	0	284.94	0	78.6	0	30.06	0	0.1404	0	0.0468	0	0.000445	1	-1E+10	1	1.41	1	7.9957	0	7.6072	0	2334	0	2235	0	433.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	76.26	0	-1.4431	0	34.3909	0	27.675	0	75.493	0	289.97	0	79.8	0	30.09	0	0.1692	0	0.0564	0	0.000469	1	-1E+10	1	1.47	1	7.9889	0	7.6001	0	2333	0	2236	0	440.5	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	71.43	0	-1.2369	0	34.3961	0	27.673	0	70.713	0	288.35	0	79.8	0	30.46	0	0.1764	0	0.0588	0	0.000607	1	-1E+10	1	1.83	1	7.9897	0	7.6037	0	2333	0	2235	0	440.3	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	66.32	0	-1.4866	0	34.3683	0	27.658	0	65.655	0	293.97	0	80.8	0	29.84	0	0.2160	0	0.0720	0	0.000519	1	-1E+10	1	1.60	1	8.0091	0	7.6174	0	2331	0	2229	0	418.8	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	61.48	0	-1.6652	0	34.3363	0	27.638	0	60.864	0	303.04	0	82.9	0	29.29	0	0.3780	0	0.1260	0	0.000594	1	-1E+10	1	1.80	1	8.0171	0	7.6219	0	2329	0	2225	0	410.1	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	56.85	0	-1.6145	0	34.3037	0	27.610	0	56.281	0	309.45	0	84.8	0	29.09	0	0.4824	0	0.1608	0	0.001006	1	-1E+10	1	2.87	1	8.0177	0	7.6230	0	2328	0	2223	0	409.6	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	51.67	0	-1.6490	0	34.2627	0	27.577	0	51.154	0	314.04	0	85.9	0	28.81	0	0.6948	0	0.2316	0	0.001081	1	-1E+10	1	3.06	1	8.0258	0	7.6297	0	2325	0	2219	0	401.2	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	46.84	0	-1.4285	0	34.2202	0	27.536	0	46.372	0	322.40	0	88.7	0	27.97	0	1.3572	0	0.4524	0	0.002965	1	-1E+10	1	7.96	1	8.0405	0	7.6462	0	2323	0	2211	0	387.0	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	41.38	0	-0.9656	0	34.1731	0	27.482	0	40.967	0	333.74	0	92.9	0	25.91	0	2.9088	0	0.9696	0	0.003528	1	-1E+10	1	9.43	1	8.0784	0	7.6878	0	2322	0	2194	0	352.3	0
5905995	1	C	01/08/2019	08:26	347.678	-66.004	0	36.55	0	-0.2532	0	34.1124	0	27.402	0	36.186	0	348.61	0	98.9	0	23.93	0	4.3632	0	1.4544	0	0.006973	1	-1E+10	1	18.38	1	8.0986	0	7.7171	0	2320	0	2180	0	335.7	0
