//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:36
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906305
//Univ. of Washington ID: 1113
//MBARI ID: 1113SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12156	
//Temperature[°C]	Sbe41cp	12156	
//Salinity[pss]	Sbe41cp	12156	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	2316	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 1338	
//Chl_a[mg/m^3]	MCOMS	288	
//Chl_a_corr[mg/m^3]	MCOMS	288	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMS	288	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	288	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	10376	
//pH25C[Total]	SBE	10376	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	288	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0050	0.0000	0.0000
//Nitrate	1	1.0000	0.5275	0.0000
//Nitrate	2	1.0000	-0.6296	-18.0230
//Nitrate	5	1.0000	-1.5355	0.0000
//pH	1	1.0000	-0.3130	0.0000
//pH	2	1.0000	-0.2266	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1349.80	0	3.1836	0	34.5430	0	27.512	0	1336.070	0	121.24	8	37.6	8	38.94	0	0.0085	0	0.0028	0	0.000205	1	-1E+10	1	0.79	1	7.7430	0	7.4922	4	2358	4	2298	4	720.6	4	-1E+10	1	2.64	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1299.10	0	3.2546	0	34.5310	0	27.496	0	1286.040	0	109.81	0	34.1	0	39.27	0	0.0138	0	0.0046	0	0.000202	1	-1E+10	1	0.78	1	7.7389	0	7.4877	0	2355	0	2297	0	731.6	0	-1E+10	1	2.63	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1249.70	0	3.3544	0	34.5160	0	27.474	0	1237.282	0	109.32	0	34.1	0	39.30	0	0.0095	0	0.0032	0	0.000190	1	-1E+10	1	0.75	1	7.7397	0	7.4879	0	2350	0	2293	0	733.4	0	-1E+10	1	2.62	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1199.20	0	3.4327	0	34.4970	0	27.451	0	1187.426	0	110.67	0	34.5	0	39.05	0	0.0106	0	0.0035	0	0.000195	1	-1E+10	1	0.76	1	7.7398	0	7.4871	0	2344	0	2287	0	736.2	0	-1E+10	1	2.60	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1149.50	0	3.5206	0	34.4680	0	27.419	0	1138.349	0	114.77	0	35.9	0	38.58	0	0.0106	0	0.0035	0	0.000216	1	-1E+10	1	0.81	1	7.7464	0	7.4924	0	2336	0	2277	0	726.1	0	-1E+10	1	2.54	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1099.00	0	3.6293	0	34.4370	0	27.384	0	1088.469	0	122.02	0	38.3	0	37.99	0	0.0117	0	0.0039	0	0.000218	1	-1E+10	1	0.82	1	7.7571	0	7.5015	0	2327	0	2265	0	709.2	0	-1E+10	1	2.50	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	1049.80	0	3.7296	0	34.4100	0	27.352	0	1039.863	0	130.65	0	41.1	0	37.14	0	0.0138	0	0.0046	0	0.000211	1	-1E+10	1	0.80	1	7.7725	0	7.5148	0	2320	0	2253	0	684.9	0	-1E+10	1	2.44	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	999.50	0	3.8774	0	34.3750	0	27.309	0	990.157	0	142.59	0	45.0	0	36.14	0	0.0106	0	0.0035	0	0.000214	1	-1E+10	1	0.81	1	7.7958	0	7.5359	0	2311	0	2238	0	648.5	0	-1E+10	1	2.34	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	979.80	0	3.9480	0	34.3620	0	27.292	0	970.687	0	151.21	0	47.7	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	7.8006	0	7.5412	0	2308	0	2236	0	642.5	0	-1E+10	1	-1e10	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	978.00	0	3.9570	0	34.3610	0	27.290	0	968.908	0	151.58	0	47.9	0	-1e10	1	0.0064	0	0.0021	0	0.000217	1	-1E+10	1	0.82	1	7.8013	0	7.5418	0	2307	0	2236	0	641.6	0	-1E+10	1	2.31	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	976.00	0	3.9760	0	34.3580	0	27.286	0	966.931	0	152.49	0	48.2	0	-1e10	1	0.0064	0	0.0021	0	0.000222	1	-1E+10	1	0.83	1	7.8026	0	7.5432	0	2307	0	2235	0	639.5	0	-1E+10	1	2.30	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	974.00	0	3.9820	0	34.3570	0	27.284	0	964.955	0	153.37	0	48.5	0	-1e10	1	0.0064	0	0.0021	0	0.000254	1	-1E+10	1	0.91	1	7.8041	0	7.5445	0	2306	0	2234	0	637.3	0	-1E+10	1	2.31	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	972.00	0	3.9950	0	34.3550	0	27.281	0	962.978	0	154.09	0	48.7	0	-1e10	1	0.0064	0	0.0021	0	0.000212	1	-1E+10	1	0.80	1	7.8050	0	7.5454	0	2306	0	2233	0	635.9	0	-1E+10	1	2.29	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	970.00	0	4.0070	0	34.3530	0	27.278	0	961.001	0	154.97	0	49.0	0	-1e10	1	0.0064	0	0.0021	0	0.000199	1	-1E+10	1	0.77	1	7.8064	0	7.5468	0	2305	0	2232	0	633.7	0	-1E+10	1	2.27	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	968.00	0	4.0120	0	34.3520	0	27.277	0	959.024	0	155.68	0	49.2	0	-1e10	1	0.0064	0	0.0021	0	0.000227	1	-1E+10	1	0.84	1	7.8072	0	7.5475	0	2305	0	2232	0	632.6	0	-1E+10	1	2.27	1
5906305	1	C	10/27/2020	17:49	271.996	-31.942	0	966.00	0	4.0260	0	34.3500	0	27.274	0	957.047	0	156.18	0	49.4	0	-1e10	1	0.0064	0	0.0021	0	0.000207	1	-1E+10	1	0.79	1	7.8079	0	7.5482	0	2305	0	2231	0	631.6	0	-1E+10	1	2.27	1
