//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:36
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906306
//Univ. of Washington ID: 1114
//MBARI ID: 1114SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12157	
//Temperature[°C]	Sbe41cp	12157	
//Salinity[pss]	Sbe41cp	12157	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	SBE63J	2314	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 1339	
//Chl_a[mg/m^3]	MCOMS	286	
//Chl_a_corr[mg/m^3]	MCOMS	286	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	MCOMS	286	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	MCOMS	286	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	SBE	10374	
//pH25C[Total]	SBE	10374	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//b_bp532[1/m]			
//CDOM[ppb]	MCOMS	286	
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0433	0.0000	0.0000
//Nitrate	1	1.0000	0.8607	0.0000
//Nitrate	2	1.0000	-0.1915	-7.7952
//Nitrate	5	1.0000	-0.7230	0.0000
//pH	1	1.0000	-0.0205	0.2233
//pH	3	1.0000	-0.0118	0.0000
//pH	5	1.0000	-0.0127	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1450.00	0	2.9376	0	34.5380	0	27.531	0	1434.031	0	131.42	8	40.5	8	38.61	0	0.0107	0	0.0036	0	0.000171	1	-1E+10	1	0.70	1	7.7560	0	7.5041	4	2354	4	2291	4	686.0	4	-1E+10	1	2.35	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1399.70	0	3.0126	0	34.5250	0	27.514	0	1384.450	0	122.96	0	38.0	0	38.44	0	0.0134	0	0.0045	0	0.000166	1	-1E+10	1	0.69	1	7.7534	0	7.5009	0	2353	0	2291	0	694.5	0	-1E+10	1	2.34	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1349.60	0	3.0669	0	34.5090	0	27.496	0	1335.054	0	123.92	0	38.3	0	38.16	0	0.0125	0	0.0042	0	0.000176	1	-1E+10	1	0.71	1	7.7552	0	7.5014	0	2348	0	2286	0	694.2	0	-1E+10	1	2.30	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1299.70	0	3.1280	0	34.4820	0	27.468	0	1285.844	0	130.37	0	40.4	0	37.73	0	0.0143	0	0.0048	0	0.000171	1	-1E+10	1	0.70	1	7.7633	0	7.5077	0	2340	0	2275	0	682.2	0	-1E+10	1	2.26	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1248.90	0	3.1883	0	34.4550	0	27.441	0	1235.735	0	138.90	0	43.1	0	36.95	0	0.0107	0	0.0036	0	0.000169	1	-1E+10	1	0.69	1	7.7759	0	7.5179	0	2331	0	2263	0	663.0	0	-1E+10	1	2.18	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1199.30	0	3.2947	0	34.4240	0	27.406	0	1186.797	0	148.69	0	46.2	0	36.39	0	0.0116	0	0.0039	0	0.000169	1	-1E+10	1	0.69	1	7.7877	0	7.5280	0	2322	0	2251	0	645.6	0	-1E+10	1	2.16	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1149.10	0	3.3927	0	34.3990	0	27.377	0	1137.256	0	157.21	0	49.0	0	35.73	0	0.0080	0	0.0027	0	0.000184	1	-1E+10	1	0.73	1	7.7991	0	7.5377	0	2316	0	2242	0	630.1	0	-1E+10	1	2.11	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1100.00	0	3.5251	0	34.3730	0	27.343	0	1088.790	0	165.36	0	51.7	0	35.01	0	0.0098	0	0.0033	0	0.000187	1	-1E+10	1	0.74	1	7.8094	0	7.5470	0	2310	0	2233	0	616.7	0	-1E+10	1	2.05	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	1049.80	0	3.6922	0	34.3470	0	27.306	0	1039.226	0	174.37	0	54.7	0	34.17	0	0.0063	0	0.0021	0	0.000158	1	-1E+10	1	0.67	1	7.8237	0	7.5604	0	2305	0	2223	0	597.7	0	-1E+10	1	2.01	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	998.90	0	3.8755	0	34.3240	0	27.269	0	988.958	0	182.78	0	57.6	0	33.32	0	0.0036	0	0.0012	0	0.000171	1	-1E+10	1	0.70	1	7.8351	0	7.5713	0	2299	0	2214	0	583.8	0	-1E+10	1	1.93	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	977.80	0	3.9600	0	34.3160	0	27.254	0	968.117	0	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	7.8387	0	7.5756	4	2299	4	2215	4	580.9	4	-1E+10	1	-1e10	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	976.00	0	3.9660	0	34.3150	0	27.252	0	966.339	0	188.52	0	59.5	0	-1e10	1	0.0045	0	0.0015	0	0.000169	1	-1E+10	1	0.69	1	7.8376	0	7.5747	0	2298	0	2215	0	582.3	0	-1E+10	1	1.92	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	974.00	0	3.9740	0	34.3140	0	27.251	0	964.363	0	189.17	0	59.7	0	-1e10	1	0.0072	0	0.0024	0	0.000174	1	-1E+10	1	0.70	1	7.8404	0	7.5772	0	2298	0	2214	0	578.4	0	-1E+10	1	1.94	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	972.00	0	3.9850	0	34.3130	0	27.249	0	962.388	0	189.77	0	60.0	0	-1e10	1	0.0063	0	0.0021	0	0.000159	1	-1E+10	1	0.67	1	7.8414	0	7.5782	0	2297	0	2213	0	577.1	0	-1E+10	1	1.92	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	970.00	0	4.0000	0	34.3110	0	27.246	0	960.412	0	190.38	0	60.2	0	-1e10	1	0.0054	0	0.0018	0	0.000164	1	-1E+10	1	0.68	1	7.8423	0	7.5791	0	2297	0	2213	0	575.9	0	-1E+10	1	1.91	1
5906306	1	C	10/29/2020	20:37	275.942	-38.990	0	968.00	0	4.0030	0	34.3110	0	27.245	0	958.436	0	190.84	0	60.3	0	-1e10	1	0.0054	0	0.0018	0	0.000191	1	-1E+10	1	0.75	1	7.8426	0	7.5794	0	2297	0	2212	0	575.6	0	-1E+10	1	1.91	1
