//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:22
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905100
//Univ. of Washington ID: 12361
//MBARI ID: 12361SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 61 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7877	
//Temperature[°C]	Sbe41cp	7877	
//Salinity[pss]	Sbe41cp	7877	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2460	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0054  Spec#105025 Equitech Ti probe #1604.08  MBARI ARGO float#759  DF#153  CTD#7877	
//Chl_a[mg/m^3]	FLBBAP2	4359	
//Chl_a_corr[mg/m^3]	FLBBAP2	4359	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4359	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4359	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	153	
//pH25C[Total]	Durafet	153	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1688	0.0000	0.0000
//Nitrate	1	1.0000	1.5790	-27.9618
//Nitrate	3	1.0000	0.4819	0.4058
//Nitrate	77	1.0000	1.3063	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1998.79	0	0.4419	0	34.6865	0	27.835	0	1969.714	0	216.31	0	62.7	0	32.43	0	0.0000	0	0.0000	0	0.000178	1	-1E+10	1	0.72	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1898.96	0	0.4723	0	34.6872	0	27.833	0	1871.774	0	211.89	0	61.5	0	32.34	0	0.0000	0	0.0000	0	0.000189	1	-1E+10	1	0.74	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1799.67	0	0.5092	0	34.6886	0	27.832	0	1774.320	0	210.87	0	61.3	0	32.44	0	0.0072	0	0.0024	0	0.000178	1	-1E+10	1	0.72	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1699.52	0	0.5559	0	34.6904	0	27.830	0	1675.975	0	209.75	0	61.0	0	32.35	0	0.0072	0	0.0024	0	0.000200	1	-1E+10	1	0.77	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1599.90	0	0.6096	0	34.6922	0	27.828	0	1578.106	0	208.79	0	60.8	0	32.37	0	0.0072	0	0.0024	0	0.000189	1	-1E+10	1	0.74	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1498.16	0	0.6563	0	34.6941	0	27.827	0	1478.107	0	207.95	0	60.7	0	32.28	0	0.0072	0	0.0024	0	0.000189	1	-1E+10	1	0.75	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1399.82	0	0.7055	0	34.6963	0	27.825	0	1381.405	0	207.02	0	60.5	0	32.23	0	0.0036	0	0.0012	0	0.000200	1	-1E+10	1	0.77	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1298.62	0	0.7662	0	34.6998	0	27.824	0	1281.844	0	205.59	0	60.1	0	32.30	0	0.0000	0	0.0000	0	0.000222	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1199.65	0	0.8085	0	34.7005	0	27.821	0	1184.431	0	205.41	0	60.1	0	32.03	0	0.0036	0	0.0012	0	0.000222	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	1099.62	0	0.8619	0	34.7027	0	27.819	0	1085.928	0	204.54	0	60.0	0	31.99	0	0.0036	0	0.0012	0	0.000212	1	-1E+10	1	0.80	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	999.77	0	0.9378	0	34.7065	0	27.817	0	987.556	0	202.41	0	59.5	0	31.92	0	0.0072	0	0.0024	0	0.000212	1	-1E+10	1	0.80	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	951.37	0	0.9842	0	34.7105	0	27.817	0	939.856	0	199.91	0	58.8	0	32.06	0	0.0072	0	0.0024	0	0.000223	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	901.09	0	0.9958	0	34.7099	0	27.816	0	890.291	0	200.72	0	59.1	0	31.88	0	0.0072	0	0.0024	0	0.000223	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	851.61	0	1.0174	0	34.7098	0	27.814	0	841.504	0	201.46	0	59.3	0	31.85	0	0.0036	0	0.0012	0	0.000212	1	-1E+10	1	0.80	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	801.24	0	1.0541	0	34.7108	0	27.812	0	791.827	0	200.65	0	59.1	0	31.80	0	0.0072	0	0.0024	0	0.000223	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	751.51	0	1.0853	0	34.7116	0	27.810	0	742.770	0	200.30	0	59.1	0	31.82	0	0.0072	0	0.0024	0	0.000234	1	-1E+10	1	0.86	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	701.03	0	1.1151	0	34.7120	0	27.809	0	692.961	0	199.57	0	58.9	0	31.73	0	0.0108	0	0.0036	0	0.000278	1	-1E+10	1	0.98	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	651.04	0	1.1417	0	34.7122	0	27.807	0	643.623	0	199.75	0	59.0	0	31.64	0	0.0072	0	0.0024	0	0.000245	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5905100	1	C	04/18/2017	12:00	171.964	-65.516	0	601.03	0	1.1720	0	34.7120	0	27.804	0	594.254	0	199.10	0	58.8	0	31.68	0	0.0108	0	0.0036	0	0.000531	1	-1E+10	1	1.63	1	-1e10	1	-1e10	1	2351	0	 -1e10	1	 -1e10	1
