//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905102
//Univ. of Washington ID: 12363
//MBARI ID: 12363SOOCN
//Missing Float profile(s) for station(s): 35 53 54 55 56 57 58 59 60 61 62 95 96 97 98 99 100 101 102 103 104 
//Missing Float position interpolated for station(s): 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 105 106 107 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7944	
//Temperature[°C]	Sbe41cp	7944	
//Salinity[pss]	Sbe41cp	7944	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2225	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0072  Spec#105027 Equitech Ti probe #1604.12  MBARI ARGO float#761  DF#155  CTD#7944	
//Chl_a[mg/m^3]	FLBBAP2	4357	
//Chl_a_corr[mg/m^3]	FLBBAP2	4357	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4357	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4357	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	155	
//pH25C[Total]	Durafet	155	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1848	0.0000	0.0000
//Nitrate	1	1.0000	-1.4820	-38.3119
//Nitrate	3	1.0000	-2.4204	0.0000
//Nitrate	107	1.0000	-2.3242	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1899.52	0	0.5600	0	34.7010	0	27.839	0	1871.945	0	209.19	0	60.9	0	32.25	0	0.0036	0	0.0012	0	0.000190	1	-1E+10	1	0.75	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1799.81	0	0.6039	0	34.7021	0	27.837	0	1774.098	0	206.22	0	60.1	0	32.35	0	0.0000	0	0.0000	0	0.000191	1	-1E+10	1	0.75	1	-1e10	1	-1e10	1	2357	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1699.25	0	0.6408	0	34.7032	0	27.836	0	1675.371	0	205.09	0	59.8	0	32.28	0	0.0000	0	0.0000	0	0.000191	1	-1E+10	1	0.75	1	-1e10	1	-1e10	1	2357	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1600.18	0	0.6685	0	34.7040	0	27.834	0	1578.062	0	204.41	0	59.6	0	32.27	0	0.0036	0	0.0012	0	0.000202	1	-1E+10	1	0.78	1	-1e10	1	-1e10	1	2357	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1499.04	0	0.7072	0	34.7056	0	27.833	0	1478.673	0	203.54	0	59.4	0	32.36	0	0.0000	0	0.0000	0	0.000191	1	-1E+10	1	0.75	1	-1e10	1	-1e10	1	2357	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1398.84	0	0.7496	0	34.7071	0	27.831	0	1380.162	0	202.39	0	59.2	0	32.21	0	0.0036	0	0.0012	0	0.000191	1	-1E+10	1	0.75	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1299.88	0	0.7884	0	34.7085	0	27.829	0	1282.824	0	201.72	0	59.0	0	32.09	0	0.0072	0	0.0024	0	0.000202	1	-1E+10	1	0.78	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1199.66	0	0.8295	0	34.7102	0	27.828	0	1184.201	0	200.59	0	58.8	0	32.04	0	0.0036	0	0.0012	0	0.000202	1	-1E+10	1	0.78	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	1099.79	0	0.8786	0	34.7117	0	27.825	0	1085.876	0	199.50	0	58.5	0	32.22	0	0.0036	0	0.0012	0	0.000224	1	-1E+10	1	0.84	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	999.12	0	0.9277	0	34.7131	0	27.823	0	986.716	0	198.60	0	58.3	0	32.06	0	0.0072	0	0.0024	0	0.000213	1	-1E+10	1	0.81	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	951.15	0	0.9496	0	34.7144	0	27.822	0	939.449	0	197.91	0	58.2	0	32.06	0	0.0036	0	0.0012	0	0.000213	1	-1E+10	1	0.81	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	901.58	0	0.9799	0	34.7152	0	27.821	0	890.594	0	197.21	0	58.0	0	32.06	0	0.0000	0	0.0000	0	0.000224	1	-1E+10	1	0.84	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	851.72	0	1.0033	0	34.7165	0	27.820	0	841.442	0	196.83	0	57.9	0	32.17	0	0.0072	0	0.0024	0	0.000224	1	-1E+10	1	0.84	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	800.84	0	1.0425	0	34.7175	0	27.818	0	791.272	0	195.87	0	57.7	0	32.02	0	0.0036	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	751.48	0	1.0674	0	34.7185	0	27.817	0	742.590	0	194.98	0	57.5	0	32.04	0	0.0036	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	700.79	0	1.1027	0	34.7191	0	27.815	0	692.583	0	194.40	0	57.4	0	32.06	0	0.0036	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	651.50	0	1.1358	0	34.7201	0	27.814	0	643.947	0	193.58	0	57.2	0	31.97	0	0.0000	0	0.0000	0	0.000247	1	-1E+10	1	0.90	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	600.94	0	1.1607	0	34.7201	0	27.812	0	594.045	0	193.06	0	57.0	0	32.04	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	551.09	0	1.1980	0	34.7207	0	27.809	0	544.832	0	192.33	0	56.9	0	31.95	0	0.0072	0	0.0024	0	0.000236	1	-1E+10	1	0.87	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905102	1	C	04/19/2017	23:11	172.059	-68.568	0	501.45	0	1.2190	0	34.7214	0	27.808	0	495.815	0	191.80	0	56.8	0	32.00	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
