//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:28
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905080
//Univ. of Washington ID: 12366
//MBARI ID: 12366SOOCN
//Missing Float profile(s) for station(s): 131 132 133 134 135 136 137 
//Missing Float position interpolated for station(s): 26 27 28 29 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 121 122 123 124 125 126 127 128 129 130 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 138 139 140 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8066	
//Temperature[°C]	Sbe41cp	8066	
//Salinity[pss]	Sbe41cp	8066	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1875	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0060  Spec#105021 Equitech Ti probe #1604.04  MBARI ARGO float#755  DF#149  CTD#8066	
//Chl_a[mg/m^3]	FLBBAP2	4353	
//Chl_a_corr[mg/m^3]	FLBBAP2	4353	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4353	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4353	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	149	
//pH25C[Total]	Durafet	149	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0392	0.0000	0.0000
//Nitrate	1	1.0000	-1.5485	0.3693
//Nitrate	60	1.0000	-0.9187	1.3051
//Nitrate	138	1.0000	1.8098	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1998.91	0	1.3015	0	34.7275	0	27.815	0	1970.265	0	192.74	0	57.2	0	32.92	0	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1899.27	0	1.3812	0	34.7298	0	27.810	0	1872.491	0	189.06	0	56.2	0	32.86	0	0.0037	0	0.0012	0	0.000276	1	-1E+10	1	0.97	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1799.28	0	1.4588	0	34.7313	0	27.806	0	1774.328	0	187.62	0	55.9	0	32.78	0	0.0000	0	0.0000	0	0.000199	1	-1E+10	1	0.77	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1699.97	0	1.5126	0	34.7326	0	27.802	0	1676.787	0	186.93	0	55.7	0	32.55	0	0.0037	0	0.0012	0	0.000221	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1599.73	0	1.5831	0	34.7332	0	27.797	0	1578.287	0	185.78	0	55.5	0	32.62	0	0.0037	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1499.27	0	1.6977	0	34.7325	0	27.788	0	1479.525	0	184.04	0	55.1	0	32.57	0	0.0073	0	0.0024	0	0.000244	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1399.84	0	1.7904	0	34.7299	0	27.778	0	1381.729	0	182.26	0	54.7	0	32.49	0	0.0073	0	0.0024	0	0.000222	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1299.59	0	1.8444	0	34.7281	0	27.772	0	1283.081	0	180.72	0	54.3	0	32.56	0	0.0037	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1199.20	0	1.9236	0	34.7206	0	27.760	0	1184.249	0	178.46	0	53.8	0	32.74	0	0.0037	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	1099.27	0	2.0226	0	34.7073	0	27.741	0	1085.823	0	175.47	0	53.0	0	33.01	0	0.0000	0	0.0000	0	0.000300	1	-1E+10	1	1.03	1	-1e10	1	-1e10	1	2350	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	999.41	0	2.1092	0	34.6861	0	27.716	0	987.419	0	172.13	0	52.1	0	33.56	0	0.0037	0	0.0012	0	0.000289	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2347	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	951.81	0	2.1395	0	34.6761	0	27.706	0	940.497	0	170.98	0	51.8	0	33.62	0	0.0037	0	0.0012	0	0.000289	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2346	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	900.74	0	2.1647	0	34.6657	0	27.695	0	890.143	0	169.90	0	51.5	0	33.78	0	0.0037	0	0.0012	0	0.000289	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2345	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	851.47	0	2.1986	0	34.6532	0	27.682	0	841.551	0	168.86	0	51.2	0	34.03	0	0.0073	0	0.0024	0	0.000301	1	-1E+10	1	1.03	1	-1e10	1	-1e10	1	2343	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	801.34	0	2.2167	0	34.6426	0	27.672	0	792.100	0	168.24	0	51.0	0	34.22	0	0.0037	0	0.0012	0	0.000345	1	-1E+10	1	1.15	1	-1e10	1	-1e10	1	2342	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	750.59	0	2.2576	0	34.6203	0	27.650	0	742.026	0	167.37	0	50.8	0	34.49	0	0.0037	0	0.0012	0	0.000334	1	-1E+10	1	1.12	1	-1e10	1	-1e10	1	2339	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	701.31	0	2.2959	0	34.6009	0	27.631	0	693.390	0	166.81	0	50.7	0	34.78	0	0.0037	0	0.0012	0	0.000357	1	-1E+10	1	1.18	1	-1e10	1	-1e10	1	2336	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	650.79	0	2.3271	0	34.5768	0	27.609	0	643.518	0	166.95	0	50.7	0	34.97	0	0.0073	0	0.0024	0	0.000379	1	-1E+10	1	1.24	1	-1e10	1	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	601.03	0	2.3761	0	34.5439	0	27.579	0	594.385	0	167.66	0	51.0	0	35.25	0	0.0073	0	0.0024	0	0.000935	1	-1E+10	1	2.69	1	-1e10	1	-1e10	1	2329	0	 -1e10	1	 -1e10	1
5905080	1	C	02/19/2017	20:39	233.849	-62.487	0	550.88	0	2.3935	0	34.5014	0	27.543	0	544.855	0	170.75	0	52.0	0	35.37	0	0.0073	0	0.0024	0	0.000401	1	-1E+10	1	1.30	1	-1e10	1	-1e10	1	2325	0	 -1e10	1	 -1e10	1
