//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905106
//Univ. of Washington ID: 12369
//MBARI ID: 12369SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7943	
//Temperature[°C]	Sbe41cp	7943	
//Salinity[pss]	Sbe41cp	7943	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2224	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0080  Spec#105026 Equitech Ti probe #1604.10  MBARI ARGO float#760  DF#154  CTD#7943	
//Chl_a[mg/m^3]	FLBBAP2	4343	
//Chl_a_corr[mg/m^3]	FLBBAP2	4343	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4343	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4343	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	154	
//pH25C[Total]	Durafet	154	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1410	0.0000	0.0072
//Oxygen	103	1.1610	0.0000	0.0000
//Nitrate	1	1.0000	0.4578	-1.1614
//Nitrate	36	1.0000	-0.6079	1.2315
//Nitrate	101	1.0000	1.7266	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	1299.02	0	3.1426	0	34.5348	0	27.509	0	1285.904	0	111.68	0	34.6	0	39.83	0	0.0072	0	0.0024	0	0.000329	1	-1E+10	1	1.11	1	-1e10	1	-1e10	1	2357	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	1199.28	0	3.3001	0	34.5025	0	27.468	0	1187.452	0	110.44	0	34.4	0	39.98	0	0.0108	0	0.0036	0	0.000308	1	-1E+10	1	1.05	1	-1e10	1	-1e10	1	2347	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	1099.13	0	3.4927	0	34.4633	0	27.418	0	1088.549	0	115.06	0	36.0	0	39.60	0	0.0108	0	0.0036	0	0.000363	1	-1E+10	1	1.20	1	-1e10	1	-1e10	1	2334	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	999.14	0	3.7279	0	34.4102	0	27.352	0	989.757	0	99990.00	8	99990.0	8	38.66	0	0.0072	0	0.0024	0	0.000342	1	-1E+10	1	1.14	1	-1e10	1	-1e10	1	2320	4	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	951.66	0	3.8829	0	34.3790	0	27.311	0	942.830	0	139.75	0	44.1	0	37.77	0	0.0072	0	0.0024	0	0.000320	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2311	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	900.88	0	4.0666	0	34.3444	0	27.265	0	892.629	0	152.89	0	48.4	0	36.76	0	0.0072	0	0.0024	0	0.000321	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2303	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	851.56	0	4.3689	0	34.3173	0	27.211	0	843.861	0	164.71	0	52.5	0	35.42	0	0.0108	0	0.0036	0	0.000343	1	-1E+10	1	1.15	1	-1e10	1	-1e10	1	2296	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	801.06	0	4.6023	0	34.2977	0	27.170	0	793.913	0	172.59	0	55.3	0	34.41	0	0.0072	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2291	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	751.45	0	4.8762	0	34.2736	0	27.120	0	744.834	0	188.20	0	60.7	0	32.76	0	0.0036	0	0.0012	0	0.000322	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2285	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	701.11	0	5.1877	0	34.2593	0	27.073	0	695.021	0	200.88	0	65.3	0	31.36	0	0.0036	0	0.0012	0	0.000323	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2280	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	651.09	0	5.3813	0	34.2503	0	27.043	0	645.513	0	211.83	0	69.2	0	30.07	0	0.0036	0	0.0012	0	0.000345	1	-1E+10	1	1.15	1	-1e10	1	-1e10	1	2278	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	600.80	0	5.6510	0	34.2523	0	27.012	0	595.726	0	99990.00	8	99990.0	8	29.09	0	0.0000	0	0.0000	0	0.000346	1	-1E+10	1	1.15	1	-1e10	1	-1e10	1	2276	4	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	551.33	0	5.9142	0	34.2656	0	26.989	0	546.738	0	99990.00	8	99990.0	8	29.40	0	0.0036	0	0.0012	0	0.000346	1	-1E+10	1	1.15	1	-1e10	1	-1e10	1	2276	4	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	501.65	0	6.3216	0	34.2911	0	26.957	0	497.532	0	187.14	0	62.5	0	30.57	0	0.0036	0	0.0012	0	0.000369	1	-1E+10	1	1.21	1	-1e10	1	-1e10	1	2277	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	451.05	0	6.7862	0	34.3046	0	26.906	0	447.401	0	162.10	0	54.7	0	31.20	0	0.0072	0	0.0024	0	0.000358	1	-1E+10	1	1.19	1	-1e10	1	-1e10	1	2276	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	401.68	0	7.4444	0	34.3242	0	26.830	0	398.478	0	135.26	0	46.3	0	31.64	0	0.0072	0	0.0024	0	0.000359	1	-1E+10	1	1.19	1	-1e10	1	-1e10	1	2275	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	381.51	0	7.7082	0	34.3187	0	26.787	0	378.487	0	99990.00	8	99990.0	8	30.32	0	0.0072	0	0.0024	0	0.000349	1	-1E+10	1	1.16	1	-1e10	1	-1e10	1	2274	4	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	361.35	0	8.1041	0	34.3254	0	26.734	0	358.505	0	122.47	0	42.6	0	29.91	0	0.0108	0	0.0036	0	0.000405	1	-1E+10	1	1.31	1	-1e10	1	-1e10	1	2273	0	 -1e10	1	 -1e10	1
5905106	1	C	09/23/2017	00:06	275.453	-32.481	0	351.00	0	8.2492	0	34.3057	0	26.697	0	348.245	0	99990.00	8	99990.0	8	28.74	0	0.0108	0	0.0036	0	0.000372	1	-1E+10	1	1.22	1	-1e10	1	-1e10	1	2272	4	 -1e10	1	 -1e10	1
