//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905103
//Univ. of Washington ID: 12370
//MBARI ID: 12370SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8067	
//Temperature[°C]	Sbe41cp	8067	
//Salinity[pss]	Sbe41cp	8067	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2462	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0076  Spec#105023 Equitech Ti probe #1604.06  MBARI ARGO float#756  DF#150  CTD#8067	
//Chl_a[mg/m^3]	FLBBAP2	4346	
//Chl_a_corr[mg/m^3]	FLBBAP2	4346	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4346	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4346	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	150	
//pH25C[Total]	Durafet	150	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1452	0.0000	0.0000
//Nitrate	1	1.0000	2.0234	-0.4539
//Nitrate	25	1.0000	1.7600	1.3906
//Nitrate	44	1.0000	3.6572	1.6080
//Nitrate	64	1.0000	3.9959	0.5846
//Nitrate	90	1.0000	4.3943	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	1398.77	0	1.9611	0	34.7406	0	27.774	0	1381.112	0	195.67	0	59.0	0	30.96	0	0.0000	0	0.0000	0	0.000262	1	-1E+10	1	0.93	1	-1e10	1	-1e10	1	2347	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	1298.38	0	2.0263	0	34.7339	0	27.763	0	1282.295	0	191.33	0	57.8	0	31.26	0	0.0036	0	0.0012	0	0.000262	1	-1E+10	1	0.93	1	-1e10	1	-1e10	1	2346	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	1199.57	0	2.0954	0	34.7254	0	27.750	0	1184.987	0	188.70	0	57.1	0	31.48	0	0.0000	0	0.0000	0	0.000262	1	-1E+10	1	0.93	1	-1e10	1	-1e10	1	2344	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	1099.71	0	2.1556	0	34.7137	0	27.735	0	1086.599	0	186.10	0	56.4	0	31.79	0	0.0072	0	0.0024	0	0.000262	1	-1E+10	1	0.93	1	-1e10	1	-1e10	1	2342	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	999.39	0	2.2162	0	34.6978	0	27.717	0	987.711	0	182.99	0	55.5	0	32.17	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	-1e10	1	-1e10	1	2341	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	949.56	0	2.2434	0	34.6894	0	27.708	0	938.575	0	181.60	0	55.1	0	32.40	0	0.0000	0	0.0000	0	0.000307	1	-1E+10	1	1.05	1	-1e10	1	-1e10	1	2340	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	901.32	0	2.2669	0	34.6760	0	27.695	0	890.996	0	179.49	0	54.5	0	32.75	0	0.0036	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	-1e10	1	-1e10	1	2339	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	851.72	0	2.2926	0	34.6615	0	27.681	0	842.064	0	177.65	0	54.0	0	33.01	0	0.0036	0	0.0012	0	0.000307	1	-1E+10	1	1.05	1	-1e10	1	-1e10	1	2338	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	801.59	0	2.3198	0	34.6453	0	27.666	0	792.597	0	176.41	0	53.6	0	33.29	0	0.0000	0	0.0000	0	0.000307	1	-1E+10	1	1.05	1	-1e10	1	-1e10	1	2337	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	750.90	0	2.3334	0	34.6293	0	27.651	0	742.566	0	175.22	0	53.3	0	33.56	0	0.0036	0	0.0012	0	0.000428	1	-1E+10	1	1.37	1	-1e10	1	-1e10	1	2335	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	701.18	0	2.3502	0	34.6076	0	27.632	0	693.480	0	174.08	0	53.0	0	33.89	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	-1e10	1	-1e10	1	2334	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	650.63	0	2.3566	0	34.5774	0	27.607	0	643.563	0	173.49	0	52.8	0	34.41	0	0.0000	0	0.0000	0	0.000329	1	-1E+10	1	1.11	1	-1e10	1	-1e10	1	2331	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	600.92	0	2.3530	0	34.5529	0	27.588	0	594.464	0	173.78	0	52.8	0	34.71	0	0.0216	0	0.0072	0	0.002495	1	-1E+10	1	6.74	1	-1e10	1	-1e10	1	2329	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	551.65	0	2.3417	0	34.5214	0	27.563	0	545.788	0	175.07	0	53.2	0	34.97	0	0.0036	0	0.0012	0	0.000362	1	-1E+10	1	1.20	1	-1e10	1	-1e10	1	2326	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	501.38	0	2.3612	0	34.4835	0	27.531	0	496.112	0	178.05	0	54.1	0	35.15	0	0.0000	0	0.0000	0	0.000363	1	-1E+10	1	1.20	1	-1e10	1	-1e10	1	2323	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	451.59	0	2.3449	0	34.4408	0	27.498	0	446.899	0	182.69	0	55.5	0	35.17	0	0.0036	0	0.0012	0	0.000506	1	-1E+10	1	1.57	1	-1e10	1	-1e10	1	2319	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	401.22	0	2.3099	0	34.3877	0	27.458	0	397.100	0	190.97	0	57.9	0	35.09	0	0.0036	0	0.0012	0	0.000462	1	-1E+10	1	1.45	1	-1e10	1	-1e10	1	2314	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	381.49	0	2.2849	0	34.3698	0	27.446	0	377.591	0	194.63	0	59.0	0	34.91	0	0.0036	0	0.0012	0	0.000473	1	-1E+10	1	1.48	1	-1e10	1	-1e10	1	2313	0	 -1e10	1	 -1e10	1
5905103	1	C	02/16/2018	12:31	131.880	-58.499	0	361.17	0	2.2403	0	34.3451	0	27.429	0	357.496	0	198.78	0	60.2	0	34.94	0	0.0036	0	0.0012	0	0.000495	1	-1E+10	1	1.54	1	-1e10	1	-1e10	1	2311	0	 -1e10	1	 -1e10	1
