//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:41
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905078
//Univ. of Washington ID: 12371
//MBARI ID: 12371SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 45 46 47 48 
//Missing Float data detected for adjusted station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7978	
//Temperature[°C]	Sbe41cp	7978	
//Salinity[pss]	Sbe41cp	7978	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2161	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0076  Spec#105019 Equitech Ti probe #1604.01  MBARI ARGO float#766  DF#140  CTD#7978	
//Chl_a[mg/m^3]	FLBBAP2	4344	
//Chl_a_corr[mg/m^3]	FLBBAP2	4344	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4344	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4344	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	160	
//pH25C[Total]	Durafet	160	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0784	0.0000	0.0000
//Nitrate	1	1.0000	-2.1516	30.1218
//Nitrate	10	1.0000	5.0227	8.2135
//Nitrate	20	1.0000	7.0506	-27.5185
//Nitrate	25	1.0000	4.8218	-7.0806
//Nitrate	33	1.0000	-1.4597	-2.3183
//Nitrate	44	1.0000	-2.0413	0.0000
//pH	1	1.0000	0.0242	0.0000
//pH	2	1.0000	0.0159	0.0000
//pH	13	1.0000	0.0171	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1999.59	0	0.9532	0	34.7049	0	27.819	0	1970.380	0	200.85	0	59.0	0	31.98	0	0.0072	0	0.0024	0	0.000190	1	-1E+10	1	0.75	1	7.8696	0	7.5985	0	2353	0	2256	0	482.4	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1898.76	0	1.0007	0	34.7068	0	27.817	0	1871.466	0	199.63	0	58.7	0	31.77	0	0.0036	0	0.0012	0	0.000212	1	-1E+10	1	0.80	1	7.8721	0	7.5976	0	2354	0	2257	0	485.4	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1799.45	0	1.0409	0	34.7084	0	27.815	0	1773.997	0	198.71	0	58.5	0	31.62	0	0.0000	0	0.0000	0	0.000212	1	-1E+10	1	0.80	1	7.8749	0	7.5970	0	2355	0	2258	0	487.9	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1699.49	0	1.0911	0	34.7105	0	27.813	0	1675.845	0	197.87	0	58.4	0	31.63	0	0.0072	0	0.0024	0	0.000190	1	-1E+10	1	0.75	1	7.8740	0	7.5932	0	2355	0	2259	0	494.9	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1599.29	0	1.1461	0	34.7127	0	27.811	0	1577.412	0	196.93	0	58.2	0	31.68	0	0.0036	0	0.0012	0	0.000212	1	-1E+10	1	0.81	1	7.8771	0	7.5931	0	2355	0	2260	0	497.1	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1498.87	0	1.2098	0	34.7150	0	27.808	0	1478.717	0	195.95	0	58.0	0	31.69	0	0.0036	0	0.0012	0	0.000213	1	-1E+10	1	0.81	1	7.8808	0	7.5936	0	2355	0	2259	0	498.5	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1399.52	0	1.2811	0	34.7169	0	27.804	0	1381.027	0	194.92	0	57.8	0	32.89	0	-0.0036	0	-0.0012	0	0.000201	1	-1E+10	1	0.78	1	7.8827	0	7.5926	0	2354	0	2259	0	502.0	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1299.97	0	1.3561	0	34.7193	0	27.801	0	1283.095	0	193.30	0	57.4	0	33.03	0	0.0036	0	0.0012	0	0.000213	1	-1E+10	1	0.81	1	7.8844	0	7.5915	0	2354	0	2259	0	506.0	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1200.01	0	1.4379	0	34.7210	0	27.796	0	1184.714	0	192.51	0	57.3	0	32.79	0	0.0000	0	0.0000	0	0.000224	1	-1E+10	1	0.84	1	7.8874	0	7.5916	0	2354	0	2259	0	508.4	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	1099.66	0	1.5205	0	34.7218	0	27.790	0	1085.902	0	191.62	0	57.1	0	32.86	0	0.0036	0	0.0012	0	0.000213	1	-1E+10	1	0.81	1	7.8893	0	7.5908	0	2354	0	2259	0	512.0	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	999.86	0	1.5940	0	34.7219	0	27.784	0	987.586	0	190.71	0	57.0	0	32.76	0	0.0000	0	0.0000	0	0.000213	1	-1E+10	1	0.81	1	7.8918	0	7.5904	0	2352	0	2258	0	514.8	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	951.64	0	1.6214	0	34.7221	0	27.782	0	940.066	0	190.13	0	56.8	0	32.81	0	0.0072	0	0.0024	0	0.000236	1	-1E+10	1	0.87	1	7.8998	0	7.5963	0	2353	0	2256	0	507.5	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	901.33	0	1.6701	0	34.7213	0	27.778	0	890.475	0	189.41	0	56.7	0	32.80	0	0.0072	0	0.0024	0	0.000247	1	-1E+10	1	0.90	1	7.8993	0	7.5946	0	2352	0	2256	0	511.2	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	851.56	0	1.7213	0	34.7195	0	27.772	0	841.404	0	188.55	0	56.5	0	32.88	0	0.0072	0	0.0024	0	0.000247	1	-1E+10	1	0.90	1	7.8986	0	7.5929	0	2351	0	2255	0	515.0	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	801.27	0	1.7599	0	34.7170	0	27.767	0	791.809	0	187.25	0	56.2	0	32.83	0	0.0000	0	0.0000	0	0.000225	1	-1E+10	1	0.84	1	7.8991	0	7.5921	0	2350	0	2255	0	517.3	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	751.03	0	1.7982	0	34.7136	0	27.761	0	742.252	0	186.04	0	55.9	0	33.08	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.93	1	7.8953	0	7.5873	0	2350	0	2256	0	525.4	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	701.05	0	1.8316	0	34.7100	0	27.756	0	692.939	0	185.24	0	55.7	0	33.16	0	0.0036	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.8930	0	7.5838	0	2349	0	2257	0	531.5	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	651.58	0	1.8785	0	34.7043	0	27.747	0	644.117	0	183.81	0	55.3	0	33.22	0	0.0036	0	0.0012	0	0.000259	1	-1E+10	1	0.93	1	7.8906	0	7.5805	0	2347	0	2256	0	537.6	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	601.57	0	1.9140	0	34.6973	0	27.739	0	594.752	0	182.18	0	54.9	0	33.42	0	0.0072	0	0.0024	0	0.000259	1	-1E+10	1	0.93	1	7.8894	0	7.5780	0	2346	0	2256	0	542.1	0
5905078	1	C	02/17/2017	15:09	233.917	-66.389	0	551.27	0	1.9413	0	34.6893	0	27.730	0	545.088	0	181.17	0	54.6	0	33.72	0	0.0072	0	0.0024	0	0.000427	1	-1E+10	1	1.36	1	7.8880	0	7.5754	0	2345	0	2256	0	547.1	0
