//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:43
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905107
//Univ. of Washington ID: 12372
//MBARI ID: 12372SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7976	
//Temperature[°C]	Sbe41cp	7976	
//Salinity[pss]	Sbe41cp	7976	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2245	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0098  Spec#105032 Equitech Ti probe #1604.16  MBARI ARGO float#765  DF#159  CTD#7946	
//Chl_a[mg/m^3]	FLBBAP2	4352	
//Chl_a_corr[mg/m^3]	FLBBAP2	4352	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4352	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4352	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	159	
//pH25C[Total]	Durafet	159	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1596	0.0000	0.0000
//Nitrate	1	1.0000	-1.1928	0.0000
//Nitrate	15	1.0000	-1.3352	0.3467
//Nitrate	28	1.0000	-1.4942	0.0000
//pH	1	1.0000	0.0143	0.0903
//pH	5	1.0000	0.0219	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	1297.96	0	3.3602	0	34.4146	0	27.393	0	1284.865	0	178.51	0	55.6	0	33.95	4	0.0072	0	0.0024	0	0.000255	1	-1E+10	1	0.92	1	7.8429	0	7.5827	0	2318	0	2232	0	563.2	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	1199.26	0	3.7677	0	34.3692	0	27.317	0	1187.439	0	183.88	0	57.8	0	33.15	4	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8542	0	7.5950	0	2307	0	2217	0	552.4	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	1100.00	0	4.2385	0	34.3373	0	27.243	0	1089.415	0	192.09	0	61.1	0	31.95	4	0.0000	0	0.0000	0	0.000279	1	-1E+10	1	0.98	1	7.8701	0	7.6125	0	2301	0	2204	0	536.9	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	999.63	0	4.8821	0	34.3157	0	27.156	0	990.247	0	203.16	0	65.6	0	30.29	4	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.8910	0	7.6370	0	2293	0	2187	0	515.3	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	949.14	0	5.1070	0	34.3126	0	27.127	0	940.344	0	207.66	0	67.4	0	29.48	4	0.0036	0	0.0012	0	0.000270	1	-1E+10	1	0.95	1	7.8984	0	7.6451	0	2291	0	2182	0	508.8	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	901.35	0	5.4386	0	34.3067	0	27.083	0	893.099	0	214.72	0	70.2	0	28.41	4	0.0000	0	0.0000	0	0.000281	1	-1E+10	1	0.98	1	7.9107	0	7.6594	0	2287	0	2173	0	496.0	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	851.72	0	5.7356	0	34.3097	0	27.050	0	844.024	0	221.06	0	72.8	0	27.33	4	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.9219	0	7.6723	0	2284	0	2165	0	484.8	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	801.08	0	6.0917	0	34.3178	0	27.011	0	793.937	0	228.43	0	75.9	0	26.05	4	0.0000	0	0.0000	0	0.000271	1	-1E+10	1	0.96	1	7.9322	0	7.6851	0	2282	0	2158	0	475.2	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	750.94	0	6.4642	0	34.3348	0	26.976	0	744.334	0	233.98	0	78.4	0	24.87	4	0.0000	0	0.0000	0	0.000283	1	-1E+10	1	0.99	1	7.9396	0	7.6955	0	2280	0	2152	0	469.5	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	701.29	0	6.7004	0	34.3538	0	26.960	0	695.203	0	236.28	0	79.6	0	24.20	4	0.0000	0	0.0000	0	0.000283	1	-1E+10	1	0.99	1	7.9422	0	7.6995	0	2280	0	2151	0	469.4	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	651.62	0	6.9147	0	34.3678	0	26.941	0	646.041	0	237.75	0	80.5	0	23.64	4	0.0000	0	0.0000	0	0.000284	1	-1E+10	1	0.99	1	7.9446	0	7.7031	0	2280	0	2149	0	469.5	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	600.85	0	7.1858	0	34.3899	0	26.921	0	595.779	0	238.50	0	81.3	0	22.97	4	0.0000	0	0.0000	0	0.000295	1	-1E+10	1	1.02	1	7.9471	0	7.7075	0	2280	0	2147	0	469.7	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	551.25	0	7.4818	0	34.4153	0	26.898	0	546.662	0	238.45	0	81.8	0	22.14	4	0.0000	0	0.0000	0	0.000295	1	-1E+10	1	1.02	1	7.9510	0	7.7136	0	2281	0	2145	0	468.3	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	501.69	0	7.6941	0	34.4361	0	26.884	0	497.574	0	239.13	0	82.4	0	21.46	4	0.0000	0	0.0000	0	0.000318	1	-1E+10	1	1.08	1	7.9556	0	7.7193	0	2281	0	2143	0	465.7	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	451.10	0	8.1069	0	34.4708	0	26.849	0	447.454	0	236.68	0	82.4	0	20.49	4	0.0000	0	0.0000	0	0.000329	1	-1E+10	1	1.11	1	7.9581	0	7.7258	0	2281	0	2141	0	466.1	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	401.40	0	9.1009	0	34.5613	0	26.766	0	398.203	0	225.89	0	80.4	0	18.36	4	0.0036	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.9594	0	7.7396	0	2284	0	2137	0	469.1	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	381.64	0	9.3355	0	34.5797	0	26.742	0	378.618	0	222.59	0	79.7	0	18.04	4	0.0000	0	0.0000	0	0.000309	1	-1E+10	1	1.06	1	7.9616	0	7.7445	0	2284	0	2135	0	467.8	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	361.22	0	9.8397	0	34.6281	0	26.696	0	358.378	0	217.37	0	78.7	0	17.27	4	0.0000	0	0.0000	0	0.000298	1	-1E+10	1	1.03	1	7.9616	0	7.7510	0	2286	0	2134	0	469.8	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	351.17	0	10.0431	0	34.6622	0	26.688	0	348.415	0	214.65	0	78.0	0	16.83	4	0.0000	0	0.0000	0	0.000309	1	-1E+10	1	1.06	1	7.9639	0	7.7559	0	2287	0	2133	0	468.0	0
5905107	1	C	08/11/2017	11:57	205.026	-32.413	0	341.55	0	10.3455	0	34.6870	0	26.655	0	338.879	0	212.46	0	77.8	0	16.37	4	0.0036	0	0.0012	0	0.000321	1	-1E+10	1	1.09	1	7.9669	0	7.7628	0	2288	0	2131	0	465.4	0
