//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:46
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905077
//Univ. of Washington ID: 12379
//MBARI ID: 12379SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 19 20 21 22 23 24 25 26 27 28 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 86 87 91 92 93 94 95 96 97 98 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7949	
//Temperature[°C]	Sbe41cp	7949	
//Salinity[pss]	Sbe41cp	7949	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2455	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0061  Spec#105016 Equitech Ti probe #20150209RR10.25  MBARI ARGO float#747  DF#146  CTD#7949	
//Chl_a[mg/m^3]	FLBBAP2	4219	
//Chl_a_corr[mg/m^3]	FLBBAP2	4219	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4219	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4219	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	146	
//pH25C[Total]	Durafet	146	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0900	0.0000	0.0000
//Nitrate	1	1.0000	-4.2669	0.0000
//Nitrate	2	1.0000	-5.2127	0.0000
//pH	1	1.0000	-0.0197	0.0000
//pH	2	1.0000	-0.0103	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	2000.04	0	1.0875	0	34.7193	0	27.822	0	1971.009	0	190.13	0	56.1	0	34.94	0	0.0036	0	0.0012	0	0.000220	1	-1E+10	1	0.83	1	7.8723	0	7.6026	0	2356	0	2256	0	480.1	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1899.39	0	1.1328	0	34.7215	0	27.820	0	1872.262	0	188.71	0	55.7	0	34.98	0	0.0072	0	0.0024	0	0.000243	1	-1E+10	1	0.89	1	7.8681	0	7.5958	0	2355	0	2258	0	490.8	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1799.30	0	1.1864	0	34.7229	0	27.818	0	1774.019	0	188.04	0	55.6	0	35.03	0	0.0072	0	0.0024	0	0.000243	1	-1E+10	1	0.89	1	7.8739	0	7.5980	0	2356	0	2258	0	489.7	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1699.75	0	1.2621	0	34.7250	0	27.814	0	1676.261	0	187.04	0	55.4	0	34.91	0	0.0036	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8742	0	7.5957	0	2355	0	2258	0	495.2	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1599.65	0	1.3252	0	34.7278	0	27.811	0	1577.916	0	185.90	0	55.2	0	34.86	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8849	0	7.6025	0	2354	0	2255	0	487.8	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1500.29	0	1.4063	0	34.7293	0	27.806	0	1480.254	0	184.63	0	54.9	0	34.66	0	0.0072	0	0.0024	0	0.000244	1	-1E+10	1	0.89	1	7.8774	0	7.5932	0	2354	0	2259	0	503.2	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1399.54	0	1.4867	0	34.7305	0	27.801	0	1381.178	0	183.97	0	54.8	0	34.50	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8788	0	7.5919	0	2355	0	2260	0	507.7	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1299.19	0	1.5633	0	34.7313	0	27.796	0	1282.450	0	183.38	0	54.7	0	34.45	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8857	0	7.5955	0	2354	0	2258	0	505.0	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1199.04	0	1.6613	0	34.7313	0	27.788	0	1183.872	0	182.15	0	54.5	0	34.45	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8876	0	7.5949	0	2354	0	2258	0	508.8	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	1099.80	0	1.7370	0	34.7294	0	27.780	0	1086.144	0	181.31	0	54.4	0	34.53	0	0.0072	0	0.0024	0	0.000279	1	-1E+10	1	0.98	1	7.8907	0	7.5951	0	2353	0	2257	0	510.8	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	999.42	0	1.8149	0	34.7250	0	27.770	0	987.246	0	179.58	0	54.0	0	34.43	0	0.0072	0	0.0024	0	0.000302	1	-1E+10	1	1.04	1	7.8886	0	7.5906	0	2352	0	2257	0	519.4	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	949.68	0	1.8555	0	34.7220	0	27.765	0	938.223	0	178.73	0	53.8	0	34.56	0	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.8936	0	7.5938	0	2352	0	2256	0	516.1	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	901.26	0	1.8937	0	34.7199	0	27.760	0	890.490	0	177.72	0	53.5	0	34.66	0	0.0072	0	0.0024	0	0.000279	1	-1E+10	1	0.98	1	7.8880	0	7.5876	0	2351	0	2257	0	526.3	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	851.12	0	1.9153	0	34.7129	0	27.752	0	841.050	0	176.43	0	53.1	0	34.81	0	0.0036	0	0.0012	0	0.000302	1	-1E+10	1	1.04	1	7.8883	0	7.5863	0	2350	0	2257	0	528.8	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	800.58	0	1.9696	0	34.7051	0	27.742	0	791.204	0	174.92	0	52.7	0	34.99	0	0.0072	0	0.0024	0	0.000302	1	-1E+10	1	1.04	1	7.8831	0	7.5805	0	2348	0	2257	0	538.7	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	751.64	0	2.0097	0	34.6982	0	27.733	0	742.924	0	173.33	0	52.3	0	35.12	0	0.0072	0	0.0024	0	0.000326	1	-1E+10	1	1.10	1	7.8764	0	7.5732	0	2347	0	2259	0	550.8	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	701.54	0	2.0387	0	34.6880	0	27.722	0	693.488	0	172.43	0	52.1	0	35.43	0	0.0108	0	0.0036	0	0.000349	1	-1E+10	1	1.16	1	7.8722	0	7.5680	0	2346	0	2259	0	559.6	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	650.60	0	2.0607	0	34.6786	0	27.712	0	643.212	0	171.52	0	51.8	0	35.57	0	0.0072	0	0.0024	0	0.000360	1	-1E+10	1	1.19	1	7.8712	0	7.5655	0	2344	0	2258	0	564.0	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	600.99	0	2.0874	0	34.6656	0	27.700	0	594.236	0	170.61	0	51.6	0	35.79	0	0.0108	0	0.0036	0	0.000395	1	-1E+10	1	1.28	1	7.8658	0	7.5592	0	2342	0	2259	0	574.6	0
5905077	1	C	02/18/2017	03:52	234.101	-65.013	0	550.70	0	2.1445	0	34.6522	0	27.684	0	544.577	0	169.12	0	51.2	0	35.99	0	0.0072	0	0.0024	0	0.000418	1	-1E+10	1	1.34	1	7.8642	0	7.5567	0	2340	0	2258	0	580.0	0
