//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:52
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905108
//Univ. of Washington ID: 12380
//MBARI ID: 12380SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7947	
//Temperature[°C]	Sbe41cp	7947	
//Salinity[pss]	Sbe41cp	7947	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2453	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0086  Spec#105028 Equitech Ti probe #1604.13  MBARI ARGO float#762  DF#156  CTD#7947	
//Chl_a[mg/m^3]	FLBBAP2	4351	
//Chl_a_corr[mg/m^3]	FLBBAP2	4351	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4351	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4351	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	156	
//pH25C[Total]	Durafet	156	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1410	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//Nitrate	2	1.0000	-0.1220	-1.1665
//Nitrate	19	1.0000	-0.9991	1.6647
//Nitrate	32	1.0000	-0.3399	0.0000
//pH	1	1.0000	0.0000	0.0000
//pH	2	1.0000	-0.0372	-0.2202
//pH	6	1.0000	-0.0572	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	1199.86	0	4.1203	0	34.3640	0	27.278	0	1188.026	0	190.26	0	60.3	0	32.47	0	0.0036	0	0.0012	0	0.000335	1	-1E+10	1	1.12	1	7.8698	0	7.6135	0	2304	0	2203	0	531.3	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	1099.59	0	4.6386	0	34.3583	0	27.217	0	1089.005	0	195.82	0	62.9	0	31.29	0	0.0036	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.8813	0	7.6277	0	2301	0	2195	0	522.9	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	997.36	0	5.2239	0	34.3354	0	27.132	0	988.000	0	207.10	0	67.4	0	29.74	0	0.0036	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9003	0	7.6498	0	2290	0	2177	0	503.5	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	951.00	0	5.4671	0	34.3289	0	27.098	0	942.179	0	212.16	0	69.4	0	28.78	0	0.0036	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9072	0	7.6579	0	2286	0	2170	0	497.1	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	901.19	0	5.7797	0	34.3308	0	27.061	0	892.937	0	218.04	0	71.9	0	27.64	0	0.0036	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9133	0	7.6662	0	2284	0	2165	0	492.7	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	851.00	0	6.0671	0	34.3369	0	27.030	0	843.308	0	222.44	0	73.8	0	26.70	0	0.0000	0	0.0000	0	0.000316	1	-1E+10	1	1.08	1	7.9229	0	7.6774	0	2282	0	2158	0	483.7	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	801.02	0	6.3408	0	34.3465	0	27.002	0	793.875	0	226.74	0	75.7	0	25.81	0	0.0036	0	0.0012	0	0.000328	1	-1E+10	1	1.11	1	7.9301	0	7.6862	0	2280	0	2153	0	477.8	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	751.10	0	6.5900	0	34.3592	0	26.979	0	744.489	0	229.23	0	77.0	0	24.96	0	0.0036	0	0.0012	0	0.000361	1	-1E+10	1	1.19	1	7.9336	0	7.6913	0	2279	0	2150	0	476.6	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	701.64	0	6.8501	0	34.3767	0	26.958	0	695.547	0	231.45	0	78.2	0	24.05	0	0.0036	0	0.0012	0	0.000329	1	-1E+10	1	1.11	1	7.9363	0	7.6957	0	2279	0	2148	0	476.5	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	650.76	0	7.2300	0	34.4121	0	26.933	0	645.187	0	229.57	0	78.3	0	23.45	0	0.0072	0	0.0024	0	0.000351	1	-1E+10	1	1.17	1	7.9370	0	7.7001	0	2280	0	2147	0	479.2	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	600.83	0	7.6219	0	34.4408	0	26.899	0	595.756	0	228.74	0	78.7	0	22.16	0	0.0036	0	0.0012	0	0.000341	1	-1E+10	1	1.14	1	7.9360	0	7.7030	0	2279	0	2145	0	483.7	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	551.63	0	8.1403	0	34.5017	0	26.870	0	547.036	0	223.68	0	77.9	0	21.25	0	0.0036	0	0.0012	0	0.000375	1	-1E+10	1	1.23	1	7.9343	0	7.7071	0	2282	0	2147	0	490.1	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	500.81	0	8.6808	0	34.5626	0	26.835	0	496.700	0	219.87	0	77.6	0	20.12	0	0.0072	0	0.0024	0	0.000364	1	-1E+10	1	1.20	1	7.9392	0	7.7176	0	2285	0	2145	0	488.2	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	451.49	0	9.5709	0	34.6655	0	26.772	0	447.838	0	211.93	0	76.3	0	18.57	0	0.0036	0	0.0012	0	0.000376	1	-1E+10	1	1.23	1	7.9380	0	7.7277	0	2288	0	2144	0	494.4	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	401.13	0	10.3579	0	34.7653	0	26.716	0	397.934	0	211.17	0	77.4	0	16.58	0	0.0072	0	0.0024	0	0.000377	1	-1E+10	1	1.23	1	7.9481	0	7.7469	0	2292	0	2139	0	486.2	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	380.88	0	10.6982	0	34.8123	0	26.692	0	377.863	0	214.22	0	79.1	0	15.39	0	0.0072	0	0.0024	0	0.000388	1	-1E+10	1	1.26	1	7.9554	0	7.7581	0	2294	0	2137	0	479.0	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	360.64	0	11.0608	0	34.8602	0	26.664	0	357.801	0	214.25	0	79.7	0	14.65	0	0.0036	0	0.0012	0	0.000355	1	-1E+10	1	1.18	1	7.9589	0	7.7660	0	2297	0	2135	0	476.6	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	350.74	0	11.3514	0	34.9017	0	26.643	0	347.987	0	212.07	0	79.4	0	14.50	0	0.0036	0	0.0012	0	0.000367	1	-1E+10	1	1.21	1	7.9625	0	7.7733	0	2299	0	2134	0	473.3	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	341.71	0	11.4984	0	34.9172	0	26.628	0	339.036	0	210.02	0	78.9	0	14.52	0	0.0072	0	0.0024	0	0.000367	1	-1E+10	1	1.21	1	7.9623	0	7.7750	0	2299	0	2133	0	474.3	0
5905108	1	C	07/29/2017	19:38	185.242	-32.465	0	331.60	0	11.5570	0	34.9250	0	26.623	0	329.013	0	209.28	0	78.7	0	14.64	0	0.0036	0	0.0012	0	0.000367	1	-1E+10	1	1.21	1	7.9631	0	7.7762	0	2300	0	2133	0	474.0	0
