//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:55
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904857
//Univ. of Washington ID: 12381
//MBARI ID: 12381SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 36 58 119 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7915	
//Temperature[°C]	Sbe41cp	7915	
//Salinity[pss]	Sbe41cp	7915	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2223	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0041 Spec#098655 Equitech Ti probe #20150209RR10.41  MBARI ARGO float#735  DF#130  CTD#7915	
//Chl_a[mg/m^3]	FLBBAP2	4269	
//Chl_a_corr[mg/m^3]	FLBBAP2	4269	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4269	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4269	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	130	
//pH25C[Total]	Durafet	130	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.2236	0.0000	-0.0083
//Oxygen	118	1.1969	0.0000	0.0000
//Nitrate	1	1.0000	1.0205	-32.0944
//Nitrate	5	1.0000	-1.4779	0.1334
//Nitrate	119	1.0000	-1.1514	0.0000
//pH	1	1.0000	0.0151	0.1848
//pH	6	1.0000	0.0217	0.0088
//pH	37	1.0000	0.0205	0.0155
//pH	73	1.0000	0.0296	0.0074
//pH	119	1.0000	0.0397	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1899.55	0	0.6756	0	34.6991	0	27.831	0	1871.260	0	207.79	0	60.6	0	32.05	0	0.0036	0	0.0012	0	0.000235	1	-1E+10	1	0.86	1	7.8735	4	7.5944	4	2351	0	2255	4	481.9	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1799.18	0	0.7036	0	34.7006	0	27.830	0	1772.803	0	206.89	0	60.4	0	32.05	0	0.0036	0	0.0012	0	0.000334	1	-1E+10	1	1.12	1	7.8734	4	7.5911	4	2351	0	2256	4	487.7	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1699.86	0	0.7386	0	34.7016	0	27.828	0	1675.331	0	206.23	0	60.3	0	31.97	0	0.0000	0	0.0000	0	0.000302	1	-1E+10	1	1.04	1	7.8752	4	7.5895	4	2351	0	2257	4	491.3	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1599.12	0	0.7658	0	34.7028	0	27.827	0	1576.419	0	205.70	0	60.2	0	31.91	0	0.0000	0	0.0000	0	0.000246	1	-1E+10	1	0.89	1	7.8785	4	7.5891	4	2351	0	2257	4	493.1	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1499.93	0	0.8043	0	34.7036	0	27.825	0	1478.983	0	204.90	0	60.0	0	31.90	0	0.0000	0	0.0000	0	0.000247	1	-1E+10	1	0.89	1	7.8807	4	7.5879	4	2351	0	2257	4	496.3	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1399.32	0	0.8450	0	34.7059	0	27.824	0	1380.107	0	203.99	0	59.8	0	31.85	0	0.0000	0	0.0000	0	0.000269	1	-1E+10	1	0.95	1	7.8862	4	7.5897	4	2351	0	2257	4	495.4	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1299.97	0	0.8882	0	34.7075	0	27.822	0	1282.423	0	203.07	0	59.6	0	31.81	0	0.0036	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.8894	4	7.5895	4	2351	0	2257	4	497.3	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1199.32	0	0.9392	0	34.7097	0	27.820	0	1183.414	0	202.00	0	59.4	0	31.74	0	0.0000	0	0.0000	0	0.000247	1	-1E+10	1	0.90	1	7.8934	4	7.5901	4	2350	0	2256	4	498.3	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	1098.86	0	0.9940	0	34.7108	0	27.817	0	1084.546	0	200.75	0	59.1	0	31.74	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.8945	4	7.5882	4	2350	0	2256	4	502.9	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	999.76	0	1.0601	0	34.7139	0	27.815	0	986.970	0	199.22	0	58.7	0	31.68	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.8960	4	7.5867	4	2350	0	2257	4	507.1	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	950.68	0	1.0929	0	34.7151	0	27.814	0	938.628	0	198.46	0	58.5	0	31.64	0	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.8907	4	7.5806	4	2349	0	2259	4	516.9	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	901.02	0	1.1289	0	34.7158	0	27.812	0	889.703	0	197.72	0	58.4	0	31.70	0	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8903	4	7.5789	4	2349	0	2259	4	520.4	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	851.54	0	1.1752	0	34.7176	0	27.810	0	840.944	0	196.73	0	58.2	0	31.70	0	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8893	4	7.5769	4	2348	0	2259	4	524.6	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	801.37	0	1.2209	0	34.7181	0	27.807	0	791.493	0	195.66	0	57.9	0	31.77	0	0.0036	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.8890	4	7.5754	4	2348	0	2259	4	528.2	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	751.20	0	1.2624	0	34.7190	0	27.804	0	742.030	0	194.78	0	57.7	0	31.67	0	0.0036	0	0.0012	0	0.000270	1	-1E+10	1	0.95	1	7.8889	4	7.5741	4	2347	0	2259	4	531.3	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	700.89	0	1.3087	0	34.7182	0	27.800	0	692.418	0	193.83	0	57.5	0	31.61	0	0.0036	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.8888	4	7.5727	4	2346	0	2258	4	534.6	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	651.30	0	1.3711	0	34.7201	0	27.797	0	643.504	0	192.77	0	57.3	0	31.58	0	0.0036	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.8885	4	7.5715	4	2346	0	2258	4	538.2	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	601.32	0	1.3971	0	34.7147	0	27.791	0	594.193	0	192.05	0	57.1	0	31.58	0	0.0072	0	0.0024	0	0.000314	1	-1E+10	1	1.07	1	7.8883	4	7.5698	4	2344	0	2257	4	541.3	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	551.30	0	1.4566	0	34.7117	0	27.784	0	544.832	0	190.91	0	56.8	0	31.53	0	0.0108	0	0.0036	0	0.000314	1	-1E+10	1	1.07	1	7.8859	4	7.5667	4	2342	0	2257	4	547.6	4
5904857	1	C	01/13/2017	13:49	203.022	-75.647	0	501.08	0	1.4495	0	34.6993	0	27.774	0	495.261	0	190.68	0	56.8	0	31.72	0	0.0144	0	0.0048	0	0.000347	1	-1E+10	1	1.16	1	7.8847	4	7.5636	4	2341	0	2257	4	552.3	4
