//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:03
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904841
//Univ. of Washington ID: 12382
//MBARI ID: 12382SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 3 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7183	
//Temperature[°C]	Sbe41cp	7183	
//Salinity[pss]	Sbe41cp	7183	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1873	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0031 Spec#093159 Equitech Ti probe #20150209RR10.02X-1  MBARI ARGO float#717  DF#101  CTD#7183	
//Chl_a[mg/m^3]	FLBBAP2	4169	
//Chl_a_corr[mg/m^3]	FLBBAP2	4169	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4169	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4169	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	101	
//pH25C[Total]	Durafet	101	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0666	0.0000	0.0049
//Oxygen	127	1.0836	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0015	0.0000
//pH	2	1.0000	-0.0963	0.0000
//pH	3	1.0000	-0.1686	0.0000
//pH	4	1.0000	-0.1954	0.0000
//pH	5	1.0000	-0.1917	0.0000
//pH	6	1.0000	-0.1618	0.0000
//pH	7	1.0000	-0.1433	0.1341
//pH	20	1.0000	-0.0976	-0.0356
//pH	26	1.0000	-0.1027	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1997.79	0	2.3198	0	34.6299	0	27.661	0	1972.153	0	171.25	0	52.1	0	75.54	8	0.0072	0	0.0024	0	0.000250	1	-1E+10	1	0.90	1	7.8343	0	7.5861	0	2349	0	2260	0	529.9	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1899.28	0	2.3759	0	34.6023	0	27.634	0	1875.341	0	163.71	0	49.8	0	77.95	8	0.0072	0	0.0024	0	0.000251	1	-1E+10	1	0.90	1	7.8240	0	7.5741	0	2352	0	2268	0	551.0	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1799.35	0	2.4865	0	34.5849	0	27.610	0	1777.088	0	168.91	0	51.5	0	73.19	8	0.0108	0	0.0036	0	0.000262	1	-1E+10	1	0.93	1	7.8258	0	7.5736	0	2342	0	2258	0	552.9	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1699.40	0	2.5930	0	34.5516	0	27.574	0	1678.769	0	168.82	0	51.6	0	76.01	8	0.0072	0	0.0024	0	0.000262	1	-1E+10	1	0.93	1	7.8211	0	7.5672	0	2338	0	2256	0	565.2	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1599.10	0	2.7369	0	34.5179	0	27.534	0	1580.061	0	161.88	0	49.7	0	79.21	8	0.0072	0	0.0024	0	0.000263	1	-1E+10	1	0.94	1	7.8126	0	7.5579	0	2337	0	2258	0	584.5	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1498.34	0	2.8813	0	34.4894	0	27.498	0	1480.853	0	160.12	0	49.3	0	78.43	8	0.0108	0	0.0036	0	0.000274	1	-1E+10	1	0.97	1	7.8072	0	7.5514	0	2333	0	2257	0	598.9	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1399.57	0	3.0471	0	34.4531	0	27.453	0	1383.559	0	161.19	0	49.8	0	79.13	8	0.0108	0	0.0036	0	0.000296	1	-1E+10	1	1.02	1	7.8089	0	7.5516	0	2328	0	2252	0	602.4	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1299.28	0	3.2637	0	34.4023	0	27.392	0	1284.722	0	171.41	0	53.3	0	77.90	8	0.0108	0	0.0036	0	0.000286	1	-1E+10	1	1.00	1	7.8224	0	7.5630	0	2318	0	2238	0	587.7	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1199.13	0	3.4852	0	34.3591	0	27.336	0	1185.976	0	185.17	0	57.8	0	76.90	8	0.0072	0	0.0024	0	0.000264	1	-1E+10	1	0.94	1	7.8414	0	7.5796	0	2309	0	2224	0	565.7	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	1098.50	0	3.8468	0	34.3168	0	27.267	0	1086.710	0	199.47	0	62.8	0	74.80	8	0.0072	0	0.0024	0	0.000265	1	-1E+10	1	0.94	1	7.8618	0	7.5994	0	2300	0	2209	0	543.0	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	999.84	0	4.2080	0	34.2936	0	27.211	0	989.341	0	207.71	0	66.0	0	76.26	8	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8755	0	7.6133	0	2294	0	2198	0	530.4	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	951.24	0	4.4409	0	34.2837	0	27.178	0	941.361	0	210.71	0	67.3	0	75.14	8	0.0036	0	0.0012	0	0.000266	1	-1E+10	1	0.95	1	7.8758	0	7.6151	0	2292	0	2194	0	533.0	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	901.14	0	4.6939	0	34.2705	0	27.140	0	891.888	0	216.20	0	69.5	0	72.55	8	0.0072	0	0.0024	0	0.000278	1	-1E+10	1	0.98	1	7.8828	0	7.6232	0	2288	0	2188	0	526.5	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	851.76	0	4.9030	0	34.2609	0	27.108	0	843.114	0	222.70	0	71.9	0	72.67	8	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.8918	0	7.6327	0	2285	0	2182	0	517.6	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	801.56	0	5.1064	0	34.2522	0	27.078	0	793.519	0	229.76	0	74.5	0	73.44	8	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	7.9060	0	7.6468	0	2282	0	2174	0	502.2	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	750.94	0	5.2589	0	34.2454	0	27.054	0	743.497	0	236.65	0	77.0	0	70.53	8	0.0036	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.9150	0	7.6554	0	2281	0	2169	0	493.8	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	701.71	0	5.4070	0	34.2360	0	27.029	0	694.837	0	247.24	0	80.8	0	69.65	8	0.0036	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.9298	0	7.6695	0	2279	0	2162	0	478.2	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	651.22	0	5.6033	0	34.2379	0	27.007	0	644.919	0	253.98	0	83.3	0	68.02	8	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.9409	0	7.6807	0	2279	0	2158	0	468.1	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	601.64	0	5.7638	0	34.2430	0	26.991	0	595.890	0	258.81	0	85.2	0	71.83	8	0.0036	0	0.0012	0	0.000313	1	-1E+10	1	1.07	1	7.9471	0	7.6871	0	2282	0	2158	0	464.1	0
5904841	1	C	01/12/2017	23:51	257.009	-45.007	0	551.05	0	5.9436	0	34.2521	0	26.975	0	545.850	0	261.70	0	86.6	0	67.60	8	0.0036	0	0.0012	0	0.000313	1	-1E+10	1	1.07	1	7.9537	0	7.6940	0	2279	0	2153	0	458.9	0
