//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:09
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905076
//Univ. of Washington ID: 12386
//MBARI ID: 12386SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8063	
//Temperature[°C]	Sbe41cp	8063	
//Salinity[pss]	Sbe41cp	8063	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1861	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0091  Spec#105020 Equitech Ti probe #1604.03  MBARI ARGO float#754  DF#148  CTD#8063	
//Chl_a[mg/m^3]	FLBBAP2	4348	
//Chl_a_corr[mg/m^3]	FLBBAP2	4348	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4348	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4348	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	148	
//pH25C[Total]	Durafet	148	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0680	0.0000	0.0000
//Nitrate	1	1.0000	-0.4883	1.6831
//Nitrate	26	1.0000	0.4656	0.3878
//Nitrate	123	1.0000	1.3371	0.0000
//pH	1	1.0000	0.0197	-0.0835
//pH	9	1.0000	0.0004	0.0189
//pH	30	1.0000	0.0259	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1998.96	0	1.6708	0	34.7179	0	27.781	0	1971.153	0	194.43	0	58.2	0	31.81	0	0.0072	0	0.0024	0	0.000229	1	-1E+10	1	0.85	1	7.8747	0	7.6129	0	2350	0	2248	0	478.0	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1899.61	0	1.7463	0	34.7184	0	27.775	0	1873.622	0	191.18	0	57.3	0	31.84	0	0.0072	0	0.0024	0	0.000252	1	-1E+10	1	0.91	1	7.8742	0	7.6098	0	2351	0	2249	0	484.6	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1799.38	0	1.8534	0	34.7161	0	27.765	0	1775.181	0	188.33	0	56.6	0	31.80	0	0.0036	0	0.0012	0	0.000252	1	-1E+10	1	0.91	1	7.8709	0	7.6047	0	2350	0	2250	0	494.4	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1698.64	0	1.9357	0	34.7124	0	27.755	0	1676.193	0	186.34	0	56.2	0	31.81	0	0.0036	0	0.0012	0	0.000252	1	-1E+10	1	0.91	1	7.8684	0	7.5999	0	2350	0	2252	0	503.6	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1599.08	0	1.9812	0	34.7089	0	27.748	0	1578.320	0	184.97	0	55.8	0	31.97	0	0.0072	0	0.0024	0	0.000252	1	-1E+10	1	0.91	1	7.8684	0	7.5969	0	2350	0	2253	0	509.6	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1500.31	0	2.0423	0	34.7017	0	27.737	0	1481.177	0	182.89	0	55.3	0	32.10	0	0.0036	0	0.0012	0	0.000263	1	-1E+10	1	0.94	1	7.8682	0	7.5939	0	2349	0	2254	0	515.9	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1397.70	0	2.1154	0	34.6903	0	27.722	0	1380.211	0	180.26	0	54.6	0	32.25	0	0.0072	0	0.0024	0	0.000275	1	-1E+10	1	0.97	1	7.8670	0	7.5901	0	2348	0	2254	0	523.5	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1300.20	0	2.1713	0	34.6767	0	27.706	0	1284.228	0	177.92	0	53.9	0	32.49	0	0.0072	0	0.0024	0	0.000264	1	-1E+10	1	0.94	1	7.8625	0	7.5832	0	2346	0	2255	0	535.4	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1199.35	0	2.2475	0	34.6511	0	27.678	0	1184.900	0	175.34	0	53.2	0	33.08	0	0.0072	0	0.0024	0	0.000286	1	-1E+10	1	1.00	1	7.8586	0	7.5771	0	2344	0	2254	0	546.7	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	1099.34	0	2.3052	0	34.6290	0	27.655	0	1086.354	0	173.35	0	52.7	0	33.45	0	0.0108	0	0.0036	0	0.000286	1	-1E+10	1	1.00	1	7.8511	0	7.5674	0	2341	0	2255	0	563.1	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	999.53	0	2.3325	0	34.5995	0	27.629	0	987.958	0	173.37	0	52.7	0	33.81	0	0.0036	0	0.0012	0	0.000297	1	-1E+10	1	1.03	1	7.8484	0	7.5618	0	2338	0	2254	0	572.8	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	951.79	0	2.3747	0	34.5797	0	27.609	0	940.878	0	172.67	0	52.5	0	34.07	0	0.0072	0	0.0024	0	0.000309	1	-1E+10	1	1.06	1	7.8405	0	7.5535	0	2336	0	2255	0	587.1	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	901.44	0	2.3515	0	34.5546	0	27.591	0	891.212	0	175.65	0	53.4	0	34.26	0	0.0036	0	0.0012	0	0.000353	1	-1E+10	1	1.17	1	7.8398	0	7.5507	0	2333	0	2254	0	590.8	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	851.32	0	2.4422	0	34.5426	0	27.574	0	841.761	0	173.66	0	52.9	0	34.44	0	0.0036	0	0.0012	0	0.000342	1	-1E+10	1	1.14	1	7.8384	0	7.5489	0	2331	0	2252	0	596.1	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	800.77	0	2.4861	0	34.5245	0	27.555	0	791.875	0	174.13	0	53.1	0	34.55	0	0.0108	0	0.0036	0	0.000774	1	-1E+10	1	2.27	1	7.8373	0	7.5466	0	2328	0	2251	0	600.9	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	751.04	0	2.5346	0	34.5056	0	27.536	0	742.786	0	174.92	0	53.4	0	34.66	0	0.0036	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.8372	0	7.5455	0	2326	0	2249	0	603.9	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	700.93	0	2.5556	0	34.4804	0	27.513	0	693.310	0	177.62	0	54.3	0	34.72	0	0.0036	0	0.0012	0	0.000364	1	-1E+10	1	1.20	1	7.8393	0	7.5458	0	2323	0	2246	0	603.7	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	651.62	0	2.5628	0	34.4528	0	27.490	0	644.612	0	181.63	0	55.5	0	34.81	0	0.0072	0	0.0024	0	0.000342	1	-1E+10	1	1.14	1	7.8412	0	7.5458	0	2320	0	2243	0	603.6	0
5905076	1	C	02/22/2017	02:47	233.693	-57.178	0	601.16	0	2.6540	0	34.4291	0	27.463	0	594.767	0	185.09	0	56.7	0	34.72	0	0.0036	0	0.0012	0	0.000321	1	-1E+10	1	1.09	1	7.8451	0	7.5487	0	2317	0	2239	0	600.9	0
