//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:14
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905099
//Univ. of Washington ID: 12388
//MBARI ID: 12388SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 11 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8068	
//Temperature[°C]	Sbe41cp	8068	
//Salinity[pss]	Sbe41cp	8068	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2220	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#?  Spec#105018 Equitech Ti probe #1604.27  MBARI ARGO float#753  DF#147  CTD#8068	
//Chl_a[mg/m^3]	FLBBAP2	4345	
//Chl_a_corr[mg/m^3]	FLBBAP2	4345	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4345	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4345	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	147	
//pH25C[Total]	Durafet	147	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1572	0.0000	0.0000
//Nitrate	1	1.0000	-1.2106	0.1383
//Nitrate	105	1.0000	-2.4511	55.2578
//Nitrate	107	1.0000	-0.8158	0.0000
//Nitrate	118	1.0000	-0.8990	0.0000
//pH	1	1.0000	-0.0215	-0.1785
//pH	22	1.0000	-0.1114	0.0487
//pH	45	1.0000	-0.0488	0.2639
//pH	56	1.0000	0.0243	-0.0435
//pH	64	1.0000	0.0348	0.0172
//pH	97	1.0000	0.0448	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1999.93	0	1.8403	0	34.7168	0	27.768	0	1971.650	0	188.86	0	56.8	0	32.08	0	0.0072	0	0.0024	0	0.000240	1	-1E+10	1	0.88	1	7.8780	4	7.6182	4	2350	0	2245	4	474.1	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1899.34	0	1.9080	0	34.7152	0	27.761	0	1872.925	0	185.55	0	55.9	0	31.96	0	0.0036	0	0.0012	0	0.000240	1	-1E+10	1	0.88	1	7.8759	4	7.6136	4	2349	0	2246	4	482.2	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1800.07	0	1.9792	0	34.7114	0	27.752	0	1775.449	0	183.73	0	55.4	0	32.07	0	0.0108	0	0.0036	0	0.000262	1	-1E+10	1	0.94	1	7.8710	4	7.6066	4	2348	0	2247	4	493.7	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1698.67	0	2.0484	0	34.7064	0	27.742	0	1675.836	0	181.99	0	55.0	0	32.14	0	0.0108	0	0.0036	0	0.000252	1	-1E+10	1	0.91	1	7.8637	4	7.5973	4	2346	0	2249	4	508.6	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1598.57	0	2.1001	0	34.6991	0	27.731	0	1577.454	0	180.22	0	54.5	0	32.39	0	0.0072	0	0.0024	0	0.000273	1	-1E+10	1	0.96	1	7.8572	4	7.5884	4	2344	0	2251	4	522.9	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1499.25	0	2.1639	0	34.6883	0	27.717	0	1479.793	0	178.19	0	54.0	0	32.60	0	0.0108	0	0.0036	0	0.000263	1	-1E+10	1	0.94	1	7.8551	4	7.5838	4	2343	0	2251	4	531.6	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1399.67	0	2.2218	0	34.6760	0	27.702	0	1381.831	0	176.15	0	53.4	0	32.90	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.8482	4	7.5747	4	2340	0	2252	4	546.7	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1299.88	0	2.2940	0	34.6556	0	27.679	0	1283.617	0	173.61	0	52.8	0	33.28	0	0.0072	0	0.0024	0	0.000285	1	-1E+10	1	0.99	1	7.8455	4	7.5697	4	2338	0	2252	4	556.6	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1199.65	0	2.3285	0	34.6429	0	27.665	0	1184.923	0	172.48	0	52.5	0	33.48	0	0.0108	0	0.0036	0	0.000285	1	-1E+10	1	0.99	1	7.8404	4	7.5619	4	2337	0	2253	4	570.1	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	1099.09	0	2.3703	0	34.6139	0	27.638	0	1085.857	0	169.87	0	51.7	0	34.15	0	0.0072	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.8362	4	7.5550	4	2333	0	2252	4	582.2	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	999.64	0	2.4537	0	34.5891	0	27.611	0	987.838	0	169.34	0	51.6	0	34.32	0	0.0072	0	0.0024	0	0.000285	1	-1E+10	1	1.00	1	7.8349	4	7.5513	4	2331	0	2251	4	590.5	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	950.83	0	2.4917	0	34.5711	0	27.593	0	939.714	0	168.82	0	51.5	0	34.54	0	0.0108	0	0.0036	0	0.000307	1	-1E+10	1	1.05	1	7.8442	4	7.5584	4	2329	0	2247	4	580.0	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	901.60	0	2.4148	0	34.5363	0	27.571	0	891.164	0	169.12	0	51.5	0	35.20	0	0.0072	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	7.8342	4	7.5467	4	2326	0	2248	4	596.9	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	850.84	0	2.4609	0	34.5110	0	27.547	0	841.094	0	170.45	0	52.0	0	35.27	0	0.0072	0	0.0024	0	0.000329	1	-1E+10	1	1.11	1	7.8382	4	7.5490	4	2323	0	2244	4	593.9	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	800.83	0	2.6203	0	34.4970	0	27.522	0	791.751	0	170.43	0	52.2	0	35.09	0	0.0036	0	0.0012	0	0.000319	1	-1E+10	1	1.08	1	7.8388	4	7.5499	4	2320	0	2242	4	596.5	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	751.68	0	2.6301	0	34.4704	0	27.499	0	743.246	0	172.40	0	52.8	0	35.30	0	0.0036	0	0.0012	0	0.000329	1	-1E+10	1	1.11	1	7.8419	4	7.5510	4	2318	0	2239	4	594.7	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	701.35	0	2.5544	0	34.4376	0	27.479	0	693.564	0	176.07	0	53.8	0	35.54	0	0.0072	0	0.0024	0	0.000362	1	-1E+10	1	1.19	1	7.8426	4	7.5488	4	2315	0	2237	4	596.3	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	651.11	0	2.5959	0	34.4153	0	27.458	0	643.960	0	178.36	0	54.5	0	35.45	0	0.0072	0	0.0024	0	0.000362	1	-1E+10	1	1.20	1	7.8429	4	7.5478	4	2312	0	2235	4	598.7	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	601.36	0	2.5746	0	34.3771	0	27.429	0	594.827	0	184.76	0	56.4	0	35.28	0	0.0072	0	0.0024	0	0.000330	1	-1E+10	1	1.11	1	7.8477	4	7.5500	4	2308	0	2230	4	594.0	4
5905099	1	C	04/16/2017	16:53	170.174	-59.986	0	551.70	0	2.6150	0	34.3371	0	27.393	0	545.772	0	193.92	0	59.3	0	34.98	0	0.0036	0	0.0012	0	0.000362	1	-1E+10	1	1.20	1	7.8593	4	7.5592	4	2303	0	2222	4	579.5	4
