//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:19
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904981
//Univ. of Washington ID: 12390
//MBARI ID: 12390SOOCN
//Missing Float profile(s) for station(s): 32 
//No position for station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 33 34 35 
//Missing Float data detected for adjusted station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 33 34 35 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7983	
//Temperature[°C]	Sbe41cp	7983	
//Salinity[pss]	Sbe41cp	7983	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2463	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0035 Spec#098678 Equitech Ti probe #20150209RR10.391  MBARI ARGO float#742  DF#136  CTD#7983	
//Chl_a[mg/m^3]	FLBBAP2	4176	
//Chl_a_corr[mg/m^3]	FLBBAP2	4176	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4176	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4176	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	136	
//pH25C[Total]	Durafet	136	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1770	0.0000	0.0000
//Nitrate	1	1.0000	-1.4960	-27.6479
//Nitrate	3	1.0000	-2.2421	-0.2221
//Nitrate	35	1.0000	-2.4873	0.0000
//pH	1	1.0000	-0.0361	-0.7368
//pH	3	1.0000	-0.0474	0.0106
//pH	35	1.0000	-0.0367	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1999.03	0	0.7773	0	34.6974	0	27.824	0	1969.589	0	203.04	0	59.4	0	32.64	0	0.0000	0	0.0000	0	0.000158	1	-1E+10	1	0.66	1	7.8829	0	7.6079	0	2354	0	2252	0	466.1	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1899.38	0	0.8508	0	34.6992	0	27.821	0	1871.844	0	201.24	0	59.0	0	32.50	0	0.0037	0	0.0012	0	0.000158	1	-1E+10	1	0.66	1	7.8829	0	7.6052	0	2354	0	2254	0	472.0	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1799.30	0	0.9151	0	34.7020	0	27.818	0	1773.632	0	200.03	0	58.7	0	32.46	0	0.0037	0	0.0012	0	0.000158	1	-1E+10	1	0.67	1	7.8821	0	7.6017	0	2354	0	2256	0	478.7	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1699.62	0	0.9587	0	34.7040	0	27.817	0	1675.767	0	199.22	0	58.6	0	32.38	0	0.0073	0	0.0024	0	0.000170	1	-1E+10	1	0.70	1	7.8840	0	7.6003	0	2354	0	2256	0	482.2	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1599.91	0	1.0063	0	34.7053	0	27.814	0	1577.828	0	198.40	0	58.4	0	32.58	0	0.0037	0	0.0012	0	0.000170	1	-1E+10	1	0.70	1	7.8826	0	7.5961	0	2354	0	2257	0	489.7	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1499.03	0	1.0669	0	34.7073	0	27.811	0	1478.692	0	197.35	0	58.2	0	32.32	0	0.0037	0	0.0012	0	0.000170	1	-1E+10	1	0.70	1	7.8825	0	7.5931	0	2354	0	2259	0	495.8	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1399.68	0	1.1175	0	34.7091	0	27.809	0	1381.015	0	196.45	0	58.0	0	32.20	0	0.0037	0	0.0012	0	0.000170	1	-1E+10	1	0.70	1	7.8757	0	7.5840	0	2354	0	2262	0	510.4	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1298.94	0	1.1751	0	34.7111	0	27.806	0	1281.924	0	195.50	0	57.8	0	32.20	0	0.0037	0	0.0012	0	0.000170	1	-1E+10	1	0.70	1	7.8831	0	7.5878	0	2355	0	2261	0	507.2	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1199.85	0	1.2369	0	34.7132	0	27.803	0	1184.411	0	194.50	0	57.6	0	32.10	0	0.0037	0	0.0012	0	0.000171	1	-1E+10	1	0.70	1	7.8854	0	7.5871	0	2355	0	2261	0	510.3	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	1098.91	0	1.3080	0	34.7153	0	27.800	0	1085.030	0	193.46	0	57.4	0	31.97	0	0.0037	0	0.0012	0	0.000171	1	-1E+10	1	0.70	1	7.8834	0	7.5825	0	2354	0	2263	0	519.2	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	998.41	0	1.3751	0	34.7170	0	27.796	0	986.036	0	192.47	0	57.2	0	31.80	0	0.0037	0	0.0012	0	0.000182	1	-1E+10	1	0.73	1	7.8826	0	7.5790	0	2353	0	2263	0	526.5	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	950.85	0	1.3996	0	34.7179	0	27.795	0	939.172	0	192.15	0	57.1	0	31.89	0	0.0037	0	0.0012	0	0.000182	1	-1E+10	1	0.73	1	7.8830	0	7.5780	0	2353	0	2263	0	528.8	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	901.72	0	1.4383	0	34.7188	0	27.793	0	890.750	0	191.65	0	57.0	0	31.80	0	0.0073	0	0.0024	0	0.000182	1	-1E+10	1	0.73	1	7.8841	0	7.5777	0	2353	0	2263	0	530.5	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	851.33	0	1.4891	0	34.7198	0	27.790	0	841.074	0	191.08	0	56.9	0	31.60	0	0.0073	0	0.0024	0	0.000183	1	-1E+10	1	0.73	1	7.8835	0	7.5760	0	2353	0	2263	0	534.5	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	801.60	0	1.5361	0	34.7200	0	27.786	0	792.037	0	190.32	0	56.8	0	31.73	0	0.0037	0	0.0012	0	0.000228	1	-1E+10	1	0.85	1	7.8827	0	7.5741	0	2352	0	2263	0	538.8	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	751.27	0	1.5803	0	34.7191	0	27.782	0	742.397	0	189.45	0	56.6	0	31.85	0	0.0073	0	0.0024	0	0.000240	1	-1E+10	1	0.88	1	7.8798	0	7.5703	0	2351	0	2264	0	545.9	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	701.53	0	1.6218	0	34.7186	0	27.778	0	693.327	0	188.67	0	56.4	0	31.73	0	0.0073	0	0.0024	0	0.000229	1	-1E+10	1	0.85	1	7.8856	0	7.5743	0	2351	0	2262	0	541.1	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	650.91	0	1.6670	0	34.7176	0	27.774	0	643.377	0	187.75	0	56.2	0	31.70	0	0.0073	0	0.0024	0	0.000229	1	-1E+10	1	0.85	1	7.8842	0	7.5717	0	2350	0	2262	0	546.3	0
5904981	1	C	01/09/2017	10:11	231.542	-68.257	0	601.31	0	1.7128	0	34.7158	0	27.769	0	594.422	0	186.74	0	56.0	0	31.81	0	0.0109	0	0.0037	0	0.000194	1	-1E+10	1	0.76	1	7.8882	0	7.5742	0	2349	0	2261	0	543.9	0
