//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:21
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905104
//Univ. of Washington ID: 12396
//MBARI ID: 12396SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 4 26 38 54 73 82 85 89 90 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8061	
//Temperature[°C]	Sbe41cp	8061	
//Salinity[pss]	Sbe41cp	8061	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2219	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0067  Spec#105031 Equitech Ti probe #1604.15  MBARI ARGO float#764  DF#158  CTD#8061	
//Chl_a[mg/m^3]	FLBBAP2	4350	
//Chl_a_corr[mg/m^3]	FLBBAP2	4350	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4350	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4350	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	158	
//pH25C[Total]	Durafet	158	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1486	0.0000	0.0000
//Nitrate	1	1.0000	1.5056	0.0000
//Nitrate	2	1.0000	1.1723	4.5123
//Nitrate	9	1.0000	1.7830	0.0000
//pH	1	1.0000	-0.0373	0.0000
//pH	4	1.0000	-0.0618	-0.2091
//pH	17	1.0000	-0.1325	0.0436
//pH	35	1.0000	-0.0938	0.0693
//pH	48	1.0000	-0.0657	-0.0189
//pH	84	1.0000	-0.0730	0.0070
//pH	105	1.0000	-0.0737	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	1199.61	0	3.6478	0	34.3749	0	27.333	0	1187.768	0	178.27	0	55.9	0	33.96	0	0.0036	0	0.0012	0	0.000241	1	-1E+10	1	0.88	1	7.8455	0	7.5849	0	2310	0	2220	0	563.9	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	1099.85	0	4.2455	0	34.3223	0	27.231	0	1089.251	0	190.62	0	60.6	0	32.31	0	0.0036	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8629	0	7.6054	0	2298	0	2201	0	545.1	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	998.59	0	4.8540	0	34.2916	0	27.140	0	989.205	0	205.29	0	66.2	0	30.25	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8887	0	7.6339	0	2288	0	2181	0	516.5	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	951.17	0	5.0340	0	34.2887	0	27.117	0	942.338	0	210.65	0	68.2	0	29.54	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8949	0	7.6404	0	2286	0	2177	0	511.4	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	901.69	0	5.2769	0	34.2843	0	27.085	0	893.423	0	216.76	0	70.6	0	28.45	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.9073	0	7.6535	0	2284	0	2169	0	498.4	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	850.73	0	5.5947	0	34.2847	0	27.047	0	843.033	0	225.02	0	73.8	0	27.25	0	0.0036	0	0.0012	0	0.000256	1	-1E+10	1	0.92	1	7.9193	0	7.6673	0	2281	0	2161	0	486.4	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	800.99	0	5.8516	0	34.2887	0	27.018	0	793.837	0	230.62	0	76.1	0	26.22	0	0.0036	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.9280	0	7.6773	0	2279	0	2156	0	478.6	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	750.91	0	6.0739	0	34.2952	0	26.995	0	744.294	0	234.62	0	77.9	0	25.33	0	0.0036	0	0.0012	0	0.000257	1	-1E+10	1	0.92	1	7.9356	0	7.6858	0	2278	0	2151	0	472.3	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	700.85	0	6.3203	0	34.3090	0	26.974	0	694.758	0	238.20	0	79.5	0	24.66	0	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.9401	0	7.6917	0	2277	0	2149	0	470.0	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	651.27	0	6.5668	0	34.3230	0	26.952	0	645.686	0	240.38	0	80.7	0	23.79	0	0.0036	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.9453	0	7.6983	0	2277	0	2146	0	466.9	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	601.26	0	6.8354	0	34.3398	0	26.929	0	596.176	0	241.56	0	81.6	0	22.84	0	0.0036	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.9493	0	7.7042	0	2276	0	2143	0	465.1	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	548.67	0	7.0905	0	34.3566	0	26.907	0	544.099	0	242.91	0	82.6	0	22.03	0	0.0036	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.9531	0	7.7095	0	2277	0	2141	0	463.9	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	501.70	0	7.5105	0	34.3763	0	26.863	0	497.577	0	240.47	0	82.5	0	21.05	0	0.0000	0	0.0000	0	0.000293	1	-1E+10	1	1.01	1	7.9533	0	7.7141	0	2278	0	2140	0	467.1	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	451.48	0	8.1925	0	34.4140	0	26.792	0	447.824	0	232.48	0	81.0	0	19.52	0	0.0036	0	0.0012	0	0.000305	1	-1E+10	1	1.05	1	7.9532	0	7.7221	0	2278	0	2137	0	471.0	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	401.57	0	9.0163	0	34.4656	0	26.704	0	398.366	0	223.46	0	79.3	0	17.88	0	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.9558	0	7.7347	0	2279	0	2133	0	472.1	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	381.48	0	9.2994	0	34.4914	0	26.679	0	378.454	0	221.21	0	79.1	0	17.18	0	0.0000	0	0.0000	0	0.000284	1	-1E+10	1	0.99	1	7.9589	0	7.7411	0	2280	0	2131	0	469.8	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	360.68	0	9.8585	0	34.5413	0	26.625	0	357.837	0	216.62	0	78.4	0	16.16	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.9616	0	7.7511	0	2282	0	2129	0	468.7	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	350.86	0	9.9860	0	34.5524	0	26.612	0	348.103	0	215.72	0	78.3	0	15.80	0	0.0036	0	0.0012	0	0.000285	1	-1E+10	1	0.99	1	7.9646	0	7.7555	0	2282	0	2127	0	465.8	0
5905104	1	C	09/01/2017	20:06	225.132	-32.582	0	341.21	0	10.1664	0	34.5748	0	26.599	0	338.537	0	214.65	0	78.2	0	15.28	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.96	1	7.9700	0	7.7629	0	2283	0	2125	0	460.2	0
