//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905638
//Univ. of Washington ID: 12398
//MBARI ID: 12398SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8060	
//Temperature[°C]	Sbe41cp	8060	
//Salinity[pss]	Sbe41cp	8060	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2218	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0096  Spec#105029 Equitech Ti probe #1604.14  MBARI ARGO float#763  DF#157  CTD#8060	
//Chl_a[mg/m^3]	FLBBAP2	4354	
//Chl_a_corr[mg/m^3]	FLBBAP2	4354	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4354	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4354	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	157	
//pH25C[Total]	Durafet	157	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.2200	0.0000	0.0000
//Nitrate	1	1.0000	3.2906	-14.1769
//Nitrate	5	1.0000	2.1096	0.6067
//Nitrate	31	1.0000	2.8632	0.9869
//Nitrate	72	1.0000	4.3846	0.0000
//pH	1	1.0000	-0.0071	-0.1554
//pH	4	1.0000	0.0063	0.1009
//pH	7	1.0000	0.0111	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1898.99	0	0.5570	0	34.6997	0	27.839	0	1871.539	0	212.62	0	61.9	0	32.33	0	0.0036	0	0.0012	0	0.000230	1	-1E+10	1	0.85	1	7.8760	0	7.5950	0	2355	0	2259	0	479.5	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1799.52	0	0.5925	0	34.7012	0	27.837	0	1773.921	0	209.88	0	61.1	0	32.27	0	0.0000	0	0.0000	0	0.000230	1	-1E+10	1	0.85	1	7.8811	0	7.5964	0	2356	0	2259	0	479.2	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1699.71	0	0.6168	0	34.7016	0	27.836	0	1675.925	0	209.08	0	60.9	0	32.23	0	0.0036	0	0.0012	0	0.000230	1	-1E+10	1	0.85	1	7.8824	0	7.5941	0	2355	0	2260	0	483.4	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1599.69	0	0.6591	0	34.7033	0	27.834	0	1577.677	0	208.11	0	60.7	0	32.12	0	0.0000	0	0.0000	0	0.000219	1	-1E+10	1	0.82	1	7.8862	0	7.5945	0	2355	0	2259	0	484.5	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1499.76	0	0.6935	0	34.7043	0	27.833	0	1479.471	0	207.33	0	60.5	0	32.21	0	0.0000	0	0.0000	0	0.000241	1	-1E+10	1	0.88	1	7.8890	0	7.5938	0	2355	0	2259	0	486.8	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1399.60	0	0.7326	0	34.7055	0	27.831	0	1380.993	0	206.45	0	60.3	0	32.20	0	0.0000	0	0.0000	0	0.000275	1	-1E+10	1	0.97	1	7.8903	0	7.5918	0	2355	0	2260	0	491.2	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1299.60	0	0.7692	0	34.7064	0	27.829	0	1282.627	0	205.71	0	60.2	0	32.08	0	0.0000	0	0.0000	0	0.000252	1	-1E+10	1	0.91	1	7.8939	0	7.5918	0	2355	0	2260	0	492.5	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1198.95	0	0.8260	0	34.7086	0	27.827	0	1183.574	0	204.42	0	59.9	0	32.05	0	0.0036	0	0.0012	0	0.000264	1	-1E+10	1	0.94	1	7.8944	0	7.5893	0	2355	0	2260	0	497.9	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	1100.33	0	0.8699	0	34.7106	0	27.825	0	1086.474	0	203.39	0	59.7	0	32.05	0	0.0036	0	0.0012	0	0.000264	1	-1E+10	1	0.94	1	7.8967	0	7.5884	0	2355	0	2261	0	501.0	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	998.93	0	0.9178	0	34.7118	0	27.823	0	986.589	0	202.29	0	59.4	0	31.97	0	0.0036	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.8985	0	7.5869	0	2354	0	2261	0	504.8	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	951.25	0	0.9434	0	34.7129	0	27.822	0	939.605	0	201.66	0	59.3	0	31.97	0	0.0072	0	0.0024	0	0.000264	1	-1E+10	1	0.94	1	7.8983	0	7.5853	0	2354	0	2262	0	507.9	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	900.86	0	0.9664	0	34.7143	0	27.821	0	889.939	0	201.01	0	59.1	0	31.89	0	0.0036	0	0.0012	0	0.000297	1	-1E+10	1	1.03	1	7.8975	0	7.5831	0	2354	0	2263	0	512.0	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	850.85	0	0.9999	0	34.7155	0	27.820	0	840.635	0	200.23	0	58.9	0	31.93	0	0.0036	0	0.0012	0	0.000275	1	-1E+10	1	0.97	1	7.8991	0	7.5832	0	2354	0	2262	0	513.1	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	801.45	0	1.0307	0	34.7167	0	27.818	0	791.922	0	199.37	0	58.7	0	32.00	0	0.0036	0	0.0012	0	0.000275	1	-1E+10	1	0.97	1	7.8984	0	7.5811	0	2354	0	2263	0	517.1	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	750.99	0	1.0595	0	34.7177	0	27.817	0	742.152	0	198.67	0	58.6	0	31.92	0	0.0072	0	0.0024	0	0.000275	1	-1E+10	1	0.97	1	7.8996	0	7.5808	0	2354	0	2263	0	518.6	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	701.50	0	1.0898	0	34.7187	0	27.816	0	693.326	0	197.75	0	58.3	0	31.91	0	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.8996	0	7.5794	0	2354	0	2264	0	521.8	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	651.10	0	1.1266	0	34.7194	0	27.814	0	643.591	0	196.82	0	58.1	0	31.80	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.9001	0	7.5784	0	2354	0	2264	0	524.3	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	598.29	0	1.1512	0	34.7204	0	27.813	0	591.465	0	196.15	0	57.9	0	31.95	0	0.0036	0	0.0012	0	0.000320	1	-1E+10	1	1.09	1	7.9009	0	7.5775	0	2354	0	2264	0	526.6	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	551.14	0	1.1803	0	34.7207	0	27.811	0	544.915	0	195.46	0	57.8	0	31.73	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.9007	0	7.5760	0	2354	0	2265	0	529.9	0
5905638	1	C	03/26/2018	14:46	173.524	-67.616	0	501.74	0	1.1993	0	34.7193	0	27.808	0	496.132	0	195.41	0	57.8	0	31.82	0	0.0072	0	0.0024	0	0.000309	1	-1E+10	1	1.06	1	7.9026	0	7.5762	0	2353	0	2264	0	530.3	0
