//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:27
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905381
//Univ. of Washington ID: 12472
//MBARI ID: 12472SOOCN
//Missing Float profile(s) for station(s): 11 38 42 47 
//Missing Float position interpolated for station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9757	
//Temperature[°C]	Sbe41cp	9757	
//Salinity[pss]	Sbe41cp	9757	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2832	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0726	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1998.30	0	-0.0090	0	34.6670	0	27.843	0	1969.165	0	223.45	0	64.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1947.90	0	0.0040	0	34.6680	0	27.843	0	1919.727	0	221.96	0	63.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1898.20	0	0.0220	0	34.6680	0	27.842	0	1870.964	0	220.80	0	63.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1848.60	0	0.0450	0	34.6690	0	27.842	0	1822.288	0	219.53	0	63.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1798.20	0	0.0540	0	34.6700	0	27.842	0	1772.815	0	219.32	0	63.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1748.50	0	0.0780	0	34.6710	0	27.841	0	1724.019	0	217.68	0	62.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1697.80	0	0.0870	0	34.6720	0	27.841	0	1674.228	0	217.40	0	62.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1648.70	0	0.1020	0	34.6730	0	27.841	0	1625.998	0	216.64	0	62.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1598.60	0	0.1250	0	34.6730	0	27.840	0	1576.775	0	216.09	0	62.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1548.40	0	0.1380	0	34.6730	0	27.839	0	1527.441	0	214.99	0	61.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1497.80	0	0.1620	0	34.6750	0	27.839	0	1477.703	0	214.22	0	61.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1448.60	0	0.1840	0	34.6770	0	27.839	0	1429.329	0	213.26	0	61.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1398.40	0	0.2050	0	34.6760	0	27.837	0	1379.961	0	212.25	0	61.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1348.40	0	0.2330	0	34.6780	0	27.837	0	1330.778	0	211.24	0	60.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905381	1	C	01/27/2018	17:57	1.488	-66.014	0	1297.60	0	0.2520	0	34.6790	0	27.837	0	1280.796	0	210.38	0	60.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
