//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:29
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905070
//Univ. of Washington ID: 12537
//MBARI ID: 12537SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7975	
//Temperature[°C]	Sbe41cp	7975	
//Salinity[pss]	Sbe41cp	7975	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2459	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0059  Spec#105013 Equitech Ti probe #20150209RR10.07  MBARI ARGO float#751  DF#145  CTD#7975	
//Chl_a[mg/m^3]	FLBBAP2	4349	
//Chl_a_corr[mg/m^3]	FLBBAP2	4349	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4349	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4349	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	145	
//pH25C[Total]	Durafet	145	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1400	0.0000	0.0000
//Nitrate	1	1.0000	-1.4423	6.4301
//Nitrate	5	1.0000	0.0951	-0.6036
//Nitrate	43	1.0000	-0.9931	0.2758
//Nitrate	81	1.0000	-0.1408	-22.4977
//Nitrate	85	1.0000	-0.4844	0.8349
//Nitrate	128	1.0000	0.4958	0.0000
//pH	1	1.0000	-0.0015	-0.3404
//pH	7	1.0000	-0.0466	1.0405
//pH	10	1.0000	0.0112	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1999.44	0	1.5470	0	34.7344	0	27.803	0	1972.023	0	201.38	0	60.1	0	30.98	0	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8748	0	7.6114	0	2352	0	2250	0	478.0	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1898.41	0	1.6301	0	34.7361	0	27.798	0	1872.822	0	198.36	0	59.3	0	30.98	0	0.0036	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.8764	0	7.6102	0	2352	0	2250	0	482.0	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1799.15	0	1.7260	0	34.7379	0	27.792	0	1775.314	0	196.96	0	59.0	0	30.80	0	0.0036	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.8779	0	7.6092	0	2351	0	2250	0	486.0	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1699.58	0	1.8103	0	34.7381	0	27.785	0	1677.457	0	195.46	0	58.7	0	30.77	0	0.0036	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.8787	0	7.6074	0	2350	0	2249	0	490.7	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1599.48	0	1.8876	0	34.7355	0	27.777	0	1579.032	0	193.86	0	58.4	0	30.78	0	0.0072	0	0.0024	0	0.000303	1	-1E+10	1	1.04	1	7.8771	0	7.6035	0	2349	0	2250	0	498.3	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1499.85	0	1.9599	0	34.7298	0	27.766	0	1481.025	0	191.55	0	57.8	0	30.94	0	0.0000	0	0.0000	0	0.000325	1	-1E+10	1	1.10	1	7.8755	0	7.5993	0	2347	0	2250	0	506.1	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1399.29	0	2.0494	0	34.7241	0	27.754	0	1382.056	0	189.46	0	57.3	0	31.03	0	0.0036	0	0.0012	0	0.000336	1	-1E+10	1	1.13	1	7.8748	0	7.5963	0	2346	0	2249	0	512.8	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1299.32	0	2.1232	0	34.7173	0	27.742	0	1283.621	0	187.41	0	56.7	0	31.12	0	0.0036	0	0.0012	0	0.000348	1	-1E+10	1	1.16	1	7.8767	0	7.5954	0	2345	0	2248	0	516.3	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1199.57	0	2.1645	0	34.7061	0	27.729	0	1185.357	0	185.50	0	56.2	0	31.37	0	0.0036	0	0.0012	0	0.000370	1	-1E+10	1	1.21	1	7.8759	0	7.5915	0	2344	0	2249	0	523.3	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	1099.69	0	2.2164	0	34.6837	0	27.706	0	1086.919	0	182.50	0	55.4	0	32.00	0	0.0108	0	0.0036	0	0.000392	1	-1E+10	1	1.27	1	7.8676	0	7.5811	0	2341	0	2251	0	540.2	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	998.50	0	2.3032	0	34.6593	0	27.679	0	987.142	0	179.15	0	54.5	0	32.39	0	0.0036	0	0.0012	0	0.000414	1	-1E+10	1	1.33	1	7.8614	0	7.5730	0	2339	0	2251	0	554.9	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	951.71	0	2.3192	0	34.6505	0	27.671	0	940.989	0	178.44	0	54.3	0	32.74	0	0.0072	0	0.0024	0	0.000403	1	-1E+10	1	1.30	1	7.8603	0	7.5705	0	2338	0	2251	0	559.4	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	899.68	0	2.3435	0	34.6358	0	27.657	0	889.656	0	177.31	0	53.9	0	32.79	0	0.0036	0	0.0012	0	0.000381	1	-1E+10	1	1.24	1	7.8575	0	7.5664	0	2337	0	2252	0	566.5	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	851.20	0	2.3748	0	34.6133	0	27.636	0	841.813	0	176.03	0	53.6	0	33.26	0	0.0072	0	0.0024	0	0.000524	1	-1E+10	1	1.62	1	7.8514	0	7.5596	0	2335	0	2252	0	578.1	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	800.76	0	2.4140	0	34.5770	0	27.603	0	792.025	0	175.37	0	53.4	0	33.60	0	0.0072	0	0.0024	0	0.000415	1	-1E+10	1	1.33	1	7.8452	0	7.5528	0	2332	0	2252	0	589.9	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	751.23	0	2.4365	0	34.5528	0	27.582	0	743.124	0	175.66	0	53.5	0	33.96	0	0.0036	0	0.0012	0	0.000459	1	-1E+10	1	1.45	1	7.8442	0	7.5504	0	2329	0	2250	0	594.3	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	701.28	0	2.4532	0	34.5251	0	27.558	0	693.796	0	176.65	0	53.8	0	34.07	0	0.0036	0	0.0012	0	0.000470	1	-1E+10	1	1.47	1	7.8411	0	7.5460	0	2327	0	2250	0	601.9	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	651.37	0	2.4730	0	34.4889	0	27.527	0	644.495	0	179.41	0	54.7	0	34.32	0	0.0072	0	0.0024	0	0.000492	1	-1E+10	1	1.53	1	7.8412	0	7.5445	0	2324	0	2247	0	604.5	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	601.59	0	2.5409	0	34.4355	0	27.478	0	595.312	0	185.57	0	56.6	0	34.14	0	0.0036	0	0.0012	0	0.000503	1	-1E+10	1	1.56	1	7.8460	0	7.5480	0	2319	0	2241	0	599.9	0
5905070	1	C	01/12/2017	00:03	95.590	-54.814	0	550.73	0	2.5481	0	34.3816	0	27.434	0	545.049	0	194.90	0	59.5	0	34.00	0	0.0036	0	0.0012	0	0.000503	1	-1E+10	1	1.56	1	7.8539	0	7.5534	0	2313	0	2234	0	590.5	0
