//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:34
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905105
//Univ. of Washington ID: 12540
//MBARI ID: 12540SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 105 110 115 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7982	
//Temperature[°C]	Sbe41cp	7982	
//Salinity[pss]	Sbe41cp	7982	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2222	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0027 Spec#098674 Equitech Ti probe #20150209RR10.16  MBARI ARGO float#746  DF#133  CTD#7982	
//Chl_a[mg/m^3]	FLBBAP2	4268	
//Chl_a_corr[mg/m^3]	FLBBAP2	4268	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4268	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4268	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	133	
//pH25C[Total]	Durafet	133	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1600	0.0000	0.0000
//Nitrate	1	1.0000	1.2120	0.1272
//Nitrate	81	1.0000	1.7428	0.0000
//Nitrate	104	1.0000	1.8111	0.0000
//pH	1	1.0000	-0.0010	-0.1090
//pH	9	1.0000	-0.0239	0.0000
//pH	47	1.0000	-0.0231	-0.0665
//pH	67	1.0000	-0.0637	-0.1154
//pH	83	1.0000	-0.1138	-0.0154
//pH	104	1.0000	-0.1271	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	1298.89	0	3.1314	0	34.5431	0	27.517	0	1285.775	0	108.48	0	33.6	0	39.91	0	0.0072	0	0.0024	0	0.000733	1	-1E+10	1	2.16	1	7.7465	0	7.4927	0	2359	0	2300	0	715.9	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	1199.37	0	3.3310	0	34.5189	0	27.478	0	1187.540	0	105.71	0	32.9	0	39.98	0	0.0036	0	0.0012	0	0.000390	1	-1E+10	1	1.27	1	7.7390	0	7.4851	0	2351	0	2294	0	735.9	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	1099.64	0	3.5093	0	34.4842	0	27.433	0	1089.052	0	109.38	0	34.2	0	39.70	0	0.0072	0	0.0024	0	0.000357	1	-1E+10	1	1.18	1	7.7404	0	7.4851	0	2340	0	2283	0	739.1	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	999.04	0	3.7428	0	34.4459	0	27.379	0	989.658	0	115.54	0	36.3	0	39.41	0	0.0036	0	0.0012	0	0.000368	1	-1E+10	1	1.21	1	7.7434	0	7.4872	0	2328	0	2271	0	739.7	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	951.70	0	3.8166	0	34.4312	0	27.360	0	942.869	0	119.90	0	37.8	0	39.06	0	0.0036	0	0.0012	0	0.000380	1	-1E+10	1	1.24	1	7.7478	0	7.4904	0	2322	0	2264	0	734.0	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	901.37	0	4.0093	0	34.4104	0	27.323	0	893.113	0	123.71	0	39.1	0	38.76	0	0.0072	0	0.0024	0	0.000447	1	-1E+10	1	1.41	1	7.7519	0	7.4948	0	2315	0	2256	0	729.6	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	851.67	0	4.1978	0	34.3858	0	27.284	0	843.969	0	130.82	0	41.6	0	38.09	0	0.0036	0	0.0012	0	0.000392	1	-1E+10	1	1.27	1	7.7611	0	7.5037	0	2309	0	2247	0	716.3	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	801.35	0	4.4409	0	34.3713	0	27.246	0	794.199	0	133.56	0	42.7	0	37.62	0	0.0036	0	0.0012	0	0.000425	1	-1E+10	1	1.36	1	7.7620	0	7.5060	0	2303	0	2240	0	718.0	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	751.10	0	4.6673	0	34.3494	0	27.204	0	744.487	0	142.43	0	45.8	0	36.36	0	0.0072	0	0.0024	0	0.000415	1	-1E+10	1	1.33	1	7.7803	0	7.5237	0	2297	0	2228	0	689.3	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	701.53	0	4.8049	0	34.3252	0	27.169	0	695.436	0	158.51	0	51.1	0	34.95	0	0.0000	0	0.0000	0	0.000382	1	-1E+10	1	1.25	1	7.8023	0	7.5436	0	2292	0	2217	0	655.5	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	651.15	0	5.0995	0	34.3067	0	27.120	0	645.572	0	167.76	0	54.4	0	33.71	0	0.0036	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.8173	0	7.5594	0	2285	0	2205	0	634.4	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	600.16	0	5.3639	0	34.2798	0	27.068	0	595.092	0	188.05	0	61.4	0	31.69	0	-0.0036	0	-0.0012	0	0.000405	1	-1E+10	1	1.31	1	7.8454	0	7.5868	0	2281	0	2191	0	594.5	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	551.59	0	5.6787	0	34.2833	0	27.032	0	546.996	0	189.98	0	62.5	0	31.05	0	0.0036	0	0.0012	0	0.000394	1	-1E+10	1	1.28	1	7.8437	0	7.5878	0	2279	0	2188	0	600.9	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	501.16	0	5.9881	0	34.2943	0	27.002	0	497.046	0	181.63	0	60.2	0	31.19	0	-0.0036	0	-0.0012	0	0.000450	1	-1E+10	1	1.42	1	7.8229	0	7.5713	0	2278	0	2194	0	637.4	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	451.35	0	6.4781	0	34.3288	0	26.966	0	447.698	0	154.55	0	51.8	0	32.55	0	0.0000	0	0.0000	0	0.000462	1	-1E+10	1	1.45	1	7.7558	0	7.5151	0	2279	0	2214	0	759.2	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	400.68	0	7.1218	0	34.3809	0	26.920	0	397.487	0	109.73	0	37.3	0	34.71	0	0.0072	0	0.0024	0	0.000507	1	-1E+10	1	1.57	1	7.6662	0	7.4408	0	2279	0	2239	0	955.2	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	381.06	0	7.4202	0	34.4054	0	26.897	0	378.041	0	90.28	0	30.9	0	35.25	0	0.0144	0	0.0048	0	0.000552	1	-1E+10	1	1.69	1	7.6307	0	7.4120	0	2279	0	2249	0	1045.6	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	361.64	0	7.7394	0	34.4278	0	26.868	0	358.792	0	71.32	0	24.6	0	35.56	0	0.0072	0	0.0024	0	0.000597	1	-1E+10	1	1.81	1	7.5991	0	7.3870	0	2279	0	2257	0	1133.4	0
5905105	1	C	09/27/2017	01:56	286.005	-32.488	0	351.77	0	7.9673	0	34.4444	0	26.848	0	349.008	0	61.75	0	21.4	0	35.63	0	0.0144	0	0.0048	0	0.000564	1	-1E+10	1	1.72	1	7.5802	0	7.3725	0	2280	0	2262	0	1189.8	0
