//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904860
//Univ. of Washington ID: 12541
//MBARI ID: 12541SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 2 9 23 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7974	
//Temperature[°C]	Sbe41cp	7974	
//Salinity[pss]	Sbe41cp	7974	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2458	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0013 Spec#098675 Equitech Ti probe #20150209RR10.30  MBARI ARGO float#740  DF#134  CTD#7974	
//Chl_a[mg/m^3]	FLBBAP2	4174	
//Chl_a_corr[mg/m^3]	FLBBAP2	4174	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4174	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4174	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	134	
//pH25C[Total]	Durafet	134	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1963	0.0000	0.0000
//Nitrate	1	1.0000	-0.0314	-23.5903
//Nitrate	3	1.0000	-1.0655	0.0629
//Nitrate	74	1.0000	-0.3956	-1.4327
//Nitrate	80	1.0000	-0.6187	0.0000
//pH	1	1.0000	-0.0783	-0.5138
//pH	3	1.0000	-0.0879	-0.0576
//pH	28	1.0000	-0.1254	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1999.12	0	0.7280	0	34.6982	0	27.828	0	1969.204	0	211.02	0	61.7	0	32.19	0	0.0000	0	0.0000	0	0.000166	1	-1E+10	1	0.69	1	7.8782	0	7.6030	0	2357	0	2258	0	472.4	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1898.50	0	0.7614	0	34.6997	0	27.826	0	1870.532	0	208.04	0	60.8	0	32.14	0	0.0000	0	0.0000	0	0.000166	1	-1E+10	1	0.69	1	7.8794	0	7.6009	0	2357	0	2258	0	476.6	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1798.82	0	0.7990	0	34.7011	0	27.825	0	1772.735	0	207.07	0	60.6	0	32.00	0	0.0000	0	0.0000	0	0.000177	1	-1E+10	1	0.71	1	7.8801	0	7.5983	0	2357	0	2259	0	481.5	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1699.67	0	0.8363	0	34.7026	0	27.823	0	1675.414	0	206.13	0	60.4	0	32.00	0	0.0000	0	0.0000	0	0.000166	1	-1E+10	1	0.69	1	7.8820	0	7.5969	0	2357	0	2260	0	484.9	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1599.43	0	0.8737	0	34.7044	0	27.822	0	1576.977	0	205.32	0	60.2	0	32.05	0	0.0000	0	0.0000	0	0.000177	1	-1E+10	1	0.71	1	7.8851	0	7.5965	0	2356	0	2260	0	486.9	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1499.52	0	0.9219	0	34.7062	0	27.820	0	1478.819	0	204.31	0	60.0	0	31.89	0	0.0000	0	0.0000	0	0.000166	1	-1E+10	1	0.69	1	7.8898	0	7.5976	0	2356	0	2259	0	487.0	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1399.47	0	0.9667	0	34.7082	0	27.818	0	1380.477	0	203.28	0	59.8	0	31.93	0	0.0000	0	0.0000	0	0.000178	1	-1E+10	1	0.72	1	7.8933	0	7.5978	0	2355	0	2258	0	488.3	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1299.47	0	1.0242	0	34.7103	0	27.816	0	1282.138	0	201.93	0	59.5	0	31.91	0	0.0000	0	0.0000	0	0.000178	1	-1E+10	1	0.72	1	7.8954	0	7.5968	0	2354	0	2257	0	491.4	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1198.20	0	1.0857	0	34.7129	0	27.813	0	1182.503	0	200.45	0	59.1	0	31.77	0	0.0000	0	0.0000	0	0.000189	1	-1E+10	1	0.75	1	7.8987	0	7.5969	0	2353	0	2256	0	493.1	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	1100.01	0	1.1451	0	34.7152	0	27.811	0	1085.853	0	198.99	0	58.8	0	31.91	0	0.0000	0	0.0000	0	0.000189	1	-1E+10	1	0.75	1	7.9011	0	7.5962	0	2352	0	2256	0	496.0	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	999.76	0	1.2152	0	34.7175	0	27.808	0	987.129	0	197.17	0	58.3	0	31.74	0	0.0000	0	0.0000	0	0.000178	1	-1E+10	1	0.72	1	7.9011	0	7.5935	0	2352	0	2256	0	502.0	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	950.94	0	1.2493	0	34.7189	0	27.806	0	939.035	0	196.57	0	58.2	0	31.80	0	0.0000	0	0.0000	0	0.000201	1	-1E+10	1	0.77	1	7.8978	0	7.5892	0	2352	0	2258	0	509.2	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	901.47	0	1.2810	0	34.7203	0	27.805	0	890.289	0	195.33	0	57.9	0	31.77	0	0.0036	0	0.0012	0	0.000201	1	-1E+10	1	0.78	1	7.8974	0	7.5874	0	2353	0	2259	0	512.9	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	851.36	0	1.3202	0	34.7207	0	27.802	0	840.902	0	194.76	0	57.8	0	31.83	0	0.0000	0	0.0000	0	0.000201	1	-1E+10	1	0.78	1	7.8974	0	7.5862	0	2353	0	2260	0	516.0	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	800.71	0	1.3554	0	34.7213	0	27.800	0	790.970	0	194.00	0	57.6	0	31.79	0	0.0000	0	0.0000	0	0.000201	1	-1E+10	1	0.78	1	7.8959	0	7.5835	0	2353	0	2261	0	521.1	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	751.25	0	1.3937	0	34.7220	0	27.798	0	742.199	0	194.03	0	57.7	0	31.63	0	0.0000	0	0.0000	0	0.000190	1	-1E+10	1	0.75	1	7.8986	0	7.5845	0	2352	0	2259	0	520.6	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	700.93	0	1.4324	0	34.7219	0	27.795	0	692.569	0	193.65	0	57.6	0	31.61	0	0.0000	0	0.0000	0	0.000190	1	-1E+10	1	0.75	1	7.8981	0	7.5828	0	2351	0	2260	0	524.4	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	651.46	0	1.4684	0	34.7219	0	27.792	0	643.765	0	193.62	0	57.7	0	31.55	0	0.0000	0	0.0000	0	0.000235	1	-1E+10	1	0.86	1	7.9012	0	7.5842	0	2351	0	2259	0	523.3	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	601.48	0	1.5083	0	34.7219	0	27.789	0	594.447	0	193.52	0	57.7	0	31.55	0	0.0036	0	0.0012	0	0.000212	1	-1E+10	1	0.81	1	7.9032	0	7.5848	0	2350	0	2258	0	523.7	0
5904860	1	C	01/12/2017	04:39	213.651	-72.355	0	551.66	0	1.5579	0	34.7212	0	27.784	0	545.275	0	192.87	0	57.6	0	31.45	0	0.0000	0	0.0000	0	0.000190	1	-1E+10	1	0.75	1	7.9036	0	7.5840	0	2349	0	2257	0	526.1	0
