//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:43
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905079
//Univ. of Washington ID: 12542
//MBARI ID: 12542SOOCN
//Missing Float profile(s) for station(s): 107 
//Missing Float position interpolated for station(s): 111 112 113 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 7 26 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8059	
//Temperature[°C]	Sbe41cp	8059	
//Salinity[pss]	Sbe41cp	8059	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2216	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0005 Spec#105014 Equitech Ti probe #20150209RR10.11  MBARI ARGO float#748  DF#141  CTD#8059	
//Chl_a[mg/m^3]	FLBBAP2	4217	
//Chl_a_corr[mg/m^3]	FLBBAP2	4217	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4217	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4217	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	141	
//pH25C[Total]	Durafet	141	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1422	0.0000	0.0000
//Nitrate	1	1.0000	-3.4802	-8.0722
//Nitrate	8	1.0000	-6.9335	-1.4277
//Nitrate	74	1.0000	-10.4738	-0.4423
//Nitrate	108	1.0000	-12.3911	-1.0458
//Nitrate	121	1.0000	-13.5226	0.0000
//pH	1	1.0000	-0.0479	0.0000
//pH	2	1.0000	-0.0241	0.1978
//pH	5	1.0000	-0.0139	0.0085
//pH	23	1.0000	0.0017	0.0066
//pH	29	1.0000	-0.0124	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1999.13	0	2.1873	0	34.6800	0	27.712	0	1971.882	0	173.84	0	52.7	0	32.75	0	0.0108	0	0.0036	0	0.000257	1	-1E+10	1	0.92	1	7.8284	0	7.5784	0	2352	0	2262	0	537.3	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1898.40	0	2.2815	0	34.6590	0	27.687	0	1872.967	0	170.78	0	51.9	0	33.18	0	0.0144	0	0.0048	0	0.000279	1	-1E+10	1	0.98	1	7.8249	0	7.5729	0	2348	0	2260	0	547.8	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1799.24	0	2.3368	0	34.6410	0	27.667	0	1775.550	0	169.70	0	51.6	0	33.35	0	0.0108	0	0.0036	0	0.000280	1	-1E+10	1	0.98	1	7.8189	0	7.5647	0	2344	0	2260	0	561.7	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1698.57	0	2.4156	0	34.6135	0	27.638	0	1676.602	0	167.64	0	51.1	0	33.88	0	0.0108	0	0.0036	0	0.000280	1	-1E+10	1	0.98	1	7.8157	0	7.5593	0	2341	0	2259	0	572.5	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1600.03	0	2.4893	0	34.5890	0	27.612	0	1579.704	0	166.63	0	50.9	0	34.21	0	0.0144	0	0.0048	0	0.000280	1	-1E+10	1	0.98	1	7.8156	0	7.5566	0	2338	0	2257	0	578.8	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1499.25	0	2.5670	0	34.5596	0	27.581	0	1480.557	0	166.82	0	51.0	0	34.36	0	0.0108	0	0.0036	0	0.000303	1	-1E+10	1	1.04	1	7.8180	0	7.5562	0	2335	0	2253	0	581.4	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1398.95	0	2.6471	0	34.5088	0	27.533	0	1381.835	0	170.04	0	52.1	0	34.42	0	0.0072	0	0.0024	0	0.000315	1	-1E+10	1	1.07	1	7.8174	0	7.5531	0	2329	0	2249	0	587.9	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1299.47	0	2.7855	0	34.4773	0	27.495	0	1283.875	0	172.04	0	52.9	0	34.68	0	0.0108	0	0.0036	0	0.000304	1	-1E+10	1	1.04	1	7.8240	0	7.5572	0	2325	0	2244	0	584.7	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1198.96	0	2.9387	0	34.4333	0	27.446	0	1184.854	0	177.30	0	54.7	0	34.40	0	0.0072	0	0.0024	0	0.000349	1	-1E+10	1	1.16	1	7.8298	0	7.5609	0	2320	0	2237	0	582.3	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	1100.36	0	2.8961	0	34.3592	0	27.390	0	1087.669	0	192.97	0	59.4	0	33.91	0	0.0072	0	0.0024	0	0.000327	1	-1E+10	1	1.10	1	7.8432	0	7.5688	0	2312	0	2227	0	567.7	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	999.31	0	3.4000	0	34.3461	0	27.333	0	988.022	0	191.92	0	59.8	0	33.27	0	0.0108	0	0.0036	0	0.000486	1	-1E+10	1	1.52	1	7.8500	0	7.5782	0	2307	0	2219	0	565.2	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	951.21	0	3.4995	0	34.3235	0	27.305	0	940.574	0	196.62	0	61.4	0	33.08	0	0.0072	0	0.0024	0	0.000339	1	-1E+10	1	1.14	1	7.8562	0	7.5835	0	2303	0	2214	0	559.1	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	901.70	0	3.6694	0	34.3015	0	27.270	0	891.723	0	201.79	0	63.3	0	32.36	0	0.0072	0	0.0024	0	0.000328	1	-1E+10	1	1.11	1	7.8635	0	7.5907	0	2300	0	2208	0	551.9	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	850.99	0	3.8563	0	34.2852	0	27.239	0	841.676	0	206.67	0	65.1	0	31.86	0	0.0072	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	7.8703	0	7.5976	0	2296	0	2202	0	545.5	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	800.90	0	3.9241	0	34.2640	0	27.215	0	792.229	0	213.17	0	67.2	0	31.23	0	0.0072	0	0.0024	0	0.000352	1	-1E+10	1	1.17	1	7.8792	0	7.6049	0	2293	0	2197	0	536.1	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	751.61	0	4.1069	0	34.2479	0	27.183	0	743.560	0	217.19	0	68.8	0	30.60	0	0.0072	0	0.0024	0	0.000329	1	-1E+10	1	1.11	1	7.8900	0	7.6155	0	2290	0	2190	0	524.6	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	701.26	0	4.2562	0	34.2247	0	27.148	0	693.833	0	229.96	0	73.1	0	29.61	0	0.0072	0	0.0024	0	0.000352	1	-1E+10	1	1.17	1	7.9045	0	7.6291	0	2287	0	2182	0	508.5	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	651.19	0	4.3365	0	34.1941	0	27.115	0	644.371	0	240.02	0	76.4	0	28.48	0	0.0072	0	0.0024	0	0.000364	1	-1E+10	1	1.20	1	7.9231	0	7.6455	0	2284	0	2173	0	487.6	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	601.11	0	4.3379	0	34.1712	0	27.096	0	594.887	0	258.07	0	82.1	0	27.48	0	0.0036	0	0.0012	0	0.000387	1	-1E+10	1	1.26	1	7.9417	0	7.6609	0	2282	0	2166	0	467.6	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	551.23	0	4.5850	0	34.1800	0	27.076	0	545.589	0	258.48	0	82.8	0	27.05	0	0.0036	0	0.0012	0	0.000376	1	-1E+10	1	1.23	1	7.9449	0	7.6656	0	2283	0	2164	0	467.2	0
5905079	1	C	02/23/2017	09:40	234.323	-53.869	0	501.47	0	4.7539	0	34.1806	0	27.058	0	496.397	0	264.33	0	85.0	0	26.08	0	0.0072	0	0.0024	0	0.000376	1	-1E+10	1	1.23	1	7.9606	0	7.6808	0	2282	0	2158	0	451.7	0
