//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:48
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904980
//Univ. of Washington ID: 12543
//MBARI ID: 12543SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 24 25 26 93 94 95 96 97 98 105 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 49 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7977	
//Temperature[°C]	Sbe41cp	7977	
//Salinity[pss]	Sbe41cp	7977	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2461	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0046 Spec#098677 Equitech Ti probe #20150209RR10.01  MBARI ARGO float#741  DF#135  CTD#7977	
//Chl_a[mg/m^3]	FLBBAP2	4175	
//Chl_a_corr[mg/m^3]	FLBBAP2	4175	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4175	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4175	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	135	
//pH25C[Total]	Durafet	135	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1824	0.0000	0.0000
//Nitrate	1	1.0000	-2.9379	-0.0626
//Nitrate	85	1.0000	-1.0515	0.0000
//Nitrate	89	1.0000	-2.0287	5.2391
//Nitrate	110	1.0000	0.4308	4.0932
//Nitrate	115	1.0000	0.2980	0.0000
//pH	1	1.0000	-0.0104	-0.0056
//pH	22	1.0000	-0.0068	-0.0046
//pH	115	1.0000	-0.0230	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1999.21	0	0.8871	0	34.6990	0	27.819	0	1970.003	0	204.47	0	60.0	0	32.85	0	0.0036	0	0.0012	0	0.000193	1	-1E+10	1	0.75	1	7.8783	0	7.6053	0	2358	0	2258	0	473.2	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1899.55	0	0.9468	0	34.7010	0	27.816	0	1872.236	0	201.36	0	59.2	0	32.73	0	0.0072	0	0.0024	0	0.000215	1	-1E+10	1	0.81	1	7.8782	0	7.6024	0	2358	0	2259	0	479.0	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1799.25	0	1.0034	0	34.7031	0	27.814	0	1773.797	0	200.19	0	58.9	0	32.66	0	0.0036	0	0.0012	0	0.000193	1	-1E+10	1	0.76	1	7.8824	0	7.6032	0	2358	0	2258	0	479.8	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1699.76	0	1.0552	0	34.7049	0	27.811	0	1676.107	0	199.17	0	58.7	0	32.52	0	0.0036	0	0.0012	0	0.000215	1	-1E+10	1	0.81	1	7.8845	0	7.6022	0	2358	0	2259	0	482.9	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1599.94	0	1.1063	0	34.7065	0	27.809	0	1578.047	0	198.32	0	58.5	0	32.68	0	0.0072	0	0.0024	0	0.000215	1	-1E+10	1	0.81	1	7.8871	0	7.6015	0	2358	0	2259	0	485.7	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1498.74	0	1.1693	0	34.7086	0	27.806	0	1478.585	0	197.28	0	58.3	0	32.58	0	0.0036	0	0.0012	0	0.000215	1	-1E+10	1	0.81	1	7.8910	0	7.6021	0	2356	0	2257	0	486.4	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1399.56	0	1.2268	0	34.7103	0	27.803	0	1381.063	0	196.08	0	58.0	0	32.49	0	0.0072	0	0.0024	0	0.000227	1	-1E+10	1	0.84	1	7.8934	0	7.6015	0	2353	0	2255	0	488.8	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1299.34	0	1.2809	0	34.7117	0	27.800	0	1282.472	0	195.25	0	57.9	0	32.46	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.8970	0	7.6018	0	2355	0	2257	0	490.7	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1200.29	0	1.3593	0	34.7134	0	27.795	0	1184.987	0	194.40	0	57.7	0	32.40	0	0.0072	0	0.0024	0	0.000205	1	-1E+10	1	0.79	1	7.8978	0	7.6000	0	2355	0	2257	0	495.5	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	1099.80	0	1.4273	0	34.7144	0	27.791	0	1086.038	0	192.87	0	57.4	0	32.29	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.8983	0	7.5976	0	2350	0	2253	0	500.1	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	999.79	0	1.5286	0	34.7151	0	27.784	0	987.514	0	191.50	0	57.1	0	32.32	0	0.0036	0	0.0012	0	0.000227	1	-1E+10	1	0.84	1	7.8991	0	7.5961	0	2353	0	2256	0	505.8	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	951.63	0	1.5843	0	34.7159	0	27.780	0	940.054	0	191.04	0	57.1	0	32.22	0	0.0072	0	0.0024	0	0.000238	1	-1E+10	1	0.87	1	7.8974	0	7.5936	0	2352	0	2256	0	510.7	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	901.40	0	1.6375	0	34.7150	0	27.775	0	890.542	0	190.00	0	56.8	0	32.29	0	0.0000	0	0.0000	0	0.000228	1	-1E+10	1	0.84	1	7.8960	0	7.5912	0	2350	0	2256	0	515.4	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	851.59	0	1.6831	0	34.7140	0	27.771	0	841.432	0	188.80	0	56.5	0	32.32	0	0.0000	0	0.0000	0	0.000283	1	-1E+10	1	0.99	1	7.8953	0	7.5893	0	2350	0	2256	0	519.4	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	801.31	0	1.7311	0	34.7130	0	27.766	0	791.847	0	188.17	0	56.4	0	32.36	0	0.0036	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.8952	0	7.5881	0	2349	0	2256	0	522.6	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	751.34	0	1.7740	0	34.7113	0	27.761	0	742.556	0	187.23	0	56.2	0	32.29	0	0.0072	0	0.0024	0	0.000239	1	-1E+10	1	0.87	1	7.8939	0	7.5857	0	2347	0	2255	0	527.0	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	701.30	0	1.8156	0	34.7081	0	27.755	0	693.184	0	185.83	0	55.8	0	32.32	0	0.0072	0	0.0024	0	0.000228	1	-1E+10	1	0.85	1	7.8917	0	7.5824	0	2346	0	2255	0	533.0	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	651.73	0	1.8556	0	34.7040	0	27.749	0	644.264	0	184.43	0	55.5	0	32.44	0	0.0108	0	0.0036	0	0.000228	1	-1E+10	1	0.85	1	7.8897	0	7.5794	0	2346	0	2256	0	538.8	0
5904980	1	C	01/02/2017	12:07	285.768	-66.423	0	601.19	0	1.8948	0	34.6992	0	27.742	0	594.375	0	183.09	0	55.1	0	32.64	0	0.0072	0	0.0024	0	0.000239	1	-1E+10	1	0.88	1	7.8882	0	7.5767	0	2347	0	2258	0	544.5	0
