//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 23:56
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904856
//Univ. of Washington ID: 12545
//MBARI ID: 12545SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 36 40 42 43 46 50 55 57 58 59 67 68 69 72 73 86 97 102 112 117 119 121 124 126 127 128 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7973	
//Temperature[°C]	Sbe41cp	7973	
//Salinity[pss]	Sbe41cp	7973	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2457	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0032 Spec#098676 Equitech Ti probe #20150209RR10.21  MBARI ARGO float#718  DF#102  CTD#7973	
//Chl_a[mg/m^3]	FLBBAP2	4358	
//Chl_a_corr[mg/m^3]	FLBBAP2	4358	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4358	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4358	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	102	
//pH25C[Total]	Durafet	102	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1739	0.0000	0.0000
//Nitrate	1	1.0000	-2.1022	-13.5758
//Nitrate	5	1.0000	-3.2419	7.1797
//Nitrate	15	1.0000	-1.2014	-0.1138
//Nitrate	129	1.0000	-1.6028	0.0000
//pH	1	1.0000	0.0254	-1.4806
//pH	3	1.0000	0.0003	0.1577
//pH	9	1.0000	0.0231	-0.0723
//pH	21	1.0000	0.0059	0.0856
//pH	35	1.0000	0.0385	0.0187
//pH	129	1.0000	0.0879	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1999.28	0	0.7939	0	34.6972	0	27.823	0	1970.387	0	205.00	0	60.0	0	32.97	0	0.0000	0	0.0000	0	0.000190	1	-1E+10	1	0.75	1	7.8811	4	7.6065	4	2358	0	2257	4	469.2	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1899.10	0	0.8411	0	34.6985	0	27.821	0	1872.095	0	201.37	0	59.0	0	-1e10	1	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1	7.8800	4	7.6032	4	2358	0	2262	4	476.8	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1799.80	0	0.8823	0	34.6993	0	27.818	0	1774.621	0	200.43	0	58.8	0	32.78	0	0.0036	0	0.0012	0	0.000190	1	-1E+10	1	0.75	1	7.8804	4	7.5998	4	2358	0	2260	4	481.4	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1699.37	0	0.9309	0	34.7018	0	27.817	0	1675.992	0	199.54	0	58.6	0	32.86	0	0.0036	0	0.0012	0	0.000213	1	-1E+10	1	0.81	1	7.8808	4	7.5970	4	2358	0	2261	4	486.9	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1599.43	0	0.9914	0	34.7029	0	27.813	0	1577.799	0	198.50	0	58.4	0	32.71	0	0.0036	0	0.0012	0	0.000202	1	-1E+10	1	0.78	1	7.8834	4	7.5965	4	2358	0	2261	4	489.6	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1499.42	0	1.0588	0	34.7060	0	27.811	0	1479.491	0	197.43	0	58.2	0	32.59	0	0.0072	0	0.0024	0	0.000202	1	-1E+10	1	0.78	1	7.8844	4	7.5947	4	2357	0	2261	4	494.1	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1399.77	0	1.1204	0	34.7079	0	27.808	0	1381.491	0	196.33	0	58.0	0	32.53	0	0.0036	0	0.0012	0	0.000235	1	-1E+10	1	0.86	1	7.8857	4	7.5931	4	2352	0	2257	4	497.4	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1299.17	0	1.1880	0	34.7091	0	27.804	0	1282.511	0	195.26	0	57.7	0	32.37	0	0.0036	0	0.0012	0	0.000224	1	-1E+10	1	0.84	1	7.8859	4	7.5905	4	2356	0	2261	4	504.1	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1199.81	0	1.2552	0	34.7117	0	27.801	0	1184.704	0	194.10	0	57.5	0	32.43	0	0.0036	0	0.0012	0	0.000235	1	-1E+10	1	0.86	1	7.8869	4	7.5887	4	2354	0	2260	4	508.4	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1099.31	0	1.3390	0	34.7136	0	27.796	0	1085.729	0	192.64	0	57.2	0	32.23	0	0.0072	0	0.0024	0	0.000224	1	-1E+10	1	0.84	1	7.8865	4	7.5858	4	2349	0	2257	4	514.2	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	1000.07	0	1.4246	0	34.7141	0	27.790	0	987.949	0	191.36	0	56.9	0	32.03	0	0.0036	0	0.0012	0	0.000247	1	-1E+10	1	0.89	1	7.8866	4	7.5834	4	2353	0	2261	4	521.3	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	951.43	0	1.4331	0	34.7155	0	27.791	0	940.007	0	191.07	0	56.9	0	32.10	0	0.0072	0	0.0024	0	0.000225	1	-1E+10	1	0.84	1	7.8860	4	7.5811	4	2353	0	2261	4	524.9	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	901.56	0	1.4813	0	34.7155	0	27.787	0	890.842	0	190.33	0	56.7	0	32.06	0	0.0036	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.8839	4	7.5781	4	2351	0	2261	4	530.6	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	851.03	0	1.5353	0	34.7152	0	27.783	0	841.014	0	189.34	0	56.5	0	32.08	0	0.0072	0	0.0024	0	0.000247	1	-1E+10	1	0.90	1	7.8841	4	7.5772	4	2349	0	2259	4	533.1	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	801.53	0	1.5828	0	34.7158	0	27.779	0	792.191	0	188.41	0	56.3	0	32.16	0	0.0000	0	0.0000	0	0.000247	1	-1E+10	1	0.90	1	7.8826	4	7.5747	4	2347	0	2258	4	537.9	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	750.93	0	1.6293	0	34.7134	0	27.774	0	742.270	0	187.33	0	56.0	0	32.11	0	0.0000	0	0.0000	0	0.000247	1	-1E+10	1	0.90	1	7.8820	4	7.5729	4	2346	0	2258	4	541.9	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	700.75	0	1.6857	0	34.7115	0	27.768	0	692.752	0	185.77	0	55.6	0	32.29	0	0.0108	0	0.0036	0	0.000247	1	-1E+10	1	0.90	1	7.8769	4	7.5673	4	2346	0	2260	4	552.1	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	650.75	0	1.7028	0	34.7070	0	27.763	0	643.400	0	184.36	0	55.2	0	32.25	0	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8764	4	7.5652	4	2347	0	2262	4	556.5	4
5904856	1	C	12/30/2016	12:10	290.904	-64.140	0	601.13	0	1.7626	0	34.7047	0	27.756	0	594.411	0	183.50	0	55.0	0	32.37	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8746	4	7.5627	4	2348	0	2264	4	562.6	4
