//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904859
//Univ. of Washington ID: 12549
//MBARI ID: 12549SOOCN
//Missing Float profile(s) for station(s): 73 74 75 101 102 103 104 105 106 107 108 109 110 111 112 113 114 
//Missing Float position interpolated for station(s): 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 45 46 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 78 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 115 116 117 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8062	
//Temperature[°C]	Sbe41cp	8062	
//Salinity[pss]	Sbe41cp	8062	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2456	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0021 Spec#105015 Equitech Ti probe #20150209RR10.13  MBARI ARGO float#749  DF#142  CTD#8062	
//Chl_a[mg/m^3]	FLBBAP2	4172	
//Chl_a_corr[mg/m^3]	FLBBAP2	4172	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4172	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4172	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	142	
//pH25C[Total]	Durafet	142	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.2300	0.0000	0.0000
//Nitrate	1	1.0000	1.6368	141.1276
//Nitrate	4	1.0000	10.1083	3.0174
//Nitrate	6	1.0000	4.3698	7.4223
//Nitrate	29	1.0000	8.8399	-25.0636
//Nitrate	35	1.0000	4.8498	0.0000
//Nitrate	56	1.0000	2.7716	0.0000
//Nitrate	72	1.0000	1.7534	109.6641
//Nitrate	77	1.0000	13.4170	9.1631
//Nitrate	115	1.0000	23.6226	14.8969
//Nitrate	117	1.0000	23.5522	0.0000
//pH	1	1.0000	0.0040	-0.0143
//pH	16	1.0000	0.0021	0.5664
//pH	25	1.0000	0.1944	2.3405
//pH	27	1.0000	0.2489	0.0000
//pH	28	1.0000	0.2099	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1999.09	0	0.8263	0	34.7012	0	27.824	0	1969.477	0	204.03	0	59.8	0	31.30	0	0.0000	0	0.0000	0	0.000243	1	-1E+10	1	0.89	1	7.8879	0	7.6130	0	2359	0	2256	0	462.0	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1899.40	0	0.8653	0	34.7025	0	27.822	0	1871.701	0	203.08	0	59.6	0	31.11	0	0.0036	0	0.0012	0	0.000243	1	-1E+10	1	0.89	1	7.8875	0	7.6096	0	2357	0	2256	0	467.7	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1799.24	0	0.9095	0	34.7042	0	27.820	0	1773.419	0	202.25	0	59.4	0	31.36	0	0.0036	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.8884	0	7.6073	0	2356	0	2255	0	471.8	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1698.82	0	0.9622	0	34.7056	0	27.818	0	1674.836	0	201.31	0	59.2	0	31.60	0	0.0036	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.8903	0	7.6060	0	2355	0	2255	0	475.3	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1599.56	0	1.0096	0	34.7077	0	27.816	0	1577.347	0	200.48	0	59.0	0	31.73	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8916	0	7.6042	0	2356	0	2257	0	479.6	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1499.69	0	1.0670	0	34.7095	0	27.813	0	1479.213	0	199.46	0	58.8	0	31.20	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8923	0	7.6019	0	2357	0	2258	0	484.7	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1398.59	0	1.1264	0	34.7116	0	27.810	0	1379.823	0	198.48	0	58.6	0	31.22	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8938	0	7.6004	0	2356	0	2258	0	488.7	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1299.14	0	1.1888	0	34.7137	0	27.808	0	1282.010	0	197.73	0	58.5	0	30.97	0	0.0000	0	0.0000	0	0.000244	1	-1E+10	1	0.89	1	7.8960	0	7.5996	0	2356	0	2258	0	491.9	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1199.11	0	1.2530	0	34.7155	0	27.804	0	1183.580	0	196.79	0	58.3	0	31.04	0	0.0000	0	0.0000	0	0.000277	1	-1E+10	1	0.97	1	7.8974	0	7.5981	0	2356	0	2259	0	496.1	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	1099.54	0	1.3218	0	34.7174	0	27.801	0	1085.556	0	195.51	0	58.0	0	30.82	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8995	0	7.5973	0	2355	0	2258	0	499.3	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	999.49	0	1.3964	0	34.7191	0	27.796	0	987.014	0	194.59	0	57.8	0	30.79	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.9001	0	7.5951	0	2355	0	2259	0	504.6	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	951.48	0	1.4303	0	34.7193	0	27.794	0	939.711	0	194.11	0	57.8	0	30.76	0	0.0036	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.8997	0	7.5935	0	2355	0	2259	0	508.0	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	901.33	0	1.4713	0	34.7198	0	27.791	0	890.288	0	193.53	0	57.6	0	30.46	0	0.0036	0	0.0012	0	0.000266	1	-1E+10	1	0.95	1	7.9005	0	7.5929	0	2354	0	2259	0	510.0	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	850.86	0	1.5156	0	34.7198	0	27.788	0	840.538	0	192.84	0	57.5	0	30.67	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.9008	0	7.5919	0	2353	0	2258	0	512.6	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	800.95	0	1.5562	0	34.7201	0	27.785	0	791.328	0	191.90	0	57.3	0	30.45	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.8978	0	7.5880	0	2352	0	2259	0	519.3	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	750.73	0	1.5961	0	34.7196	0	27.781	0	741.800	0	190.66	0	57.0	0	30.86	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.8974	0	7.5863	0	2351	0	2258	0	522.9	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	701.02	0	1.6433	0	34.7184	0	27.777	0	692.764	0	189.52	0	56.7	0	30.89	0	0.0000	0	0.0000	0	0.000256	1	-1E+10	1	0.92	1	7.8954	0	7.5833	0	2350	0	2258	0	528.5	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	651.56	0	1.6891	0	34.7176	0	27.772	0	643.963	0	189.07	0	56.6	0	30.97	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8950	0	7.5819	0	2350	0	2258	0	532.0	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	601.63	0	1.7333	0	34.7155	0	27.767	0	594.686	0	187.81	0	56.3	0	30.95	0	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.8950	0	7.5806	0	2349	0	2258	0	535.3	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	551.44	0	1.7774	0	34.7125	0	27.761	0	545.141	0	186.23	0	55.9	0	31.07	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.8922	0	7.5768	0	2348	0	2259	0	542.1	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	501.71	0	1.8227	0	34.7084	0	27.754	0	496.038	0	185.28	0	55.7	0	31.31	0	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.8911	0	7.5746	0	2347	0	2259	0	546.7	0
5904859	1	C	01/06/2017	10:37	250.913	-69.659	0	451.12	0	1.8628	0	34.7032	0	27.747	0	446.075	0	183.20	0	55.1	0	31.42	0	0.0000	0	0.0000	0	0.000278	1	-1E+10	1	0.98	1	7.8886	0	7.5711	0	2346	0	2259	0	553.2	0
