//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904858
//Univ. of Washington ID: 12551
//MBARI ID: 12551SOOCN
//Missing Float profile(s) for station(s): 106 107 108 109 110 
//Missing Float position interpolated for station(s): 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 71 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 112 113 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 28 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 111 112 113 114 115 116 
//
//SPECIAL NOTICE:
//The oxygen sensor on this float has failed.  Because O2 is an input parameter for the empirical algorithms used in the QC of pH
//and NO3 sensors, data from these sensors have not yet been validated.  pH and NO3 data for this float are thus questionable at
//best, and have been marked bad until alternative QC methods are explored/implemented.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7948	
//Temperature[°C]	Sbe41cp	7948	
//Salinity[pss]	Sbe41cp	7948	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2454	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0012 Spec#098673 Equitech Ti probe #20150209RR10.37  MBARI ARGO float#737  DF#132  CTD#7948	
//Chl_a[mg/m^3]	FLBBAP2	3163	
//Chl_a_corr[mg/m^3]	FLBBAP2	3163	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3163	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3163	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	132	
//pH25C[Total]	Durafet	132	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0000	0.0000	0.0000
//Nitrate	1	1.0000	-3.5831	-0.2880
//Nitrate	38	1.0000	-2.1737	-5.2658
//Nitrate	45	1.0000	-3.0000	-0.2165
//Nitrate	79	1.0000	-3.1347	0.0000
//pH	1	1.0000	-0.0200	0.0000
//pH	2	1.0000	-0.0150	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1999.64	0	0.7500	0	34.7048	0	27.832	0	1969.897	0	7014.41	8	2050.9	8	32.16	4	0.0036	0	0.0012	0	0.000270	1	-1E+10	1	0.96	1	7.8853	4	7.6103	4	2356	4	2257	4	464.5	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1899.75	0	0.7917	0	34.7062	0	27.830	0	1871.932	0	6983.14	8	2044.0	8	32.02	4	0.0000	0	0.0000	0	0.000280	1	-1E+10	1	0.98	1	7.8878	4	7.6095	4	2356	4	2257	4	467.1	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1799.09	0	0.8209	0	34.7076	0	27.829	0	1773.165	0	6954.64	8	2037.2	8	32.08	4	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8872	4	7.6057	4	2356	4	2259	4	473.4	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1699.31	0	0.8666	0	34.7094	0	27.827	0	1675.217	0	6922.48	8	2030.2	8	31.90	4	0.0036	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8861	4	7.6016	4	2356	4	2260	4	480.5	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1599.08	0	0.9130	0	34.7114	0	27.825	0	1576.780	0	6890.09	8	2023.1	8	31.92	4	0.0000	0	0.0000	0	0.000290	1	-1E+10	1	1.01	1	7.8876	4	7.5999	4	2356	4	2261	4	484.4	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1499.93	0	0.9595	0	34.7136	0	27.823	0	1479.359	0	6857.93	8	2016.1	8	31.98	4	0.0000	0	0.0000	0	0.000290	1	-1E+10	1	1.01	1	7.8869	4	7.5963	4	2355	4	2262	4	491.0	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1399.38	0	1.0117	0	34.7155	0	27.821	0	1380.517	0	6824.22	8	2008.9	8	31.73	4	0.0036	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8888	4	7.5950	4	2355	4	2262	4	494.6	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1299.26	0	1.0615	0	34.7176	0	27.819	0	1282.051	0	6791.19	8	2001.7	8	31.86	4	0.0000	0	0.0000	0	0.000300	1	-1E+10	1	1.03	1	7.8908	4	7.5938	4	2356	4	2263	4	498.2	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1199.07	0	1.1328	0	34.7203	0	27.816	0	1183.469	0	6753.29	8	1994.2	8	31.88	4	0.0000	0	0.0000	0	0.000290	1	-1E+10	1	1.01	1	7.8911	4	7.5914	4	2355	4	2264	4	503.8	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	1099.14	0	1.1912	0	34.7223	0	27.813	0	1085.097	0	6718.48	8	1986.9	8	31.81	4	0.0036	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8912	4	7.5886	4	2355	4	2264	4	509.7	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	999.58	0	1.2508	0	34.7242	0	27.810	0	987.043	0	6683.55	8	1979.6	8	31.70	4	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.8907	4	7.5853	4	2354	4	2264	4	516.3	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	951.04	0	1.2884	0	34.7255	0	27.809	0	939.221	0	6664.62	8	1975.9	8	31.68	4	0.0072	0	0.0024	0	0.000387	1	-1E+10	1	1.26	1	7.8861	4	7.5799	4	2354	4	2266	4	525.3	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	901.30	0	1.3196	0	34.7266	0	27.807	0	890.205	0	6646.89	8	1972.2	8	31.70	4	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.8873	4	7.5796	4	2354	4	2266	4	526.9	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	851.50	0	1.3533	0	34.7270	0	27.805	0	841.118	0	6628.65	8	1968.5	8	31.72	4	0.0036	0	0.0012	0	0.000446	1	-1E+10	1	1.41	1	7.8841	4	7.5754	4	2353	4	2268	4	534.4	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	801.25	0	1.3919	0	34.7279	0	27.803	0	791.576	0	6609.22	8	1964.7	8	31.63	4	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.8843	4	7.5742	4	2353	4	2268	4	537.4	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	751.06	0	1.4357	0	34.7285	0	27.800	0	742.081	0	6588.70	8	1960.7	8	31.54	4	0.0036	0	0.0012	0	0.000301	1	-1E+10	1	1.03	1	7.8873	4	7.5757	4	2353	4	2267	4	536.5	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	701.32	0	1.4862	0	34.7286	0	27.796	0	693.018	0	6566.86	8	1956.7	8	31.62	4	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.8876	4	7.5748	4	2352	4	2267	4	539.3	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	650.12	0	1.5356	0	34.7279	0	27.792	0	642.503	0	6545.03	8	1952.7	8	31.44	4	0.0036	0	0.0012	0	0.000310	1	-1E+10	1	1.06	1	7.8873	4	7.5733	4	2352	4	2267	4	543.0	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	601.13	0	1.5880	0	34.7275	0	27.787	0	594.157	0	6523.05	8	1948.7	8	31.44	4	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	7.8877	4	7.5727	4	2351	4	2266	4	545.5	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	551.52	0	1.6294	0	34.7261	0	27.783	0	545.187	0	6503.43	8	1944.8	8	31.59	4	0.0072	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	7.8861	4	7.5700	4	2350	4	2267	4	550.8	4
5904858	1	C	01/10/2017	19:42	223.481	-70.680	0	501.33	0	1.6768	0	34.7227	0	27.777	0	495.633	0	6482.51	8	1940.8	8	31.60	4	0.0036	0	0.0012	0	0.000311	1	-1E+10	1	1.06	1	7.8842	4	7.5671	4	2349	4	2266	4	556.6	4
