//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:18
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904842
//Univ. of Washington ID: 12552
//MBARI ID: 12552SOOCN
//Missing Float profile(s) for station(s): 141 
//Missing Float data detected for adjusted station(s): 14 19 20 22 39 42 43 44 45 46 47 125 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6737	
//Temperature[°C]	Sbe41cp	6737	
//Salinity[pss]	Sbe41cp	6737	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2163	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0002 Spec#093160 Equitech Ti probe #20150209RR10.15  MBARI ARGO float#713  DF#97  CTD#6737	
//Chl_a[mg/m^3]	FLBBAP2	4170	
//Chl_a_corr[mg/m^3]	FLBBAP2	4170	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4170	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4170	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	97	
//pH25C[Total]	Durafet	97	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0580	0.0000	0.0045
//Oxygen	127	1.0735	0.0000	0.0000
//Nitrate	1	1.0000	-3.3564	-39.5132
//Nitrate	3	1.0000	-4.7571	-0.4081
//Nitrate	33	1.0000	-4.3754	-0.1582
//Nitrate	128	1.0000	-4.9049	0.0000
//pH	1	1.0000	0.0070	-0.0279
//pH	29	1.0000	-0.0075	-0.1675
//pH	38	1.0000	-0.0482	-0.4179
//pH	46	1.0000	-0.1228	0.0620
//pH	80	1.0000	-0.0674	0.0086
//pH	128	1.0000	-0.0489	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1899.73	0	2.3856	0	34.6354	0	27.659	0	1874.754	0	169.25	0	51.5	0	33.67	0	0.0108	0	0.0036	0	0.000262	1	-1E+10	1	0.93	1	7.8374	0	7.5856	0	2344	0	2252	0	531.0	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1798.39	0	2.4644	0	34.6081	0	27.630	0	1775.169	0	168.21	0	51.3	0	33.95	0	0.0108	0	0.0036	0	0.000273	1	-1E+10	1	0.96	1	7.8328	0	7.5789	0	2341	0	2251	0	543.0	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1699.26	0	2.5372	0	34.5802	0	27.601	0	1677.711	0	168.04	0	51.3	0	34.22	0	0.0072	0	0.0024	0	0.000263	1	-1E+10	1	0.94	1	7.8305	0	7.5742	0	2338	0	2250	0	552.0	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1599.50	0	2.6212	0	34.5487	0	27.568	0	1579.588	0	169.73	0	52.0	0	34.29	0	0.0072	0	0.0024	0	0.000263	1	-1E+10	1	0.94	1	7.8288	0	7.5702	0	2334	0	2247	0	560.1	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1499.15	0	2.7408	0	34.5036	0	27.521	0	1480.838	0	172.74	0	53.0	0	34.28	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.8298	0	7.5691	0	2328	0	2243	0	564.4	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1399.85	0	2.8612	0	34.4622	0	27.477	0	1383.076	0	177.51	0	54.6	0	34.16	0	0.0036	0	0.0012	0	0.000285	1	-1E+10	1	0.99	1	7.8335	0	7.5705	0	2324	0	2238	0	565.0	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1299.03	0	3.0737	0	34.4102	0	27.416	0	1283.771	0	184.87	0	57.2	0	33.64	0	0.0036	0	0.0012	0	0.000275	1	-1E+10	1	0.97	1	7.8428	0	7.5781	0	2316	0	2228	0	557.6	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1199.04	0	3.2993	0	34.3667	0	27.360	0	1185.237	0	192.29	0	59.8	0	33.15	0	0.0072	0	0.0024	0	0.000307	1	-1E+10	1	1.05	1	7.8549	0	7.5885	0	2309	0	2218	0	546.5	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	1099.57	0	3.6017	0	34.3257	0	27.298	0	1087.169	0	201.44	0	63.1	0	32.19	0	0.0108	0	0.0036	0	0.000297	1	-1E+10	1	1.03	1	7.8654	0	7.5987	0	2302	0	2207	0	537.6	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	999.61	0	3.9814	0	34.2967	0	27.236	0	988.572	0	208.95	0	66.0	0	31.03	0	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.8827	0	7.6161	0	2295	0	2194	0	520.6	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	951.21	0	4.1638	0	34.2889	0	27.211	0	940.815	0	212.07	0	67.3	0	30.53	0	0.0036	0	0.0012	0	0.000266	1	-1E+10	1	0.95	1	7.8873	0	7.6211	0	2293	0	2190	0	517.4	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	901.11	0	4.3748	0	34.2797	0	27.181	0	891.369	0	215.48	0	68.7	0	29.88	0	0.0108	0	0.0036	0	0.000288	1	-1E+10	1	1.00	1	7.8940	0	7.6284	0	2290	0	2185	0	511.8	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	851.30	0	4.6395	0	34.2712	0	27.146	0	842.198	0	219.71	0	70.5	0	29.04	0	0.0072	0	0.0024	0	0.000299	1	-1E+10	1	1.03	1	7.9028	0	7.6384	0	2288	0	2179	0	503.5	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	801.65	0	4.9009	0	34.2636	0	27.110	0	793.173	0	226.10	0	73.0	0	28.14	0	0.0072	0	0.0024	0	0.000300	1	-1E+10	1	1.03	1	7.9131	0	7.6498	0	2285	0	2172	0	493.5	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	750.79	0	5.1633	0	34.2622	0	27.079	0	742.941	0	230.57	0	74.9	0	27.03	0	0.0180	0	0.0060	0	0.000300	1	-1E+10	1	1.03	1	7.9223	0	7.6603	0	2283	0	2166	0	485.0	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	700.70	0	5.3575	0	34.2567	0	27.051	0	693.458	0	237.33	0	77.4	0	26.17	0	0.0036	0	0.0012	0	0.000343	1	-1E+10	1	1.15	1	7.9339	0	7.6720	0	2281	0	2160	0	473.8	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	650.87	0	5.5171	0	34.2539	0	27.030	0	644.220	0	242.15	0	79.3	0	25.39	0	0.0000	0	0.0000	0	0.000333	1	-1E+10	1	1.12	1	7.9444	0	7.6822	0	2281	0	2156	0	464.3	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	600.94	0	5.6407	0	34.2427	0	27.005	0	594.871	0	252.19	0	82.8	0	24.15	0	0.0036	0	0.0012	0	0.000312	1	-1E+10	1	1.06	1	7.9613	0	7.6980	0	2282	0	2151	0	447.6	0
5904842	1	C	01/16/2017	08:17	256.905	-50.995	0	551.63	0	5.8034	0	34.2458	0	26.987	0	546.124	0	262.01	0	86.4	0	23.28	0	0.0000	0	0.0000	0	0.000301	1	-1E+10	1	1.04	1	7.9705	0	7.7072	0	2280	0	2145	0	439.6	0
