//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:24
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905069
//Univ. of Washington ID: 12558
//MBARI ID: 12558SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 12 17 18 23 25 30 42 49 50 55 81 92 95 98 99 101 102 106 113 116 120 123 124 126 127 129 133 135 138 141 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7946	
//Temperature[°C]	Sbe41cp	7946	
//Salinity[pss]	Sbe41cp	7946	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1909	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0076  Spec#105012 Equitech Ti probe #20150209RR10.08  MBARI ARGO float#750  DF#144  CTD#7946	
//Chl_a[mg/m^3]	FLBBAP2	4347	
//Chl_a_corr[mg/m^3]	FLBBAP2	4347	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4347	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4347	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	144	
//pH25C[Total]	Durafet	144	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0547	0.0000	-0.0039
//Oxygen	127	1.0410	0.0000	0.0000
//Nitrate	1	1.0000	-1.1622	0.0000
//Nitrate	64	1.0000	-1.3865	0.6893
//Nitrate	129	1.0000	-0.2419	0.0000
//pH	1	1.0000	0.0258	0.0000
//pH	2	1.0000	-0.0200	-0.0668
//pH	53	1.0000	-0.1277	0.1701
//pH	60	1.0000	-0.0987	0.0082
//pH	75	1.0000	-0.0922	-0.1938
//pH	82	1.0000	-0.1213	0.0000
//pH	115	1.0000	-0.1122	0.1077
//pH	129	1.0000	-0.0768	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1898.17	0	1.6531	0	34.7398	0	27.799	0	1872.586	0	196.79	0	58.9	0	30.95	0	0.0000	0	0.0000	0	0.000241	1	-1E+10	1	0.88	1	7.8749	4	7.6091	4	2353	0	2252	4	484.0	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1798.96	0	1.7231	0	34.7412	0	27.795	0	1775.127	0	195.61	0	58.6	0	30.90	0	0.0000	0	0.0000	0	0.000275	1	-1E+10	1	0.97	1	7.8775	4	7.6088	4	2353	0	2251	4	486.6	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1699.06	0	1.8095	0	34.7412	0	27.788	0	1676.945	0	194.06	0	58.3	0	30.89	0	0.0000	0	0.0000	0	0.000242	1	-1E+10	1	0.88	1	7.8772	4	7.6060	4	2351	0	2251	4	492.6	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1598.76	0	1.8701	0	34.7395	0	27.781	0	1578.324	0	192.50	0	57.9	0	30.95	0	0.0036	0	0.0012	0	0.001417	1	-1E+10	1	3.94	1	7.8762	4	7.6024	4	2350	0	2251	4	499.4	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1500.04	0	1.9451	0	34.7341	0	27.771	0	1481.211	0	190.39	0	57.4	0	31.08	0	0.0072	0	0.0024	0	0.000686	1	-1E+10	1	2.04	1	7.8712	4	7.5952	4	2348	0	2252	4	511.4	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1399.27	0	2.0442	0	34.7276	0	27.757	0	1382.036	0	187.52	0	56.7	0	31.24	0	0.0036	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.8688	4	7.5907	4	2346	0	2251	4	520.5	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1299.39	0	2.1211	0	34.7194	0	27.744	0	1283.690	0	185.17	0	56.1	0	31.32	0	0.0396	0	0.0132	0	0.001695	1	-1E+10	1	4.66	1	7.8653	4	7.5850	4	2345	0	2252	4	531.1	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1199.97	0	2.1810	0	34.7057	0	27.728	0	1185.751	0	182.52	0	55.3	0	31.77	0	0.0036	0	0.0012	0	0.000320	1	-1E+10	1	1.09	1	7.8590	4	7.5766	4	2344	0	2254	4	545.8	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	1099.59	0	2.2319	0	34.6882	0	27.709	0	1086.820	0	179.92	0	54.6	0	32.10	0	0.0000	0	0.0000	0	0.000343	1	-1E+10	1	1.14	1	7.8538	4	7.5689	4	2342	0	2255	4	559.2	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	999.58	0	2.3050	0	34.6611	0	27.681	0	988.207	0	176.41	0	53.6	0	32.69	0	0.0000	0	0.0000	0	0.000376	1	-1E+10	1	1.23	1	7.8449	4	7.5582	4	2339	0	2257	4	578.0	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	951.36	0	2.3283	0	34.6471	0	27.667	0	940.644	0	175.19	0	53.3	0	32.95	0	0.0036	0	0.0012	0	0.000398	1	-1E+10	1	1.29	1	7.8379	4	7.5505	4	2338	0	2258	4	591.2	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	901.48	0	2.3487	0	34.6333	0	27.654	0	891.432	0	174.19	0	53.0	0	33.15	0	0.0036	0	0.0012	0	0.000343	1	-1E+10	1	1.15	1	7.8344	4	7.5459	4	2337	0	2259	4	599.6	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	851.62	0	2.3722	0	34.6157	0	27.638	0	842.228	0	173.27	0	52.7	0	33.60	0	0.0036	0	0.0012	0	0.000354	1	-1E+10	1	1.17	1	7.8304	4	7.5407	4	2335	0	2259	4	608.9	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	801.14	0	2.3965	0	34.5945	0	27.619	0	792.400	0	172.58	0	52.6	0	33.77	0	0.0000	0	0.0000	0	0.000365	1	-1E+10	1	1.20	1	7.8255	4	7.5349	4	2333	0	2260	4	619.6	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	751.44	0	2.4268	0	34.5536	0	27.583	0	743.331	0	172.68	0	52.6	0	34.32	0	0.0036	0	0.0012	0	0.000421	1	-1E+10	1	1.35	1	7.8186	4	7.5273	4	2330	0	2259	4	633.1	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	701.24	0	2.4456	0	34.5206	0	27.555	0	693.756	0	174.15	0	53.1	0	34.44	0	0.0036	0	0.0012	0	0.000510	1	-1E+10	1	1.58	1	7.8167	4	7.5241	4	2327	0	2257	4	639.1	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	651.17	0	2.4839	0	34.4748	0	27.515	0	644.298	0	178.00	0	54.3	0	34.68	0	0.0000	0	0.0000	0	0.000432	1	-1E+10	1	1.38	1	7.8156	4	7.5218	4	2322	0	2254	4	643.6	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	601.19	0	2.5190	0	34.4360	0	27.480	0	594.916	0	182.14	0	55.6	0	34.64	0	0.0000	0	0.0000	0	0.000433	1	-1E+10	1	1.38	1	7.8182	4	7.5228	4	2319	0	2250	4	642.5	4
5905069	1	C	01/12/2017	01:48	95.574	-54.816	0	550.72	0	2.5012	0	34.3937	0	27.448	0	545.039	0	188.99	0	57.6	0	34.62	0	0.0036	0	0.0012	0	0.000499	1	-1E+10	1	1.55	1	7.8252	4	7.5270	4	2315	0	2245	4	634.1	4
