//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:29
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904855
//Univ. of Washington ID: 12559
//MBARI ID: 12559SOOCN
//Missing Float profile(s) for station(s): 136 137 138 139 140 141 142 143 
//Missing Float position interpolated for station(s): 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 122 123 124 125 126 127 128 129 130 131 132 133 134 135 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 144 145 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8065	
//Temperature[°C]	Sbe41cp	8065	
//Salinity[pss]	Sbe41cp	8065	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1906	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0048 Spec#098681 Equitech Ti probe #20150209RR10.20  MBARI ARGO float#745  DF#139  CTD#8065	
//Chl_a[mg/m^3]	FLBBAP2	4216	
//Chl_a_corr[mg/m^3]	FLBBAP2	4216	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4216	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4216	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	139	
//pH25C[Total]	Durafet	139	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0649	0.0000	0.0000
//Nitrate	1	1.0000	0.3268	-1.0964
//Nitrate	47	1.0000	-0.9415	0.1931
//Nitrate	144	1.0000	-0.1305	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1999.65	0	1.0254	0	34.7025	0	27.813	0	1970.193	0	196.24	0	57.8	0	33.17	0	0.0036	0	0.0012	0	0.000241	1	-1E+10	1	0.88	1	7.8690	8	7.5988	8	2357	0	2259	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1898.97	0	1.0718	0	34.7044	0	27.811	0	1871.439	0	191.89	0	56.6	0	33.07	0	0.0000	0	0.0000	0	0.000218	1	-1E+10	1	0.82	1	7.8689	8	7.5957	8	2356	0	2259	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1799.92	0	1.1269	0	34.7064	0	27.808	0	1774.238	0	190.45	0	56.2	0	32.97	0	0.0036	0	0.0012	0	0.000230	1	-1E+10	1	0.85	1	7.8695	8	7.5933	8	2356	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1699.57	0	1.1867	0	34.7082	0	27.805	0	1675.715	0	189.15	0	55.9	0	32.76	0	0.0036	0	0.0012	0	0.000241	1	-1E+10	1	0.88	1	7.8696	8	7.5906	8	2355	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1599.33	0	1.2396	0	34.7101	0	27.803	0	1577.255	0	187.88	0	55.6	0	32.68	0	0.0072	0	0.0024	0	0.000219	1	-1E+10	1	0.82	1	7.8696	8	7.5877	8	2355	0	2261	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1499.57	0	1.3067	0	34.7121	0	27.799	0	1479.221	0	186.69	0	55.4	0	32.59	0	0.0036	0	0.0012	0	0.000219	1	-1E+10	1	0.82	1	7.8697	8	7.5850	8	2355	0	2262	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1399.72	0	1.3753	0	34.7136	0	27.795	0	1381.052	0	185.58	0	55.1	0	32.49	0	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.8709	8	7.5834	8	2354	0	2262	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1299.46	0	1.4494	0	34.7153	0	27.791	0	1282.434	0	184.65	0	55.0	0	32.27	0	0.0036	0	0.0012	0	0.000230	1	-1E+10	1	0.85	1	7.8735	8	7.5830	8	2354	0	2262	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1199.61	0	1.5254	0	34.7161	0	27.786	0	1184.173	0	183.99	0	54.9	0	32.21	0	0.0072	0	0.0024	0	0.000276	1	-1E+10	1	0.97	1	7.8774	8	7.5839	8	2353	0	2261	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	1099.92	0	1.6072	0	34.7159	0	27.779	0	1086.023	0	180.66	0	54.0	0	32.20	0	0.0036	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.8726	8	7.5771	8	2352	0	2262	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	999.63	0	1.6991	0	34.7151	0	27.771	0	987.236	0	180.85	0	54.2	0	32.12	0	0.0108	0	0.0036	0	0.000253	1	-1E+10	1	0.91	1	7.8782	8	7.5797	8	2351	0	2261	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	951.25	0	1.7354	0	34.7142	0	27.767	0	939.564	0	180.33	0	54.1	0	32.09	0	0.0000	0	0.0000	0	0.000265	1	-1E+10	1	0.94	1	7.8784	8	7.5786	8	2350	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	901.67	0	1.7775	0	34.7127	0	27.763	0	890.699	0	179.28	0	53.8	0	31.99	0	0.0072	0	0.0024	0	0.000276	1	-1E+10	1	0.97	1	7.8789	8	7.5778	8	2350	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	851.24	0	1.8155	0	34.7103	0	27.758	0	840.984	0	178.23	0	53.5	0	31.97	0	0.0072	0	0.0024	0	0.000310	1	-1E+10	1	1.06	1	7.8777	8	7.5754	8	2349	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	801.54	0	1.8596	0	34.7063	0	27.751	0	791.977	0	176.52	0	53.1	0	32.25	0	0.0072	0	0.0024	0	0.000276	1	-1E+10	1	0.97	1	7.8754	8	7.5721	8	2348	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	751.65	0	1.8955	0	34.7027	0	27.745	0	742.771	0	175.69	0	52.9	0	32.14	0	0.0000	0	0.0000	0	0.000276	1	-1E+10	1	0.97	1	7.8757	8	7.5711	8	2347	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	700.98	0	1.9293	0	34.6976	0	27.738	0	692.783	0	174.27	0	52.5	0	32.12	0	0.0072	0	0.0024	0	0.000288	1	-1E+10	1	1.00	1	7.8737	8	7.5678	8	2346	0	2260	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	651.56	0	1.9654	0	34.6902	0	27.729	0	644.018	0	172.66	0	52.1	0	32.40	0	0.0036	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.8693	8	7.5626	8	2345	0	2261	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	601.59	0	1.9993	0	34.6831	0	27.721	0	594.697	0	171.32	0	51.7	0	32.49	0	0.0036	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.8685	8	7.5605	8	2344	0	2261	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	551.44	0	2.0251	0	34.6750	0	27.712	0	545.188	0	170.17	0	51.4	0	32.77	0	0.0072	0	0.0024	0	0.000333	1	-1E+10	1	1.12	1	7.8640	8	7.5550	8	2343	0	2262	8	 -1e10	1
5904855	1	C	01/04/2017	20:58	264.560	-68.285	0	501.02	0	2.0464	0	34.6588	0	27.697	0	495.399	0	168.32	0	50.8	0	33.07	0	0.0072	0	0.0024	0	0.000288	1	-1E+10	1	1.00	1	7.8587	8	7.5486	8	2341	0	2263	8	 -1e10	1
