//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:38
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904982
//Univ. of Washington ID: 12573
//MBARI ID: 12573SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7984	
//Temperature[°C]	Sbe41cp	7984	
//Salinity[pss]	Sbe41cp	7984	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2464	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0040 Spec#098679 Equitech Ti probe #20150209RR10.06  MBARI ARGO float#743  DF#137  CTD#7984	
//Chl_a[mg/m^3]	FLBBAP2	4173	
//Chl_a_corr[mg/m^3]	FLBBAP2	4173	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4173	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4173	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	137	
//pH25C[Total]	Durafet	137	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1310	0.0000	0.0000
//Nitrate	1	1.0000	-3.3383	0.3887
//Nitrate	25	1.0000	-2.7889	-0.1862
//Nitrate	61	1.0000	-3.1646	0.0000
//Nitrate	118	1.0000	-3.1646	0.0000
//pH	1	1.0000	0.0164	0.0041
//pH	49	1.0000	0.0129	0.0184
//pH	61	1.0000	0.0182	0.0000
//pH	118	1.0000	0.0182	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1998.56	0	1.6465	0	34.7065	0	27.774	0	1970.429	0	184.96	0	55.3	0	33.96	0	0.0072	0	0.0024	0	0.000198	1	-1E+10	1	0.77	1	7.8762	0	7.6138	0	2357	0	2253	0	477.1	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1899.27	0	1.7326	0	34.7059	0	27.766	0	1872.973	0	180.88	0	54.2	0	34.08	0	0.0036	0	0.0012	0	0.000221	1	-1E+10	1	0.83	1	7.8761	0	7.6113	0	2357	0	2254	0	483.0	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1799.60	0	1.8319	0	34.7018	0	27.755	0	1775.099	0	178.45	0	53.6	0	34.15	0	0.0072	0	0.0024	0	0.000221	1	-1E+10	1	0.83	1	7.8668	0	7.6007	0	2356	0	2257	0	500.3	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1699.84	0	1.9275	0	34.6979	0	27.744	0	1677.091	0	177.04	0	53.3	0	34.21	0	0.0072	0	0.0024	0	0.000243	1	-1E+10	1	0.89	1	7.8633	0	7.5951	0	2355	0	2258	0	510.7	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1599.75	0	1.9961	0	34.6953	0	27.736	0	1578.713	0	177.02	0	53.4	0	34.10	0	0.0072	0	0.0024	0	0.000210	1	-1E+10	1	0.80	1	7.8605	0	7.5899	0	2354	0	2259	0	520.3	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1499.92	0	2.0530	0	34.6832	0	27.721	0	1480.545	0	173.93	0	52.6	0	34.44	0	0.0108	0	0.0036	0	0.000255	1	-1E+10	1	0.92	1	7.8568	0	7.5837	0	2350	0	2258	0	530.7	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1399.96	0	2.1287	0	34.6726	0	27.706	0	1382.203	0	172.22	0	52.1	0	34.69	0	0.0072	0	0.0024	0	0.000233	1	-1E+10	1	0.86	1	7.8543	0	7.5789	0	2344	0	2254	0	539.1	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1299.00	0	2.2270	0	34.6498	0	27.680	0	1282.831	0	170.86	0	51.8	0	34.91	0	0.0072	0	0.0024	0	0.000266	1	-1E+10	1	0.95	1	7.8473	0	7.5702	0	2344	0	2257	0	555.3	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1198.91	0	2.2937	0	34.6273	0	27.656	0	1184.268	0	168.57	0	51.2	0	35.24	0	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.8452	0	7.5657	0	2339	0	2254	0	563.8	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	1099.14	0	2.3528	0	34.5984	0	27.627	0	1085.974	0	167.83	0	51.1	0	35.60	0	0.0072	0	0.0024	0	0.000278	1	-1E+10	1	0.98	1	7.8421	0	7.5600	0	2334	0	2251	0	573.8	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	999.55	0	2.4162	0	34.5589	0	27.590	0	987.811	0	168.21	0	51.2	0	35.93	0	0.0072	0	0.0024	0	0.000278	1	-1E+10	1	0.98	1	7.8400	0	7.5554	0	2332	0	2251	0	583.3	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	951.29	0	2.4719	0	34.5396	0	27.569	0	940.226	0	168.63	0	51.4	0	36.15	0	0.0072	0	0.0024	0	0.000289	1	-1E+10	1	1.01	1	7.8368	0	7.5516	0	2329	0	2250	0	590.8	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	900.95	0	2.5228	0	34.5261	0	27.554	0	890.579	0	169.19	0	51.7	0	36.13	0	0.0072	0	0.0024	0	0.000323	1	-1E+10	1	1.09	1	7.8375	0	7.5510	0	2328	0	2248	0	593.0	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	851.21	0	2.5529	0	34.5151	0	27.542	0	841.511	0	169.95	0	51.9	0	36.27	0	0.0072	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	7.8375	0	7.5496	0	2327	0	2248	0	596.4	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	801.44	0	2.5845	0	34.4873	0	27.517	0	792.403	0	171.82	0	52.5	0	36.25	0	0.0036	0	0.0012	0	0.000401	1	-1E+10	1	1.30	1	7.8363	0	7.5471	0	2325	0	2247	0	601.3	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	751.64	0	2.6437	0	34.4453	0	27.478	0	743.253	0	176.39	0	54.0	0	36.29	0	0.0072	0	0.0024	0	0.000346	1	-1E+10	1	1.15	1	7.8381	0	7.5478	0	2320	0	2243	0	601.2	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	701.31	0	2.6530	0	34.4225	0	27.459	0	693.568	0	179.81	0	55.0	0	36.20	0	0.0072	0	0.0024	0	0.000312	1	-1E+10	1	1.07	1	7.8405	0	7.5483	0	2317	0	2239	0	600.2	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	650.49	0	2.6825	0	34.3987	0	27.437	0	643.388	0	182.94	0	56.0	0	36.20	0	0.0072	0	0.0024	0	0.000301	1	-1E+10	1	1.04	1	7.8421	0	7.5482	0	2316	0	2239	0	601.4	0
5904982	1	C	12/28/2016	22:39	291.492	-59.210	0	601.31	0	2.7148	0	34.3669	0	27.408	0	594.815	0	188.18	0	57.7	0	36.05	0	0.0072	0	0.0024	0	0.000324	1	-1E+10	1	1.09	1	7.8474	0	7.5517	0	2315	0	2236	0	596.8	0
