//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:48
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904854
//Univ. of Washington ID: 12575
//MBARI ID: 12575SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 25 117 136 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	8064	
//Temperature[°C]	Sbe41cp	8064	
//Salinity[pss]	Sbe41cp	8064	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1867	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0003 Spec#098680 Equitech Ti probe #20150209RR10.09  MBARI ARGO float#744  DF#138  CTD#8064	
//Chl_a[mg/m^3]	FLBBAP2	4178	
//Chl_a_corr[mg/m^3]	FLBBAP2	4178	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4178	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4178	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	154	
//pH25C[Total]	Durafet	154	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0681	0.0000	0.0000
//Nitrate	1	1.0000	-2.8545	-37.2184
//Nitrate	3	1.0000	-3.8609	-1.7245
//Nitrate	42	1.0000	-5.4881	-0.9397
//Nitrate	97	1.0000	-6.9950	0.7175
//Nitrate	130	1.0000	-6.2075	0.0000
//pH	1	1.0000	-0.0718	0.0483
//pH	11	1.0000	-0.0753	0.0351
//pH	28	1.0000	-0.0857	1.0654
//pH	30	1.0000	-0.0406	0.0072
//pH	71	1.0000	-0.0525	0.0000
//pH	77	1.0000	-0.0397	0.0172
//pH	114	1.0000	-0.0175	-0.0239
//pH	130	1.0000	-0.0298	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1999.34	0	2.0575	0	34.6971	0	27.735	0	1971.498	0	177.92	0	53.8	0	33.08	0	0.0073	0	0.0024	0	0.000219	1	-1E+10	1	0.82	1	7.8490	0	7.5951	0	2354	0	2258	0	510.5	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1899.59	0	2.1148	0	34.6901	0	27.725	0	1873.575	0	175.83	0	53.2	0	33.21	0	0.0073	0	0.0024	0	0.000231	1	-1E+10	1	0.85	1	7.8452	0	7.5888	0	2353	0	2259	0	521.3	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1799.65	0	2.1799	0	34.6775	0	27.709	0	1775.421	0	173.42	0	52.6	0	33.42	0	0.0037	0	0.0012	0	0.000231	1	-1E+10	1	0.85	1	7.8405	0	7.5818	0	2352	0	2261	0	533.6	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1698.78	0	2.2465	0	34.6614	0	27.690	0	1676.307	0	171.97	0	52.2	0	33.61	0	0.0037	0	0.0012	0	0.000243	1	-1E+10	1	0.88	1	7.8369	0	7.5758	0	2350	0	2261	0	544.5	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1599.78	0	2.2870	0	34.6461	0	27.674	0	1578.985	0	170.48	0	51.8	0	33.84	0	0.0073	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.8297	0	7.5664	0	2348	0	2262	0	560.4	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1500.36	0	2.3416	0	34.6210	0	27.649	0	1481.205	0	168.91	0	51.4	0	34.32	0	0.0073	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.8262	0	7.5604	0	2344	0	2261	0	571.2	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1399.55	0	2.3975	0	34.5897	0	27.618	0	1382.012	0	168.21	0	51.2	0	34.68	0	0.0037	0	0.0012	0	0.000243	1	-1E+10	1	0.89	1	7.8239	0	7.5554	0	2338	0	2256	0	579.9	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1296.80	0	2.4861	0	34.5602	0	27.587	0	1280.862	0	168.04	0	51.3	0	34.90	0	0.0109	0	0.0037	0	0.000255	1	-1E+10	1	0.92	1	7.8272	0	7.5558	0	2335	0	2254	0	581.7	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1199.72	0	2.5635	0	34.5249	0	27.551	0	1185.248	0	169.34	0	51.8	0	35.02	0	0.0037	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8258	0	7.5521	0	2329	0	2250	0	589.3	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1099.13	0	2.6519	0	34.4677	0	27.498	0	1086.131	0	174.34	0	53.4	0	35.10	0	0.0037	0	0.0012	0	0.000313	1	-1E+10	1	1.07	1	7.8266	0	7.5504	0	2321	0	2242	0	593.1	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	1000.34	0	2.7378	0	34.4216	0	27.453	0	988.742	0	180.59	0	55.4	0	34.92	0	0.0073	0	0.0024	0	0.000267	1	-1E+10	1	0.95	1	7.8332	0	7.5539	0	2318	0	2238	0	589.8	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	951.59	0	2.7529	0	34.4010	0	27.435	0	940.667	0	184.70	0	56.7	0	34.92	0	0.0073	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	7.8340	0	7.5531	0	2315	0	2236	0	591.3	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	900.99	0	2.8825	0	34.3818	0	27.408	0	890.755	0	187.23	0	57.6	0	34.59	0	0.0037	0	0.0012	0	0.000325	1	-1E+10	1	1.10	1	7.8402	0	7.5585	0	2311	0	2230	0	585.3	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	851.66	0	2.9487	0	34.3584	0	27.383	0	842.085	0	191.82	0	59.1	0	34.30	0	0.0037	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.8445	0	7.5615	0	2309	0	2227	0	582.2	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	801.26	0	3.0390	0	34.3165	0	27.341	0	792.347	0	199.56	0	61.6	0	33.82	0	0.0073	0	0.0024	0	0.000291	1	-1E+10	1	1.01	1	7.8527	0	7.5684	0	2305	0	2221	0	573.0	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	751.36	0	3.1480	0	34.2839	0	27.305	0	743.091	0	207.18	0	64.1	0	33.35	0	0.0000	0	0.0000	0	0.000280	1	-1E+10	1	0.98	1	7.8614	0	7.5759	0	2302	0	2216	0	563.8	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	701.15	0	3.3188	0	34.2670	0	27.275	0	693.517	0	211.01	0	65.6	0	32.81	0	0.0073	0	0.0024	0	0.000498	1	-1E+10	1	1.55	1	7.8690	0	7.5834	0	2300	0	2211	0	556.3	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	651.07	0	3.3383	0	34.2375	0	27.249	0	644.059	0	218.99	0	68.1	0	32.37	0	0.0037	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.8782	0	7.5902	0	2299	0	2208	0	546.9	0
5904854	1	C	12/28/2016	03:30	291.995	-57.349	0	601.35	0	3.3337	0	34.2037	0	27.222	0	594.946	0	228.69	0	71.1	0	31.70	0	0.0037	0	0.0012	0	0.000349	1	-1E+10	1	1.16	1	7.8923	0	7.6011	0	2297	0	2202	0	530.7	0
