//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:57
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905382
//Univ. of Washington ID: 12631
//MBARI ID: 12631SOOCN
//Missing Float profile(s) for station(s): 11 42 43 47 48 49 
//Missing Float position interpolated for station(s): 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9758	
//Temperature[°C]	Sbe41cp	9758	
//Salinity[pss]	Sbe41cp	9758	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2835	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0746	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1947.90	0	0.0450	0	34.6660	0	27.840	0	1919.997	0	219.64	0	63.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1898.20	0	0.0630	0	34.6670	0	27.839	0	1871.227	0	218.00	0	62.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1848.90	0	0.0810	0	34.6680	0	27.839	0	1822.839	0	216.93	0	62.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1798.80	0	0.1000	0	34.6690	0	27.839	0	1773.654	0	215.84	0	62.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1749.30	0	0.1140	0	34.6700	0	27.839	0	1725.047	0	215.38	0	61.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1698.40	0	0.1320	0	34.6700	0	27.837	0	1675.053	0	214.59	0	61.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1648.00	0	0.1500	0	34.6710	0	27.837	0	1625.539	0	213.67	0	61.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1598.80	0	0.1620	0	34.6710	0	27.836	0	1577.193	0	213.23	0	61.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1549.00	0	0.1800	0	34.6710	0	27.835	0	1528.245	0	212.59	0	61.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905382	1	C	01/27/2018	01:46	5.069	-64.027	0	1498.30	0	0.2000	0	34.6720	0	27.835	0	1478.402	0	211.86	0	61.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
