//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:58
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905383
//Univ. of Washington ID: 12652
//MBARI ID: 12652SOOCN
//Missing Float profile(s) for station(s): 11 37 42 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 
//Missing Float position interpolated for station(s): 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9763	
//Temperature[°C]	Sbe41cp	9763	
//Salinity[pss]	Sbe41cp	9763	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2834	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0879	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1997.50	0	0.0110	0	34.6660	0	27.842	0	1968.467	0	222.25	0	63.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1947.70	0	0.0050	0	34.6670	0	27.843	0	1919.615	0	221.67	0	63.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1898.40	0	0.0080	0	34.6670	0	27.842	0	1871.243	0	221.17	0	63.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1848.50	0	0.0090	0	34.6670	0	27.842	0	1822.270	0	220.89	0	63.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1798.60	0	0.0160	0	34.6670	0	27.841	0	1773.286	0	220.85	0	63.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1749.00	0	0.0210	0	34.6680	0	27.842	0	1724.586	0	220.46	0	63.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1698.20	0	0.0380	0	34.6680	0	27.841	0	1674.695	0	219.45	0	63.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1648.50	0	0.0440	0	34.6680	0	27.840	0	1625.873	0	218.98	0	62.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1598.20	0	0.0490	0	34.6690	0	27.841	0	1576.451	0	218.80	0	62.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5905383	1	C	01/27/2018	13:00	2.622	-65.378	0	1548.50	0	0.0600	0	34.6700	0	27.841	0	1527.607	0	218.79	0	62.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
