//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 00:59
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905991
//Univ. of Washington ID: 12688
//MBARI ID: 12688SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10229	
//Temperature[°C]	Sbe41cp	10229	
//Salinity[pss]	Sbe41cp	10229	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2847	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0105  Spec#108011 Equitech Ti probe #1804.12  MBARI ARGO float#822  DF#234  CTD#10229	
//Chl_a[mg/m^3]	FLBBAP2	4672	
//Chl_a_corr[mg/m^3]	FLBBAP2	4672	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4672	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4672	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	234	
//pH25C[Total]	Durafet	234	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0604	0.0000	0.0000
//Nitrate	1	1.0000	0.7822	-8.8712
//Nitrate	4	1.0000	-0.5899	-0.8009
//Nitrate	11	1.0000	0.4862	-0.3821
//Nitrate	35	1.0000	-0.5640	-0.4001
//Nitrate	49	1.0000	-1.4240	-0.4321
//Nitrate	68	1.0000	-1.4954	0.0000
//pH	1	1.0000	-0.0506	-0.5028
//pH	4	1.0000	-0.0490	0.0363
//pH	11	1.0000	-0.0604	0.0132
//pH	49	1.0000	-0.0466	0.0000
//pH	69	1.0000	-0.0452	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1999.56	0	-0.0314	0	34.6601	0	27.839	0	1970.657	0	227.62	0	65.2	0	33.14	0	0.0000	0	0.0000	0	0.000210	1	-1E+10	1	0.80	1	7.8717	4	7.5867	4	2357	0	2264	4	477.7	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1899.73	0	-0.0074	0	34.6613	0	27.838	0	1872.709	0	224.38	0	64.3	0	33.09	0	0.0036	0	0.0012	0	0.000199	1	-1E+10	1	0.77	1	7.8888	4	7.5987	4	2357	0	2260	4	463.2	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1799.08	0	0.0208	0	34.6623	0	27.837	0	1773.910	0	222.40	0	63.8	0	33.26	0	0.0000	0	0.0000	0	0.000210	1	-1E+10	1	0.80	1	7.8926	4	7.5987	4	2357	0	2260	4	464.3	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1699.68	0	0.0599	0	34.6631	0	27.836	0	1676.293	0	219.86	0	63.1	0	33.17	0	0.0000	0	0.0000	0	0.000210	1	-1E+10	1	0.80	1	7.8929	4	7.5958	4	2358	0	2261	4	469.6	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1599.07	0	0.0862	0	34.6654	0	27.836	0	1577.441	0	219.24	0	63.0	0	33.17	0	0.0036	0	0.0012	0	0.000210	1	-1E+10	1	0.80	1	7.8970	4	7.5962	4	2358	0	2261	4	470.4	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1499.48	0	0.1175	0	34.6673	0	27.835	0	1479.546	0	217.15	0	62.4	0	33.26	0	0.0036	0	0.0012	0	0.000210	1	-1E+10	1	0.80	1	7.8994	4	7.5950	4	2357	0	2261	4	473.1	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1399.39	0	0.1566	0	34.6692	0	27.835	0	1381.114	0	215.10	0	61.9	0	33.25	0	0.0000	0	0.0000	0	0.000210	1	-1E+10	1	0.80	1	7.9027	4	7.5948	4	2354	0	2258	4	474.3	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1298.78	0	0.2016	0	34.6702	0	27.833	0	1282.124	0	212.15	0	61.1	0	33.35	0	0.0000	0	0.0000	0	0.000222	1	-1E+10	1	0.83	1	7.9036	4	7.5926	4	2358	0	2262	4	479.7	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1199.31	0	0.2440	0	34.6723	0	27.832	0	1184.209	0	209.29	0	60.4	0	33.52	0	0.0000	0	0.0000	0	0.000222	1	-1E+10	1	0.83	1	7.9014	4	7.5875	4	2356	0	2263	4	488.0	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	1099.37	0	0.2825	0	34.6737	0	27.830	0	1085.786	0	208.06	0	60.1	0	33.48	0	0.0000	0	0.0000	0	0.000244	1	-1E+10	1	0.89	1	7.8992	4	7.5824	4	2353	0	2261	4	495.8	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	999.02	0	0.3295	0	34.6765	0	27.830	0	986.911	0	204.55	0	59.2	0	33.63	0	0.0000	0	0.0000	0	0.000233	1	-1E+10	1	0.86	1	7.9055	4	7.5849	4	2357	0	2264	4	494.9	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	951.41	0	0.3498	0	34.6772	0	27.829	0	939.985	0	203.62	0	58.9	0	33.76	0	0.0000	0	0.0000	0	0.000233	1	-1E+10	1	0.86	1	7.9020	4	7.5803	4	2356	0	2265	4	501.8	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	901.58	0	0.3692	0	34.6780	0	27.828	0	890.860	0	202.61	0	58.7	0	33.59	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9041	4	7.5806	4	2354	0	2263	4	502.0	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	851.22	0	0.3920	0	34.6787	0	27.827	0	841.200	0	201.86	0	58.5	0	33.58	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9077	4	7.5822	4	2355	0	2263	4	500.7	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	800.63	0	0.4123	0	34.6800	0	27.827	0	791.301	0	201.43	0	58.4	0	33.63	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9085	4	7.5814	4	2355	0	2264	4	502.9	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	751.41	0	0.4295	0	34.6809	0	27.827	0	742.742	0	200.34	0	58.1	0	33.67	0	0.0000	0	0.0000	0	0.000244	1	-1E+10	1	0.89	1	7.9104	4	7.5815	4	2356	0	2265	4	503.5	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	700.84	0	0.4528	0	34.6813	0	27.825	0	692.839	0	199.66	0	57.9	0	33.72	0	0.0000	0	0.0000	0	0.000244	1	-1E+10	1	0.89	1	7.9070	4	7.5769	4	2357	0	2267	4	511.1	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	651.61	0	0.4750	0	34.6828	0	27.825	0	644.247	0	198.05	0	57.5	0	33.74	0	0.0036	0	0.0012	0	0.000245	1	-1E+10	1	0.89	1	7.9061	4	7.5746	4	2357	0	2268	4	515.3	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	601.49	0	0.5059	0	34.6839	0	27.824	0	594.765	0	196.76	0	57.2	0	33.79	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9037	4	7.5710	4	2357	0	2270	4	521.7	4
5905991	1	C	01/28/2019	16:03	312.521	-64.172	0	551.11	0	0.5274	0	34.6841	0	27.823	0	545.014	0	196.54	0	57.1	0	33.67	0	0.0036	0	0.0012	0	0.000245	1	-1E+10	1	0.89	1	7.9146	4	7.5793	4	2357	0	2266	4	510.7	4
