//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:02
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905980
//Univ. of Washington ID: 12696
//MBARI ID: 12696SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10571	
//Temperature[°C]	Sbe41cp	10571	
//Salinity[pss]	Sbe41cp	10571	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2852	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#?  Spec#107995 Equitech Ti probe #1703.31  MBARI ARGO float#807  DF#218  CTD#10571	
//Chl_a[mg/m^3]	FLBBAP2	4676	
//Chl_a_corr[mg/m^3]	FLBBAP2	4676	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4676	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4676	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	218	
//pH25C[Total]	Durafet	218	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0341	0.0000	0.0085
//Oxygen	79	1.0523	0.0000	0.0000
//Nitrate	1	1.0000	-0.3768	-0.1155
//Nitrate	65	1.0000	-0.7707	1.5621
//Nitrate	79	1.0000	-0.1624	0.0000
//pH	1	1.0000	-0.0033	-0.0514
//pH	12	1.0000	0.0138	-0.0646
//pH	22	1.0000	0.0245	0.0000
//pH	30	1.0000	0.0024	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1999.19	0	2.9145	0	34.8426	0	27.781	0	1976.566	0	229.11	0	70.8	0	25.63	0	0.0073	0	0.0073	0	0.000269	1	-1E+10	1	0.95	1	7.9672	0	7.7152	0	2328	0	2185	0	378.3	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1899.28	0	2.8911	0	34.8142	0	27.760	0	1878.227	0	221.74	0	68.5	0	26.71	0	0.0073	0	0.0073	0	0.000269	1	-1E+10	1	0.95	1	7.9551	0	7.6999	0	2328	0	2192	0	395.0	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1799.49	0	2.8757	0	34.7855	0	27.737	0	1779.961	0	216.04	0	66.7	0	27.77	0	0.0109	0	0.0109	0	0.000269	1	-1E+10	1	0.95	1	7.9430	0	7.6848	0	2329	0	2199	0	412.1	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1699.75	0	2.8811	0	34.7588	0	27.715	0	1681.698	0	210.27	0	64.9	0	28.67	0	0.0037	0	0.0037	0	0.000281	1	-1E+10	1	0.98	1	7.9324	0	7.6715	0	2329	0	2204	0	428.3	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1600.23	0	2.9262	0	34.7148	0	27.675	0	1583.607	0	201.21	0	62.1	0	30.08	0	0.0037	0	0.0037	0	0.000315	1	-1E+10	1	1.07	1	7.9130	0	7.6507	0	2328	0	2212	0	455.3	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1499.03	0	3.0044	0	34.6543	0	27.619	0	1483.813	0	193.00	0	59.7	0	31.53	0	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.8947	0	7.6314	0	2326	0	2217	0	482.3	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1399.23	0	3.0627	0	34.6122	0	27.579	0	1385.353	0	189.23	0	58.6	0	32.39	0	0.0073	0	0.0073	0	0.000282	1	-1E+10	1	0.99	1	7.8841	0	7.6189	0	2324	0	2220	0	500.9	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1299.73	0	3.1576	0	34.5493	0	27.519	0	1287.144	0	186.53	0	57.9	0	33.11	0	0.0073	0	0.0073	0	0.000293	1	-1E+10	1	1.02	1	7.8758	0	7.6091	0	2320	0	2220	0	517.0	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1199.52	0	3.2754	0	34.4959	0	27.465	0	1188.187	0	186.71	0	58.1	0	33.67	0	0.0037	0	0.0037	0	0.000305	1	-1E+10	1	1.05	1	7.8733	0	7.6048	0	2316	0	2218	0	525.9	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	1099.44	0	3.5555	0	34.4161	0	27.374	0	1089.312	0	191.73	0	60.0	0	33.61	0	0.0037	0	0.0037	0	0.000317	1	-1E+10	1	1.08	1	7.8761	0	7.6076	0	2309	0	2210	0	527.7	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	999.31	0	3.8861	0	34.3645	0	27.300	0	990.340	0	198.75	0	62.7	0	32.96	0	0.0109	0	0.0109	0	0.000306	1	-1E+10	1	1.05	1	7.8811	0	7.6132	0	2302	0	2201	0	526.5	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	950.79	0	4.0501	0	34.3487	0	27.270	0	942.365	0	202.09	0	64.0	0	32.52	0	0.0037	0	0.0037	0	0.000307	1	-1E+10	1	1.05	1	7.8863	0	7.6185	0	2299	0	2196	0	522.4	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	901.53	0	4.3290	0	34.3307	0	27.227	0	893.647	0	207.19	0	66.0	0	31.82	0	0.0073	0	0.0073	0	0.000330	1	-1E+10	1	1.11	1	7.8929	0	7.6267	0	2295	0	2190	0	516.7	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	851.60	0	4.7345	0	34.3242	0	27.177	0	844.254	0	211.33	0	68.0	0	30.76	0	0.0037	0	0.0037	0	0.000308	1	-1E+10	1	1.05	1	7.8991	0	7.6363	0	2291	0	2183	0	511.8	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	801.41	0	5.2924	0	34.3382	0	27.124	0	794.592	0	215.28	0	70.2	0	29.23	0	0.0000	0	0.0000	0	0.000298	1	-1E+10	1	1.03	1	7.9080	0	7.6507	0	2288	0	2175	0	504.1	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	750.91	0	5.9749	0	34.3831	0	27.077	0	744.612	0	212.79	0	70.5	0	27.76	0	0.0037	0	0.0037	0	0.000287	1	-1E+10	1	1.00	1	7.9095	0	7.6600	0	2288	0	2170	0	506.4	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	700.76	0	6.6823	0	34.4422	0	27.032	0	694.966	0	209.53	0	70.6	0	26.36	0	0.0037	0	0.0037	0	0.000300	1	-1E+10	1	1.03	1	7.9117	0	7.6703	0	2288	0	2166	0	507.9	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	651.58	0	7.3997	0	34.5091	0	26.985	0	646.269	0	205.84	0	70.5	0	24.86	0	0.0037	0	0.0037	0	0.000301	1	-1E+10	1	1.04	1	7.9166	0	7.6833	0	2291	0	2164	0	506.6	0
5905980	1	C	10/19/2018	10:28	331.686	-27.209	0	600.64	0	8.6374	0	34.6436	0	26.907	0	595.817	0	199.90	0	70.5	0	22.13	0	0.0037	0	0.0037	0	0.000325	1	-1E+10	1	1.10	1	7.9262	0	7.7083	0	2298	0	2161	0	500.9	0
