//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905983
//Univ. of Washington ID: 12700
//MBARI ID: 12700SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 5 68 69 70 71 72 73 74 75 76 77 78 79 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9293	
//Temperature[°C]	Sbe41cp	9293	
//Salinity[pss]	Sbe41cp	9293	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2734	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0092  Spec#107981 Equitech Ti probe #1703.07  MBARI ARGO float#795  DF#195  CTD#9293	
//Chl_a[mg/m^3]	FLBBAP2	4439	
//Chl_a_corr[mg/m^3]	FLBBAP2	4439	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4439	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4439	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	195	
//pH25C[Total]	Durafet	195	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0732	0.0000	0.0000
//Nitrate	1	1.0000	3.5374	-24.9073
//Nitrate	3	1.0000	2.5092	0.6615
//Nitrate	79	1.0000	3.8642	0.0000
//pH	1	1.0000	-0.0665	0.8349
//pH	3	1.0000	-0.0475	0.0078
//pH	55	1.0000	-0.0289	-0.1150
//pH	67	1.0000	-0.0738	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1799.20	0	2.9255	0	34.7024	0	27.666	0	1778.610	0	194.25	0	60.0	0	29.97	0	0.0072	0	0.0024	0	0.000322	1	-1E+10	1	1.09	1	7.8714	0	7.6201	0	2331	0	2226	0	492.7	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1699.54	0	2.9138	0	34.6576	0	27.631	0	1680.485	0	188.05	0	58.0	0	31.11	0	0.0072	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	7.8590	0	7.6051	0	2330	0	2231	0	514.0	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1599.92	0	2.8935	0	34.5982	0	27.584	0	1582.354	0	185.02	0	57.0	0	32.14	0	0.0036	0	0.0012	0	0.000391	1	-1E+10	1	1.27	1	7.8503	0	7.5933	0	2328	0	2233	0	531.0	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1499.09	0	2.9103	0	34.5409	0	27.536	0	1482.984	0	183.87	0	56.7	0	32.84	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.8434	0	7.5837	0	2325	0	2235	0	546.1	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1399.41	0	2.9698	0	34.4831	0	27.484	0	1384.701	0	186.24	0	57.5	0	33.19	0	0.0072	0	0.0024	0	0.000312	1	-1E+10	1	1.06	1	7.8415	0	7.5792	0	2321	0	2232	0	554.3	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1299.45	0	3.0952	0	34.4250	0	27.426	0	1286.097	0	192.38	0	59.5	0	33.05	0	0.0036	0	0.0012	0	0.000392	1	-1E+10	1	1.27	1	7.8450	0	7.5804	0	2315	0	2226	0	555.0	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1199.02	0	3.2232	0	34.3448	0	27.349	0	1186.982	0	204.07	0	63.3	0	32.67	0	0.0036	0	0.0012	0	0.000312	1	-1E+10	1	1.07	1	7.8539	0	7.5866	0	2307	0	2216	0	547.8	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	1099.38	0	3.4012	0	34.2825	0	27.282	0	1088.600	0	218.45	0	68.0	0	31.74	0	0.0036	0	0.0012	0	0.000336	1	-1E+10	1	1.13	1	7.8720	0	7.6019	0	2299	0	2203	0	528.3	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	999.92	0	3.8187	0	34.2570	0	27.221	0	990.350	0	227.17	0	71.5	0	30.55	0	0.0036	0	0.0012	0	0.000314	1	-1E+10	1	1.07	1	7.8873	0	7.6181	0	2292	0	2191	0	514.2	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	950.97	0	4.0396	0	34.2529	0	27.195	0	941.979	0	230.11	0	72.8	0	29.91	0	0.0036	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.8831	0	7.6155	0	2290	0	2190	0	522.7	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	900.98	0	4.1531	0	34.2261	0	27.162	0	892.568	0	238.42	0	75.6	0	29.13	0	0.0036	0	0.0012	0	0.000337	1	-1E+10	1	1.13	1	7.8940	0	7.6254	0	2287	0	2183	0	511.1	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	851.42	0	4.4661	0	34.2295	0	27.131	0	843.570	0	241.88	0	77.3	0	28.10	0	0.0000	0	0.0000	0	0.000315	1	-1E+10	1	1.07	1	7.9031	0	7.6363	0	2284	0	2177	0	502.6	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	800.97	0	4.8253	0	34.2414	0	27.101	0	793.681	0	243.70	0	78.5	0	27.28	0	0.0036	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9058	0	7.6421	0	2283	0	2173	0	502.7	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	750.76	0	5.0591	0	34.2514	0	27.082	0	744.018	0	243.24	0	78.8	0	26.68	0	0.0000	0	0.0000	0	0.000327	1	-1E+10	1	1.10	1	7.9122	0	7.6495	0	2282	0	2170	0	498.0	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	701.09	0	5.5400	0	34.2855	0	27.052	0	694.876	0	241.19	0	79.1	0	25.87	0	0.0036	0	0.0012	0	0.000340	1	-1E+10	1	1.14	1	7.9150	0	7.6571	0	2283	0	2167	0	498.4	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	651.51	0	6.0606	0	34.3359	0	27.028	0	645.813	0	235.09	0	78.0	0	24.84	0	0.0036	0	0.0012	0	0.000375	1	-1E+10	1	1.23	1	7.9144	0	7.6622	0	2284	0	2166	0	503.2	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	601.21	0	6.8579	0	34.4158	0	26.986	0	596.024	0	228.28	0	77.2	0	23.44	0	0.0036	0	0.0012	0	0.000341	1	-1E+10	1	1.14	1	7.9189	0	7.6759	0	2284	0	2161	0	502.2	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	550.81	0	8.1354	0	34.5590	0	26.916	0	546.125	0	217.56	0	75.8	0	21.26	0	0.0036	0	0.0012	0	0.000354	1	-1E+10	1	1.17	1	7.9259	0	7.6991	0	2290	0	2157	0	499.4	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	500.56	0	9.1514	0	34.6873	0	26.858	0	496.363	0	211.79	0	75.5	0	19.05	0	0.0036	0	0.0012	0	0.000413	1	-1E+10	1	1.33	1	7.9350	0	7.7204	0	2297	0	2155	0	493.8	0
5905983	1	C	10/22/2018	12:01	323.877	-34.598	0	450.92	0	10.1749	0	34.8222	0	26.793	0	447.192	0	210.64	0	76.9	0	16.66	0	0.0036	0	0.0012	0	0.000357	1	-1E+10	1	1.18	1	7.9529	0	7.7506	0	2302	0	2147	0	476.4	0
