//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 09:20
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905635
//Univ. of Washington ID: 12701
//MBARI ID: 12701SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 80 81 82 84 85 86 87 88 89 90 91 92 93 95 96 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9289	
//Temperature[°C]	Sbe41cp	9289	
//Salinity[pss]	Sbe41cp	9289	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2733	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#unknown Spec#107988 Equitech Ti probe #1703.13  MBARI ARGO float#794  DF#196  CTD#9289	
//Chl_a[mg/m^3]	FLBBAP2	4438	
//Chl_a_corr[mg/m^3]	FLBBAP2	4438	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4438	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4438	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	196	
//pH25C[Total]	Durafet	196	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0417	0.0000	0.0000
//Nitrate	1	1.0000	3.7882	-30.5879
//Nitrate	3	1.0000	2.6548	-0.4135
//Nitrate	28	1.0000	3.2921	0.0000
//Nitrate	29	1.0000	2.7845	0.3122
//Nitrate	84	1.0000	2.9996	1.1809
//Nitrate	100	1.0000	3.6670	0.0000
//pH	1	1.0000	-0.0118	-0.8436
//pH	3	1.0000	-0.0235	0.0000
//pH	19	1.0000	-0.0323	0.0127
//pH	43	1.0000	-0.0316	0.0000
//pH	64	1.0000	-0.0586	0.5477
//pH	74	1.0000	0.1425	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1999.51	0	0.4781	0	34.6938	0	27.839	0	1970.219	0	213.72	0	62.0	0	32.27	0	0.0000	0	0.0000	0	0.000228	1	-1E+10	1	0.85	1	7.8791	4	7.6004	4	2355	0	2257	4	470.0	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1898.95	0	0.5166	0	34.6951	0	27.837	0	1871.574	0	212.12	0	61.6	0	32.15	0	0.0036	0	0.0012	0	0.000228	1	-1E+10	1	0.85	1	7.8807	4	7.5987	4	2355	0	2257	4	473.8	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1799.45	0	0.5517	0	34.6969	0	27.836	0	1773.923	0	211.12	0	61.4	0	32.10	0	0.0036	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.8826	4	7.5971	4	2355	0	2258	4	477.2	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1699.40	0	0.5922	0	34.6991	0	27.835	0	1675.687	0	210.30	0	61.2	0	32.11	0	0.0036	0	0.0012	0	0.000239	1	-1E+10	1	0.88	1	7.8843	4	7.5956	4	2355	0	2259	4	480.9	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1599.78	0	0.6345	0	34.7003	0	27.833	0	1577.828	0	209.65	0	61.1	0	32.09	0	0.0036	0	0.0012	0	0.000239	1	-1E+10	1	0.88	1	7.8876	4	7.5954	4	2355	0	2259	4	482.7	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1499.67	0	0.6699	0	34.7018	0	27.832	0	1479.441	0	208.68	0	60.9	0	32.06	0	0.0036	0	0.0012	0	0.000239	1	-1E+10	1	0.88	1	7.8903	4	7.5946	4	2355	0	2259	4	485.2	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1399.20	0	0.7033	0	34.7036	0	27.831	0	1380.655	0	208.15	0	60.8	0	31.89	0	0.0036	0	0.0012	0	0.000251	1	-1E+10	1	0.90	1	7.8928	4	7.5936	4	2355	0	2259	4	488.0	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1298.46	0	0.7548	0	34.7058	0	27.829	0	1281.556	0	207.08	0	60.6	0	31.83	0	0.0036	0	0.0012	0	0.000284	1	-1E+10	1	0.99	1	7.8950	4	7.5926	4	2355	0	2260	4	491.3	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1199.04	0	0.8079	0	34.7089	0	27.828	0	1183.710	0	206.20	0	60.4	0	31.87	0	0.0036	0	0.0012	0	0.000251	1	-1E+10	1	0.91	1	7.8983	4	7.5927	4	2355	0	2260	4	493.1	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	1099.70	0	0.8763	0	34.7109	0	27.825	0	1085.896	0	205.35	0	60.2	0	31.74	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.8996	4	7.5911	4	2355	0	2260	4	497.4	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	998.07	0	0.9474	0	34.7151	0	27.823	0	985.781	0	204.31	0	60.0	0	31.50	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.9016	4	7.5901	4	2355	0	2261	4	501.2	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	951.35	0	0.9753	0	34.7159	0	27.822	0	939.741	0	203.87	0	60.0	0	31.54	0	0.0000	0	0.0000	0	0.000296	1	-1E+10	1	1.02	1	7.9329	4	7.6170	4	2355	0	2251	4	466.1	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	900.76	0	1.0121	0	34.7167	0	27.820	0	889.875	0	203.24	0	59.8	0	31.51	0	0.0072	0	0.0024	0	0.000296	1	-1E+10	1	1.02	1	7.9317	4	7.6146	4	2355	0	2251	4	470.3	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	851.22	0	1.0353	0	34.7180	0	27.819	0	841.034	0	202.55	0	59.7	0	31.32	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.9289	4	7.6106	4	2356	0	2254	4	476.6	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	800.91	0	1.0608	0	34.7183	0	27.818	0	791.421	0	201.96	0	59.5	0	31.50	0	0.0000	0	0.0000	0	0.000296	1	-1E+10	1	1.02	1	7.9290	4	7.6091	4	2356	0	2254	4	479.4	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	751.39	0	1.1010	0	34.7195	0	27.816	0	742.576	0	201.42	0	59.4	0	31.30	0	0.0072	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.9307	4	7.6094	4	2355	0	2254	4	480.3	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	700.90	0	1.1615	0	34.7227	0	27.814	0	692.762	0	200.83	0	59.3	0	31.19	0	0.0072	0	0.0024	0	0.000307	1	-1E+10	1	1.05	1	7.9314	4	7.6090	4	2355	0	2254	4	482.4	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	651.43	0	1.1914	0	34.7227	0	27.812	0	643.943	0	200.14	0	59.2	0	31.27	0	0.0036	0	0.0012	0	0.000351	1	-1E+10	1	1.17	1	7.9286	4	7.6051	4	2355	0	2255	4	488.6	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	601.36	0	1.2232	0	34.7210	0	27.808	0	594.519	0	198.60	0	58.8	0	31.29	0	0.0072	0	0.0024	0	0.000385	1	-1E+10	1	1.25	1	7.9265	4	7.6018	4	2354	0	2255	4	493.9	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	551.13	0	1.2667	0	34.7226	0	27.806	0	544.927	0	197.99	0	58.7	0	31.15	0	0.0036	0	0.0012	0	0.000418	1	-1E+10	1	1.34	1	7.9276	4	7.6016	4	2352	0	2253	4	495.3	4
5905635	1	C	03/29/2018	21:34	186.186	-67.011	0	500.74	0	1.2914	0	34.7210	0	27.803	0	495.164	0	197.71	0	58.6	0	31.14	0	0.0072	0	0.0024	0	0.000374	1	-1E+10	1	1.23	1	7.9278	4	7.6002	4	2352	0	2254	4	498.1	4
