//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905379
//Univ. of Washington ID: 12702
//MBARI ID: 12702SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 5 6 7 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 84 
//Missing Float data detected for adjusted station(s): 5 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9028	
//Temperature[°C]	Sbe41cp	9028	
//Salinity[pss]	Sbe41cp	9028	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2713	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0150 Spec#107977 Equitech Ti probe #1703.16  MBARI ARGO float#788  DF#188  CTD#9028	
//Chl_a[mg/m^3]	FLBBAP2	4423	
//Chl_a_corr[mg/m^3]	FLBBAP2	4423	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4423	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4423	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	188	
//pH25C[Total]	Durafet	188	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0387	0.0000	0.0000
//Nitrate	1	1.0000	16.6927	-93.0350
//Nitrate	4	1.0000	11.7142	2.4664
//Nitrate	32	1.0000	13.8558	1.2630
//Nitrate	36	1.0000	14.0619	0.0000
//pH	1	1.0000	-0.0473	0.0223
//pH	32	1.0000	-0.0453	0.0000
//pH	36	1.0000	-0.0336	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1999.17	0	0.0904	0	34.7124	0	27.875	0	1970.106	0	223.23	0	64.2	0	34.55	4	0.0073	0	0.0024	0	0.000231	1	-1E+10	1	0.85	1	7.8837	0	7.5997	0	2360	0	2265	0	464.9	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1898.56	0	0.1464	0	34.7152	0	27.874	0	1871.401	0	220.87	0	63.6	0	33.99	4	0.0037	0	0.0012	0	0.000231	1	-1E+10	1	0.85	1	7.8819	0	7.5952	0	2360	0	2267	0	472.8	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1799.54	0	0.1977	0	34.7162	0	27.872	0	1774.210	0	219.07	0	63.2	0	33.82	4	0.0000	0	0.0000	0	0.000231	1	-1E+10	1	0.85	1	7.8836	0	7.5938	0	2360	0	2268	0	476.6	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1699.12	0	0.2556	0	34.7185	0	27.870	0	1675.600	0	217.34	0	62.7	0	33.39	4	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.8880	0	7.5948	0	2361	0	2267	0	477.2	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1599.59	0	0.3225	0	34.7227	0	27.869	0	1577.818	0	215.59	0	62.4	0	32.99	4	0.0000	0	0.0000	0	0.000242	1	-1E+10	1	0.88	1	7.8927	0	7.5963	0	2361	0	2267	0	477.4	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1499.63	0	0.3322	0	34.7213	0	27.867	0	1479.568	0	214.21	0	62.0	0	32.43	4	0.0037	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.8944	0	7.5942	0	2361	0	2268	0	481.1	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1399.04	0	0.3794	0	34.7219	0	27.865	0	1380.652	0	213.74	0	61.9	0	31.86	4	0.0000	0	0.0000	0	0.000466	1	-1E+10	1	1.46	1	7.9012	0	7.5973	0	2360	0	2266	0	478.6	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1299.91	0	0.4648	0	34.7249	0	27.862	0	1283.126	0	211.44	0	61.4	0	31.05	4	0.0037	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.9039	0	7.5972	0	2360	0	2266	0	481.2	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1199.82	0	0.5135	0	34.7277	0	27.861	0	1184.610	0	210.75	0	61.3	0	30.39	4	0.0073	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.9082	0	7.5981	0	2360	0	2266	0	481.8	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	1099.61	0	0.6424	0	34.7332	0	27.857	0	1085.929	0	208.23	0	60.7	0	29.64	4	0.0037	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.9141	0	7.6015	0	2360	0	2264	0	480.7	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	998.84	0	0.6661	0	34.7336	0	27.856	0	986.650	0	207.56	0	60.6	0	28.89	4	0.0037	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.9169	0	7.6006	0	2360	0	2265	0	483.1	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	951.82	0	0.6975	0	34.7357	0	27.855	0	940.309	0	207.23	0	60.5	0	28.57	4	0.0037	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.9166	0	7.5991	0	2360	0	2265	0	486.2	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	901.20	0	0.7226	0	34.7371	0	27.855	0	890.409	0	206.48	0	60.3	0	28.10	4	0.0037	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.9181	0	7.5989	0	2360	0	2265	0	487.5	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	851.69	0	0.7745	0	34.7390	0	27.853	0	841.591	0	205.66	0	60.2	0	27.69	4	0.0037	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.9183	0	7.5980	0	2360	0	2266	0	490.1	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	801.44	0	0.7824	0	34.7378	0	27.851	0	792.032	0	204.36	0	59.8	0	27.59	4	0.0037	0	0.0012	0	0.000299	1	-1E+10	1	1.03	1	7.9156	0	7.5938	0	2360	0	2267	0	496.5	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	750.62	0	0.8236	0	34.7362	0	27.847	0	741.899	0	203.51	0	59.6	0	27.29	4	-0.0037	0	-0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.9159	0	7.5928	0	2359	0	2267	0	499.0	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	701.43	0	0.8356	0	34.7354	0	27.846	0	693.362	0	202.88	0	59.5	0	27.04	4	0.0000	0	0.0000	0	0.000299	1	-1E+10	1	1.03	1	7.9136	0	7.5891	0	2359	0	2268	0	504.8	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	650.99	0	0.8482	0	34.7338	0	27.843	0	643.580	0	202.65	0	59.4	0	26.94	4	0.0037	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.9139	0	7.5876	0	2359	0	2268	0	507.5	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	601.41	0	0.8535	0	34.7301	0	27.840	0	594.635	0	202.41	0	59.4	0	26.70	4	0.0000	0	0.0000	0	0.000288	1	-1E+10	1	1.00	1	7.9152	0	7.5871	0	2358	0	2268	0	508.7	0
5905379	1	C	02/04/2018	04:19	149.958	-65.370	0	551.04	0	0.9093	0	34.7323	0	27.838	0	544.899	0	203.27	0	59.7	0	26.26	4	0.0037	0	0.0012	0	0.000299	1	-1E+10	1	1.03	1	7.9203	0	7.5905	0	2357	0	2266	0	505.3	0
