//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:14
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906003
//Univ. of Washington ID: 12707
//MBARI ID: 12707SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 18 19 54 55 56 57 58 59 60 61 62 63 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10224	
//Temperature[°C]	Sbe41cp	10224	
//Salinity[pss]	Sbe41cp	10224	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2864	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0094 Spec#107991 Equitech Ti probe #1703.25  MBARI ARGO float#803  DF#213  CTD#10224	
//Chl_a[mg/m^3]	FLBBAP2	4443	
//Chl_a_corr[mg/m^3]	FLBBAP2	4443	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4443	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4443	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	213	
//pH25C[Total]	Durafet	213	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0952	0.0000	0.0000
//Nitrate	1	1.0000	4.4051	-35.7364
//Nitrate	4	1.0000	2.1420	-4.7882
//Nitrate	9	1.0000	1.4021	0.0000
//Nitrate	66	1.0000	1.4468	0.0000
//pH	1	1.0000	-0.0070	-1.0117
//pH	3	1.0000	-0.0473	0.0615
//pH	16	1.0000	-0.0234	0.0028
//pH	66	1.0000	-0.0230	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	1499.12	0	0.0068	0	34.6556	0	27.832	0	1479.650	0	226.31	0	64.9	0	33.08	0	0.0036	0	0.0012	0	0.000316	1	-1E+10	1	1.07	1	7.9104	0	7.6033	0	2358	0	2258	0	460.5	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	1399.75	0	0.0395	0	34.6580	0	27.832	0	1381.895	0	224.93	0	64.5	0	33.03	0	0.0000	0	0.0000	0	0.000338	1	-1E+10	1	1.13	1	7.9168	0	7.6059	0	2355	0	2255	0	458.0	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	1299.10	0	0.1012	0	34.6599	0	27.830	0	1282.835	0	222.21	0	63.9	0	33.10	0	0.0036	0	0.0012	0	0.000349	1	-1E+10	1	1.16	1	7.9174	0	7.6035	0	2359	0	2259	0	463.7	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	1199.90	0	0.1374	0	34.6602	0	27.828	0	1185.156	0	221.23	0	63.6	0	33.06	0	0.0000	0	0.0000	0	0.000327	1	-1E+10	1	1.10	1	7.9218	0	7.6043	0	2358	0	2258	0	463.9	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	1098.70	0	0.1457	0	34.6581	0	27.825	0	1085.461	0	221.19	0	63.6	0	32.97	0	0.0036	0	0.0012	0	0.000316	1	-1E+10	1	1.07	1	7.9248	0	7.6033	0	2355	0	2255	0	465.5	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	999.91	0	0.1735	0	34.6578	0	27.823	0	988.094	0	220.91	0	63.6	0	33.12	0	0.0000	0	0.0000	0	0.000338	1	-1E+10	1	1.13	1	7.9288	0	7.6037	0	2358	0	2259	0	467.1	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	951.44	0	0.1984	0	34.6601	0	27.823	0	940.305	0	219.96	0	63.4	0	33.09	0	0.0036	0	0.0012	0	0.000316	1	-1E+10	1	1.08	1	7.9262	0	7.5999	0	2358	0	2260	0	472.9	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	900.85	0	0.2211	0	34.6604	0	27.822	0	890.415	0	219.14	0	63.2	0	33.02	0	0.0036	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9259	0	7.5981	0	2358	0	2261	0	476.1	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	851.36	0	0.2375	0	34.6588	0	27.820	0	841.598	0	218.82	0	63.1	0	32.94	0	0.0108	0	0.0036	0	0.000327	1	-1E+10	1	1.10	1	7.9257	0	7.5963	0	2357	0	2260	0	479.1	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	801.32	0	0.2349	0	34.6570	0	27.819	0	792.226	0	219.23	0	63.2	0	32.89	0	0.0000	0	0.0000	0	0.000338	1	-1E+10	1	1.13	1	7.9277	0	7.5962	0	2356	0	2259	0	479.2	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	751.07	0	0.2417	0	34.6545	0	27.816	0	742.636	0	219.57	0	63.3	0	32.88	0	0.0000	0	0.0000	0	0.000327	1	-1E+10	1	1.10	1	7.9283	0	7.5949	0	2355	0	2259	0	481.2	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	701.06	0	0.2044	0	34.6456	0	27.811	0	693.271	0	222.38	0	64.1	0	32.87	0	0.0036	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9320	0	7.5959	0	2354	0	2257	0	479.3	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	650.86	0	0.1895	0	34.6415	0	27.808	0	643.706	0	223.82	0	64.5	0	32.80	0	0.0036	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.9345	0	7.5961	0	2353	0	2257	0	479.0	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	601.45	0	0.1504	0	34.6356	0	27.805	0	594.909	0	226.47	0	65.2	0	32.78	0	0.0000	0	0.0000	0	0.000371	1	-1E+10	1	1.22	1	7.9381	0	7.5969	0	2353	0	2257	0	477.5	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	551.12	0	0.1255	0	34.6316	0	27.803	0	545.193	0	227.87	0	65.5	0	32.76	0	0.0000	0	0.0000	0	0.000349	1	-1E+10	1	1.16	1	7.9396	0	7.5960	0	2353	0	2256	0	478.4	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	501.30	0	0.0404	0	34.6189	0	27.798	0	495.968	0	232.77	0	66.8	0	32.70	0	0.0036	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.9443	0	7.5972	0	2351	0	2254	0	475.0	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	451.66	0	-0.0273	0	34.6097	0	27.794	0	446.909	0	237.48	0	68.0	0	32.55	0	0.0000	0	0.0000	0	0.000549	1	-1E+10	1	1.68	1	7.9493	0	7.5989	0	2350	0	2252	0	471.5	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	401.44	0	-0.1215	0	34.5938	0	27.785	0	397.266	0	245.91	0	70.2	0	32.48	0	0.0072	0	0.0024	0	0.000371	1	-1E+10	1	1.22	1	7.9537	0	7.5997	0	2348	0	2250	0	468.5	0
5906003	1	C	03/03/2019	16:12	311.830	-60.121	0	381.42	0	-0.1408	0	34.5898	0	27.783	0	377.472	0	247.40	0	70.6	0	32.49	0	0.0036	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.9556	0	7.6004	0	2347	0	2249	0	467.3	0
