//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:17
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905375
//Univ. of Washington ID: 12709
//MBARI ID: 12709SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 10 11 12 13 14 15 16 17 18 19 20 24 25 26 27 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 94 
//Missing Float data detected for adjusted station(s): 89 94 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9027	
//Temperature[°C]	Sbe41cp	9027	
//Salinity[pss]	Sbe41cp	9027	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2712	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0109 Spec#107983 Equitech Ti probe #1703.18  MBARI ARGO float#787  DF#187  CTD#9027	
//Chl_a[mg/m^3]	FLBBAP2	4422	
//Chl_a_corr[mg/m^3]	FLBBAP2	4422	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4422	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4422	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	187	
//pH25C[Total]	Durafet	187	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0510	0.0000	0.0000
//Nitrate	1	1.0000	6.0381	-25.7532
//Nitrate	4	1.0000	4.3529	-1.0911
//Nitrate	28	1.0000	3.6510	0.4160
//Nitrate	91	1.0000	4.2539	0.0000
//pH	1	1.0000	-0.0210	0.0043
//pH	63	1.0000	-0.0126	0.0382
//pH	90	1.0000	0.0002	0.0000
//pH	91	1.0000	0.0009	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1999.01	0	-0.0078	0	34.6636	0	27.841	0	1970.025	0	230.29	0	66.0	0	32.18	0	0.0037	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	7.8918	4	7.6051	4	2351	0	2251	4	453.0	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1899.04	0	0.0392	0	34.6661	0	27.840	0	1871.944	0	226.98	0	65.1	0	32.20	0	0.0037	0	0.0012	0	0.000275	1	-1E+10	1	0.97	1	7.8932	4	7.6032	4	2352	0	2253	4	457.1	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1799.46	0	0.1001	0	34.6683	0	27.838	0	1774.200	0	224.62	0	64.6	0	32.15	0	0.0037	0	0.0012	0	0.000264	1	-1E+10	1	0.94	1	7.8933	4	7.6005	4	2352	0	2254	4	462.6	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1699.04	0	0.1473	0	34.6694	0	27.836	0	1675.586	0	223.08	0	64.2	0	32.21	0	0.0073	0	0.0024	0	0.000286	1	-1E+10	1	1.00	1	7.8960	4	7.5998	4	2352	0	2254	4	465.1	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1598.65	0	0.1815	0	34.6699	0	27.834	0	1576.955	0	221.77	0	63.9	0	32.18	0	0.0037	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	7.8961	4	7.5967	4	2352	0	2255	4	470.6	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1499.56	0	0.2354	0	34.6714	0	27.832	0	1479.556	0	220.35	0	63.6	0	32.24	0	0.0037	0	0.0012	0	0.000308	1	-1E+10	1	1.05	1	7.8970	4	7.5946	4	2352	0	2256	4	475.3	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1399.66	0	0.2872	0	34.6714	0	27.829	0	1381.315	0	218.64	0	63.2	0	32.10	0	0.0073	0	0.0024	0	0.000319	1	-1E+10	1	1.08	1	7.8984	4	7.5929	4	2352	0	2256	4	479.3	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1299.85	0	0.3322	0	34.6727	0	27.827	0	1283.117	0	217.31	0	62.8	0	32.14	0	0.0073	0	0.0024	0	0.000308	1	-1E+10	1	1.06	1	7.9009	4	7.5920	4	2352	0	2257	4	482.1	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1198.97	0	0.3963	0	34.6738	0	27.824	0	1183.819	0	215.89	0	62.5	0	32.05	0	0.0037	0	0.0012	0	0.000396	1	-1E+10	1	1.28	1	7.9022	4	7.5904	4	2351	0	2257	4	486.4	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	1100.24	0	0.4601	0	34.6759	0	27.822	0	1086.592	0	214.47	0	62.2	0	32.00	0	0.0037	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.9056	4	7.5906	4	2351	0	2257	4	488.1	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	999.01	0	0.5581	0	34.6803	0	27.819	0	986.855	0	213.06	0	62.0	0	31.81	0	0.0073	0	0.0024	0	0.000375	1	-1E+10	1	1.23	1	7.9089	4	7.5912	4	2351	0	2256	4	490.1	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	948.54	0	0.6172	0	34.6841	0	27.819	0	937.112	0	212.30	0	61.9	0	31.78	0	0.0073	0	0.0024	0	0.000397	1	-1E+10	1	1.29	1	7.9159	4	7.5965	4	2351	0	2254	4	484.6	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	901.71	0	0.6592	0	34.6847	0	27.817	0	890.946	0	211.73	0	61.8	0	31.63	0	0.0073	0	0.0024	0	0.000331	1	-1E+10	1	1.11	1	7.9177	4	7.5970	4	2350	0	2254	4	485.2	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	850.82	0	0.6864	0	34.6840	0	27.814	0	840.766	0	211.46	0	61.7	0	31.65	0	0.0073	0	0.0024	0	0.000342	1	-1E+10	1	1.14	1	7.9192	4	7.5969	4	2350	0	2253	4	486.2	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	801.21	0	0.7417	0	34.6883	0	27.814	0	791.836	0	211.00	0	61.7	0	31.48	0	0.0037	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.9203	4	7.5967	4	2350	0	2253	4	487.9	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	751.27	0	0.7577	0	34.6851	0	27.810	0	742.569	0	211.53	0	61.8	0	31.37	0	0.0073	0	0.0024	0	0.000386	1	-1E+10	1	1.26	1	7.9224	4	7.5970	4	2349	0	2252	4	488.0	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	701.45	0	0.8347	0	34.6904	0	27.810	0	693.409	0	210.05	0	61.5	0	31.27	0	0.0073	0	0.0024	0	0.000419	1	-1E+10	1	1.34	1	7.9233	4	7.5971	4	2349	0	2252	4	490.0	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	651.51	0	0.8474	0	34.6873	0	27.806	0	644.118	0	210.69	0	61.7	0	31.18	0	0.0037	0	0.0012	0	0.000353	1	-1E+10	1	1.17	1	7.9258	4	7.5977	4	2348	0	2251	4	489.7	4
5905375	1	C	01/31/2018	16:55	139.846	-64.825	0	601.61	0	0.8693	0	34.6858	0	27.803	0	594.856	0	210.68	0	61.8	0	31.13	0	0.0073	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1	7.9275	4	7.5977	4	2347	0	2250	4	490.4	4
